method,seed,epoch,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,layer,W_kron,W_G,W_A,log_kappa_kron
DP-SGD,42,1,0.8479043717822458,0.6233051638126373,0.8998,0.7861127240333559,0.4694010416666667,0.5955559239746668,conv1,2.4329128432243614,0.8406629715379096,1.747577353117678,8.458430033711348
DP-SGD,42,1,0.8479043717822458,0.6233051638126373,0.8998,0.7861127240333559,0.4694010416666667,0.5955559239746668,conv2,8.631004816464753,0.40121794895465573,8.001658689825371,16.313014758478136
DP-SGD,42,1,0.8479043717822458,0.6233051638126373,0.8998,0.7861127240333559,0.4694010416666667,0.5955559239746668,fc1,115.98771842519372,3.4604488576842,32.186212036024564,inf
DP-SGD,42,1,0.8479043717822458,0.6233051638126373,0.8998,0.7861127240333559,0.4694010416666667,0.5955559239746668,fc2,10.46427220680654,0.4841177198683956,9.408515115528209,inf
DP-SGD,42,2,0.6961071114254813,0.6077658986777067,0.9145,0.8385078418579571,0.2582966079059829,0.7745616407985361,conv1,1.8937687416844506,0.362366947610435,1.747577353117678,6.654606624422
DP-SGD,42,2,0.6961071114254813,0.6077658986777067,0.9145,0.8385078418579571,0.2582966079059829,0.7745616407985361,conv2,8.277882586137764,0.31803208768008034,7.882724792580835,13.984803347028736
DP-SGD,42,2,0.6961071114254813,0.6077658986777067,0.9145,0.8385078418579571,0.2582966079059829,0.7745616407985361,fc1,118.61120767584396,3.5522100057265993,32.127067905596554,inf
DP-SGD,42,2,0.6961071114254813,0.6077658986777067,0.9145,0.8385078418579571,0.2582966079059829,0.7745616407985361,fc2,10.57912381757427,0.5330878764306995,9.323612430049643,inf
DP-SGD,42,3,0.7076075234983721,0.6915107795715332,0.9109,0.8909029596825585,0.2143596420940171,0.8108736673990885,conv1,1.8679451287280282,0.32764032901790285,1.747577353117678,6.346793741665213
DP-SGD,42,3,0.7076075234983721,0.6915107795715332,0.9109,0.8909029596825585,0.2143596420940171,0.8108736673990885,conv2,8.251949928461562,0.3242289434936502,7.843601270688198,13.065515376532515
DP-SGD,42,3,0.7076075234983721,0.6915107795715332,0.9109,0.8909029596825585,0.2143596420940171,0.8108736673990885,fc1,115.4465255278649,3.485501546941961,31.82299757722328,inf
DP-SGD,42,3,0.7076075234983721,0.6915107795715332,0.9109,0.8909029596825585,0.2143596420940171,0.8108736673990885,fc2,10.545150545309626,0.5624372765836743,9.17805906221699,inf
DP-SGD,42,4,0.7762236565860927,0.6885571521356701,0.9201,0.9432980775071597,0.19462807158119658,0.8259940361365293,conv1,1.929898287952486,0.40667724669117017,1.747577353117678,6.761443067591214
DP-SGD,42,4,0.7762236565860927,0.6885571521356701,0.9201,0.9432980775071597,0.19462807158119658,0.8259940361365293,conv2,8.116986022230934,0.31399217756996295,7.738407213636184,12.646486256508814
DP-SGD,42,4,0.7762236565860927,0.6885571521356701,0.9201,0.9432980775071597,0.19462807158119658,0.8259940361365293,fc1,113.18653032551494,3.441689704576044,31.56624847676253,inf
DP-SGD,42,4,0.7762236565860927,0.6885571521356701,0.9201,0.9432980775071597,0.19462807158119658,0.8259940361365293,fc2,10.03921793104115,0.4983747792849263,8.974104655195815,inf
DP-SGD,42,5,0.7441174663030184,0.7135182905070484,0.9228,0.995693195331761,0.1692875267094017,0.8473503105660789,conv1,1.8897432215186065,0.3571454844123062,1.747577353117678,6.527381542473323
DP-SGD,42,5,0.7441174663030184,0.7135182905070484,0.9228,0.995693195331761,0.1692875267094017,0.8473503105660789,conv2,8.107435905630364,0.3654256313302066,7.607190433611693,13.131575730523656
DP-SGD,42,5,0.7441174663030184,0.7135182905070484,0.9228,0.995693195331761,0.1692875267094017,0.8473503105660789,fc1,108.94856758981487,3.319762622276218,31.408897912662802,inf
DP-SGD,42,5,0.7441174663030184,0.7135182905070484,0.9228,0.995693195331761,0.1692875267094017,0.8473503105660789,fc2,10.420248121430328,0.5325130727964777,9.185449448431918,inf
Synthetic DP-KFC (Pink Noise),42,1,0.9002043654521307,0.6017498497694731,0.9185,0.7861127240333559,0.6254841079059829,0.4033073913301023,conv1,1.2195989809220387,0.8286512254104937,0.6890277698045604,4.6812887686159375
Synthetic DP-KFC (Pink Noise),42,1,0.9002043654521307,0.6017498497694731,0.9185,0.7861127240333559,0.6254841079059829,0.4033073913301023,conv2,6.037239544278339,0.5411966909326497,5.288164467100625,14.207935083879956
Synthetic DP-KFC (Pink Noise),42,1,0.9002043654521307,0.6017498497694731,0.9185,0.7861127240333559,0.6254841079059829,0.4033073913301023,fc1,97.11436901647146,3.803929189528648,24.672129913212572,inf
Synthetic DP-KFC (Pink Noise),42,1,0.9002043654521307,0.6017498497694731,0.9185,0.7861127240333559,0.6254841079059829,0.4033073913301023,fc2,9.727710618083,0.5711690584457408,8.432389009604915,57.65572416708965
Synthetic DP-KFC (Pink Noise),42,2,0.6331697042044412,0.5638310746878386,0.9375,0.8385078418579571,0.2682792467948718,0.7567055426601671,conv1,0.7748888659474981,0.2925401055003066,0.6886827689390913,3.1605729826305327
Synthetic DP-KFC (Pink Noise),42,2,0.6331697042044412,0.5638310746878386,0.9375,0.8385078418579571,0.2682792467948718,0.7567055426601671,conv2,4.353294422219951,0.39713175232623626,4.029051178457362,14.198808774168794
Synthetic DP-KFC (Pink Noise),42,2,0.6331697042044412,0.5638310746878386,0.9375,0.8385078418579571,0.2682792467948718,0.7567055426601671,fc1,82.33082275410374,3.7507941666511493,21.187363099507376,inf
Synthetic DP-KFC (Pink Noise),42,2,0.6331697042044412,0.5638310746878386,0.9375,0.8385078418579571,0.2682792467948718,0.7567055426601671,fc2,8.684257165685723,0.5581520303307931,7.567354673682067,50.53039635379923
Synthetic DP-KFC (Pink Noise),42,3,0.603710064648563,0.5246512514232432,0.9451,0.8909029596825585,0.20504473824786323,0.8138688295824915,conv1,0.7709067054269921,0.2808396350425851,0.6911917181701429,3.0428423001792098
Synthetic DP-KFC (Pink Noise),42,3,0.603710064648563,0.5246512514232432,0.9451,0.8909029596825585,0.20504473824786323,0.8138688295824915,conv2,3.3790280136414825,0.3653680844092237,3.155211180696075,11.575164812640729
Synthetic DP-KFC (Pink Noise),42,3,0.603710064648563,0.5246512514232432,0.9451,0.8909029596825585,0.20504473824786323,0.8138688295824915,fc1,79.16535400485942,3.6600411200143,20.84256133943082,inf
Synthetic DP-KFC (Pink Noise),42,3,0.603710064648563,0.5246512514232432,0.9451,0.8909029596825585,0.20504473824786323,0.8138688295824915,fc2,9.20601890189318,0.7091826958741195,7.487012567875784,50.734500314868285
Synthetic DP-KFC (Pink Noise),42,4,0.6147987152266706,0.5034761806216382,0.9481,0.9432980775071597,0.1769664797008547,0.8376247452365028,conv1,0.7860075090601809,0.32162284003338654,0.6827500686540994,3.3168411792245722
Synthetic DP-KFC (Pink Noise),42,4,0.6147987152266706,0.5034761806216382,0.9481,0.9432980775071597,0.1769664797008547,0.8376247452365028,conv2,2.745003877661633,0.34867295196116604,2.57097071092873,11.122794967022674
Synthetic DP-KFC (Pink Noise),42,4,0.6147987152266706,0.5034761806216382,0.9481,0.9432980775071597,0.1769664797008547,0.8376247452365028,fc1,73.81376178532112,3.6054610272458296,19.704467868728347,inf
Synthetic DP-KFC (Pink Noise),42,4,0.6147987152266706,0.5034761806216382,0.9481,0.9432980775071597,0.1769664797008547,0.8376247452365028,fc2,9.321177367081686,0.5717654991320802,8.076635815714333,50.57165922538876
Synthetic DP-KFC (Pink Noise),42,5,0.612792489110914,0.5812231828264892,0.9478,0.995693195331761,0.1600727831196581,0.8521882754105788,conv1,0.7618583971022175,0.2737958526007295,0.6857220920882543,3.0546077441914488
Synthetic DP-KFC (Pink Noise),42,5,0.612792489110914,0.5812231828264892,0.9478,0.995693195331761,0.1600727831196581,0.8521882754105788,conv2,3.300254478470411,0.38078692829176336,3.063618501916414,11.736214739642444
