method,seed,epoch,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,layer,W_kron,W_G,W_A,log_kappa_kron
DP-SGD,42,1,3.3203206062316895,29.399608612060547,0.125,0.7123345048484723,1.0,0.12897407822310925,conv1,2.528612502764205,1.0479673081771237,1.5886650742784552,8.645316618541152
DP-SGD,42,1,3.3203206062316895,29.399608612060547,0.125,0.7123345048484723,1.0,0.12897407822310925,conv2,12.697675644380926,1.7067872149902503,6.3606750102293965,25.674146539407843
DP-SGD,42,1,3.3203206062316895,29.399608612060547,0.125,0.7123345048484723,1.0,0.12897407822310925,fc1,190.88900444641092,5.429057022851566,34.5649361563333,inf
DP-SGD,42,1,3.3203206062316895,29.399608612060547,0.125,0.7123345048484723,1.0,0.12897407822310925,fc2,15.699668079428655,1.2114784403867245,9.964354397498084,inf
DP-SGD,42,2,72.94305992126465,616.606201171875,0.25,0.9963923627328367,0.875,0.12662086030468345,conv1,3.061743711240619,1.1924116315570912,1.812077152719394,9.899217331288868
DP-SGD,42,2,72.94305992126465,616.606201171875,0.25,0.9963923627328367,0.875,0.12662086030468345,conv2,9.433712952883159,1.2461333614894488,5.852585409153486,17.176109977214477
DP-SGD,42,2,72.94305992126465,616.606201171875,0.25,0.9963923627328367,0.875,0.12662086030468345,fc1,181.12268786436042,5.547881994450158,32.11433610339946,inf
DP-SGD,42,2,72.94305992126465,616.606201171875,0.25,0.9963923627328367,0.875,0.12662086030468345,fc2,16.53599956137766,1.367244254021374,9.72855983557484,inf
Synthetic DP-KFC (Pink Noise),42,1,3.325761079788208,29.82256317138672,0.125,0.7123345048484723,1.0,0.00020038898765051272,conv1,1.1846290853073234,0.7483896512296524,0.7352009739774605,5.001381424569749
Synthetic DP-KFC (Pink Noise),42,1,3.325761079788208,29.82256317138672,0.125,0.7123345048484723,1.0,0.00020038898765051272,conv2,8.871054773725243,1.3920058753961642,5.111629458608449,26.65146886175328
Synthetic DP-KFC (Pink Noise),42,1,3.325761079788208,29.82256317138672,0.125,0.7123345048484723,1.0,0.00020038898765051272,fc1,180.21403496884724,5.399739079676835,32.801839091089334,inf
Synthetic DP-KFC (Pink Noise),42,1,3.325761079788208,29.82256317138672,0.125,0.7123345048484723,1.0,0.00020038898765051272,fc2,16.353551635876403,1.3113432318399145,9.884555187453397,inf
Synthetic DP-KFC (Pink Noise),42,2,73.20412063598633,640.5682373046875,0.25,0.9963923627328367,0.875,0.12500431481885244,conv1,1.5917172942980404,0.9363855425702197,0.9395435310673513,6.539799619197864
Synthetic DP-KFC (Pink Noise),42,2,73.20412063598633,640.5682373046875,0.25,0.9963923627328367,0.875,0.12500431481885244,conv2,7.447345321362218,1.2715806304862352,4.536092118788521,18.284268380352877
Synthetic DP-KFC (Pink Noise),42,2,73.20412063598633,640.5682373046875,0.25,0.9963923627328367,0.875,0.12500431481885244,fc1,132.49985247948723,5.072564353651291,25.60884780339703,inf
Synthetic DP-KFC (Pink Noise),42,2,73.20412063598633,640.5682373046875,0.25,0.9963923627328367,0.875,0.12500431481885244,fc2,14.396728313224887,1.4705724668084852,8.053139623684725,inf
CLW-Kron,42,1,3.3203206062316895,29.399606704711914,0.125,0.7123345048484723,1.0,0.12897407822310925,conv1,2.528612560423337,1.0479673353983834,1.5886650878599824,8.645316715684523
CLW-Kron,42,1,3.3203206062316895,29.399606704711914,0.125,0.7123345048484723,1.0,0.12897407822310925,conv2,12.697675464746736,1.7067871911090753,6.360674986481099,25.6741469520276
CLW-Kron,42,1,3.3203206062316895,29.399606704711914,0.125,0.7123345048484723,1.0,0.12897407822310925,fc1,190.88900310083312,5.429056987923208,34.564936127747345,inf
CLW-Kron,42,1,3.3203206062316895,29.399606704711914,0.125,0.7123345048484723,1.0,0.12897407822310925,fc2,15.699667971958071,1.2114784290561045,9.964354384865763,inf
CLW-Kron,42,2,73.05300331115723,616.4302978515625,0.25,0.9963923627328367,0.875,0.12661168084014207,conv1,3.0898052713170947,1.2074404556323652,1.8141107107288459,9.921136630988265
CLW-Kron,42,2,73.05300331115723,616.4302978515625,0.25,0.9963923627328367,0.875,0.12661168084014207,conv2,9.401880640525885,1.2421755215371288,5.844099862804181,17.135966107226587
CLW-Kron,42,2,73.05300331115723,616.4302978515625,0.25,0.9963923627328367,0.875,0.12661168084014207,fc1,180.5274985706615,5.5287265587694945,32.11620375223728,inf
CLW-Kron,42,2,73.05300331115723,616.4302978515625,0.25,0.9963923627328367,0.875,0.12661168084014207,fc2,16.53761860862272,1.3652556073308535,9.738842302330685,inf
