method,seed,epoch,tau,preconditioner_batches,synthetic_samples,noise_multiplier,test_accuracy,test_loss,train_loss,epsilon_spent,clip_fraction,mean_clip_factor,precond_build_seconds,private_train_seconds,total_epoch_seconds,operator_dof,log_scale_rmse,log_scale_pearson,log_scale_spearman,correlation_defined,gain_geomean,log10_gain_range,gain_min,gain_p1,gain_p10,gain_median,gain_p90,gain_p99,gain_max
DP-SGD,42,1,1.0,10,2560,1.068115234375,0.8409,0.7062509513854981,0.773717657661438,0.7863366347932901,0.589,0.4915739836374919,0.001163668930530548,8.789336379151791,8.790500048082322,0,0.0,,,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,42,2,1.0,10,2560,1.068115234375,0.8995,0.5548491369247437,0.5640660446802775,0.8389556633778256,0.31338333333333335,0.7315211181640625,0.0010678309481590986,8.46663720603101,8.467705036979169,0,0.0,,,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,42,3,1.0,10,2560,1.068115234375,0.8986,0.566367319393158,0.5396576257705689,0.891574691962361,0.2646,0.7727094167073568,0.001053243177011609,8.24441599380225,8.245469236979261,0,0.0,,,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,42,4,1.0,10,2560,1.068115234375,0.9133,0.535441432851553,0.5141261725107829,0.9441937205468965,0.2358,0.7973944245656331,0.000999924959614873,8.134394129971042,8.135394054930657,0,0.0,,,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DP-SGD,42,5,1.0,10,2560,1.068115234375,0.921,0.5282137103796005,0.5010027067184448,0.9968127491314319,0.20836666666666667,0.8195503079732259,0.000882954802364111,8.12291907100007,8.123802025802433,0,0.0,,,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Full-Fisher Equil,42,1,1.0,10,2560,1.068115234375,0.8617,0.6013698871612548,0.765117387676239,0.7863366347932901,0.6214,0.4705230189641317,0.25637892284430563,8.117773053934798,8.374151976779103,206921,0.0,0.9999999999999999,1.0,True,1.000000000495229,1.3085416293185477,0.07746227085590363,0.34930381205596556,0.5302730798713776,1.1145936846731166,1.5762745141983032,1.5762745141983032,1.5762745141983032
Full-Fisher Equil,42,2,1.0,10,2560,1.068115234375,0.907,0.47399465906620025,0.49483422966003415,0.8389556633778256,0.29605,0.7535457874298096,0.1916416920721531,8.033545397920534,8.225187089992687,206921,0.0,1.0,0.9999999999999999,True,1.0000000002163048,1.0539779702842245,0.12830255925655362,0.4731200566858629,0.6750047028050685,1.0273016691205397,1.4353919267650925,1.4528249502182007,1.4528249502182007
Full-Fisher Equil,42,3,1.0,10,2560,1.068115234375,0.9132,0.44771103960871694,0.4505750785191854,0.891574691962361,0.24663333333333334,0.7938301761627198,0.18869102303870022,8.04886173689738,8.23755275993608,206921,0.0,1.0,0.9999999999999999,True,0.9999999995186549,1.0350076548450056,0.13425253331661227,0.49029070008191106,0.673503327369143,1.0289976000769239,1.4251621365541685,1.4552249908447266,1.4552249908447266
Full-Fisher Equil,42,4,1.0,10,2560,1.068115234375,0.9236,0.4179276324033737,0.40936691484451293,0.9441937205468965,0.21555,0.8193801961263021,0.18820220814086497,8.660048472927883,8.848250681068748,206921,0.0,0.9999999999999998,1.0,True,1.000000000251776,0.9576395963871556,0.16135597229003906,0.4751197108739733,0.6743434548377223,1.0349248647672242,1.4123748183248033,1.4636075496673584,1.4636075496673584
Full-Fisher Equil,42,5,1.0,10,2560,1.068115234375,0.9315,0.40708446736484766,0.3901487940152486,0.9968127491314319,0.19076666666666667,0.8388331447601318,0.18883872381411493,8.162391264922917,8.351229988737032,206921,0.0,1.0,0.9999999999999999,True,0.9999999998968679,1.0008450736653032,0.14603953063488007,0.4841687717568457,0.6787695467455851,1.0346643924685666,1.4185532808270491,1.4632397890090942,1.4632397890090942
Module-Elementwise Equil,42,1,1.0,10,2560,1.068115234375,0.8436,0.7137636920928955,0.7596236652056376,0.7863366347932901,0.5936666666666667,0.48955558029810586,0.4407974099740386,8.018416255014017,8.459213664988056,206921,0.0,1.0,1.0,True,1.0000000030450578,1.0550439761215944,0.1386072337627411,0.3501317244371811,0.531485050916604,1.1125354170769732,1.573366403579712,1.573366403579712,1.573366403579712
Module-Elementwise Equil,42,2,1.0,10,2560,1.068115234375,0.9065,0.5052064938545227,0.5259727731068929,0.8389556633778256,0.2885333333333333,0.7564275939941406,0.3284976379945874,8.04973647906445,8.378234117059037,206921,0.0,1.0,1.0,True,0.9999999996230269,0.9056767548732289,0.18211561441421512,0.4589788720009744,0.6469371855243519,1.0363555550574417,1.4518096566198666,1.4656286239624023,1.4656286239624023
Module-Elementwise Equil,42,3,1.0,10,2560,1.068115234375,0.9125,0.4912240382060409,0.482097345161438,0.891574691962361,0.24131666666666668,0.7956159798940022,0.2887227269820869,8.231812012149021,8.520534739131108,206921,0.0,1.0,1.0,True,1.0000000000442104,0.9289500298035998,0.1730479598045349,0.47578190318840824,0.6511934697595553,1.0389632582616464,1.4415964603421516,1.4693204164505005,1.4693204164505005
Module-Elementwise Equil,42,4,1.0,10,2560,1.068115234375,0.9216,0.4746363454580307,0.44308909441630046,0.9441937205468965,0.20993333333333333,0.8207967627207439,0.292959620943293,8.495378547115251,8.788338168058544,206921,0.0,1.0,1.0,True,0.9999999999251685,1.0426627531555626,0.1333078145980835,0.48428594410207637,0.6633934497812854,1.0399263501150882,1.4253310680389333,1.469963788986206,1.470680594444275
Module-Elementwise Equil,42,5,1.0,10,2560,1.068115234375,0.9327,0.4511718420740217,0.4304054070790609,0.9968127491314319,0.18703333333333333,0.839591864267985,0.3443689208943397,8.108122088946402,8.452491009840742,206921,0.0,1.0,1.0,True,0.9999999993451104,0.9384963772421584,0.16997234523296356,0.47016554388006326,0.6624619960778879,1.043179631232391,1.4341908097264364,1.4752806425094604,1.4752806425094604
Factorized Equil,42,1,1.0,10,2560,1.068115234375,0.8397,0.7369448694229126,0.7550435263951619,0.7863366347932901,0.5892666666666667,0.49344111480712893,0.3093079070094973,8.218773199943826,8.528081106953323,2034,0.15594654585156004,0.9296632505569998,0.9454976144136819,True,1.0000000000007814,1.2297341623463716,0.14585937559604645,0.4370371692463435,0.5957004785512986,1.0043452978133873,1.7050539255142212,2.3841564624785994,2.475531816482544
