source_method,method,seed,epoch,statistic_sha256,target_sha256,module,coordinates,operator_dof,log_scale_rmse,log_scale_pearson,log_scale_spearman,correlation_defined,gain_geomean,log10_gain_range,gain_min,gain_p1,gain_p10,gain_median,gain_p90,gain_p99,gain_max
Full-Fisher Equil,Full-Fisher Equil,42,1,b4d81df37da7c3e115e90fa33a63186bb72e2942ca8c352e736c07738a402d8f,177d8aae247e6cf788b09e4536f843fba4a0087a26beeb01989078a22ce2203b,conv1,160,160,0.0,1.0,1.0,True,0.7303250328471658,0.7325913700787171,0.24946336448192596,0.31874639278711114,0.5074220743077691,0.7484667220013778,1.0338287858153934,1.3157898619661532,1.3477152585983276
Full-Fisher Equil,Full-Fisher Equil,42,1,b4d81df37da7c3e115e90fa33a63186bb72e2942ca8c352e736c07738a402d8f,177d8aae247e6cf788b09e4536f843fba4a0087a26beeb01989078a22ce2203b,conv2,4640,4640,0.0,1.0,1.0,True,0.7568253820852413,0.9466387680002057,0.1782350391149521,0.2830886810899738,0.4381765499886762,0.7195288509816133,1.4157176375320761,1.5762745141983032,1.5762745141983032
Full-Fisher Equil,Full-Fisher Equil,42,1,b4d81df37da7c3e115e90fa33a63186bb72e2942ca8c352e736c07738a402d8f,177d8aae247e6cf788b09e4536f843fba4a0087a26beeb01989078a22ce2203b,fc1,200832,200832,0.0,1.0,1.0,True,1.0098097309689094,0.9258456068718739,0.18697616457939148,0.3565083108980109,0.538001549234084,1.1256778836233121,1.5762745141983032,1.5762745141983032,1.5762745141983032
Full-Fisher Equil,Full-Fisher Equil,42,1,b4d81df37da7c3e115e90fa33a63186bb72e2942ca8c352e736c07738a402d8f,177d8aae247e6cf788b09e4536f843fba4a0087a26beeb01989078a22ce2203b,fc2,1290,1290,0.0,1.0,0.9999999999999999,True,0.6196399789680624,1.3085416293185477,0.07746227085590363,0.1933778048864518,0.2889564029744056,0.5480871787302509,1.5516375344528592,1.5762745141983032,1.5762745141983032
Full-Fisher Equil,Full-Fisher Equil,42,1,b4d81df37da7c3e115e90fa33a63186bb72e2942ca8c352e736c07738a402d8f,177d8aae247e6cf788b09e4536f843fba4a0087a26beeb01989078a22ce2203b,__global__,206922,206921,0.0,0.9999999999999999,1.0,True,1.000000000495229,1.3085416293185477,0.07746227085590363,0.34930381205596556,0.5302730798713776,1.1145936846731166,1.5762745141983032,1.5762745141983032,1.5762745141983032
Module-Elementwise Equil,Module-Elementwise Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,conv1,160,160,0.0,1.0,1.0,True,1.3590431630379862,0.23865967100682792,0.8904878497123718,1.0185739445242874,1.2074003888136082,1.3847674677605781,1.4554751592225086,1.5313735189086226,1.5427219867706299
Module-Elementwise Equil,Module-Elementwise Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,conv2,4640,4640,0.0,1.0,1.0,True,1.0484517338164585,0.5935325100104674,0.40114128589630127,0.5646695417033373,0.7159077299885164,1.0554014426702507,1.5141634941018296,1.573366403579712,1.573366403579712
Module-Elementwise Equil,Module-Elementwise Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,fc1,200832,200832,0.0,1.0,0.9999999999999999,True,0.9999798477810928,0.9283452575355505,0.18556010723114014,0.3491699436023132,0.5296453594993323,1.1154235601399691,1.573366403579712,1.573366403579712,1.573366403579712
Module-Elementwise Equil,Module-Elementwise Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,fc2,1290,1290,0.0,1.0,0.9999999999999999,True,0.8145674264881958,1.0550439761215944,0.1386072337627411,0.30913934721154535,0.4405336553744495,0.7638829644324008,1.5631583029053273,1.573366403579712,1.573366403579712
Module-Elementwise Equil,Module-Elementwise Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,__global__,206922,206921,0.0,1.0,1.0,True,1.0000000030450578,1.0550439761215944,0.1386072337627411,0.3501317244371811,0.531485050916604,1.1125354170769732,1.573366403579712,1.573366403579712,1.573366403579712
Module-Elementwise Equil,Factorized Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,conv1,160,25,0.03322842725015277,0.9088806907651925,0.787759287472167,True,1.3590431441869564,0.18907840303588455,0.9976022839546204,1.1321360949545418,1.1917847123218908,1.3793061126881516,1.4352726088184518,1.5377000308920412,1.54182767868042
Module-Elementwise Equil,Factorized Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,conv2,4640,176,0.10667228904325954,0.9263963579632343,0.9482275152508942,True,1.0484517284061188,0.6781314729361165,0.4673188924789428,0.6322065175620184,0.7572065521124669,1.0245711198226426,1.488548075478353,2.0504328211158738,2.227126121520996
Module-Elementwise Equil,Factorized Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,fc1,200832,1696,0.157432499929571,0.9289078724658428,0.9452767376858644,True,0.9999798448772806,0.9675948349364941,0.2667311131954193,0.43830876613227404,0.5947866678236366,1.0035467147528006,1.7135580658858018,2.3887691497802734,2.475531816482544
Module-Elementwise Equil,Factorized Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,fc2,1290,138,0.03531438228089285,0.9975183017447526,0.9923201541902783,True,0.8145674134965648,1.071793259937748,0.14585937559604645,0.3201025066706066,0.44619545975204683,0.7557256703768147,1.5261665883500615,1.7031655631731406,1.7207889556884766
Module-Elementwise Equil,Factorized Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,__global__,206922,2034,0.15594654585156004,0.9296632505569998,0.9454976144136819,True,1.0000000000007814,1.2297341623463716,0.14585937559604645,0.4370371692463435,0.5957004785512986,1.0043452978133873,1.7050539255142212,2.3841564624785994,2.475531816482544
Module-Elementwise Equil,Layer-Scalar Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,conv1,160,1,0.07967373635076452,,,False,1.3590431213378904,0.0,1.3590431213378906,1.3590431213378906,1.3590431213378906,1.3590431213378906,1.3590431213378906,1.3590431213378906,1.3590431213378906
Module-Elementwise Equil,Layer-Scalar Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,conv2,4640,1,0.28328862603069543,,,False,1.0484517812728882,0.0,1.0484517812728882,1.0484517812728882,1.0484517812728882,1.0484517812728882,1.0484517812728882,1.0484517812728882,1.0484517812728882
Module-Elementwise Equil,Layer-Scalar Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,fc1,200832,1,0.42513601109051125,,,False,0.9999798536300659,0.0,0.9999798536300659,0.9999798536300659,0.9999798536300659,0.9999798536300659,0.9999798536300659,0.9999798536300659,0.9999798536300659
Module-Elementwise Equil,Layer-Scalar Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,fc2,1290,1,0.5015702197060057,,,False,0.8145674467086792,0.0,0.8145674467086792,0.8145674467086792,0.8145674467086792,0.8145674467086792,0.8145674467086792,0.8145674467086792,0.8145674467086792
Module-Elementwise Equil,Layer-Scalar Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,__global__,206922,3,0.4228404268293411,0.04636700768427599,0.013663327735332718,True,1.0000000098680133,0.22230618676750785,0.8145674467086792,0.9999798536300659,0.9999798536300659,0.9999798536300659,0.9999798536300659,1.0484517812728882,1.3590431213378906
Factorized Equil,Module-Elementwise Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,conv1,160,160,0.0,1.0,1.0,True,1.3590431630379862,0.23865967100682792,0.8904878497123718,1.0185739445242874,1.2074003888136082,1.3847674677605781,1.4554751592225086,1.5313735189086226,1.5427219867706299
Factorized Equil,Module-Elementwise Equil,42,1,9adcbb823c59a74384576b24b2b2237aff4de3814f606e216f1dec7a0d0d8f7b,b3b49650460c30c6068c51c910680ecf9bb9e1b122a4069cc56c72915f474974,conv2,4640,4640,0.0,1.0,1.0,True,1.0484517338164585,0.5935325100104674,0.40114128589630127,0.5646695417033373,0.7159077299885164,1.0554014426702507,1.5141634941018296,1.573366403579712,1.573366403579712
