method,seed,epoch,tau,preconditioner_batches,synthetic_samples,noise_multiplier,test_accuracy,test_loss,train_loss,epsilon_spent,clip_fraction,mean_clip_factor,precond_build_seconds,private_train_seconds,total_epoch_seconds,operator_dof,log_scale_rmse,log_scale_pearson,log_scale_spearman,correlation_defined,gain_geomean,log10_gain_range,gain_min,gain_p1,gain_p10,gain_median,gain_p90,gain_p99,gain_max,mean_final_accuracy,std_final_accuracy
DP-SGD,42,5,1.0,10,2560,1.068115234375,0.921,0.5282137103796005,0.5010027067184448,0.9968127491314319,0.20836666666666667,0.8195503079732259,0.000882954802364111,8.12291907100007,8.123802025802433,0,0.0,,,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9212,0.00028284271247458785
Full-Fisher Equil,42,5,1.0,10,2560,1.068115234375,0.9315,0.40708446736484766,0.3901487940152486,0.9968127491314319,0.19076666666666667,0.8388331447601318,0.18883872381411493,8.162391264922917,8.351229988737032,206921,0.0,1.0,0.9999999999999999,True,0.9999999998968679,1.0008450736653032,0.14603953063488007,0.4841687717568457,0.6787695467455851,1.0346643924685666,1.4185532808270491,1.4632397890090942,1.4632397890090942,0.9319999999999999,0.0007071067811865874
Module-Elementwise Equil,42,5,1.0,10,2560,1.068115234375,0.9327,0.4511718420740217,0.4304054070790609,0.9968127491314319,0.18703333333333333,0.839591864267985,0.3443689208943397,8.108122088946402,8.452491009840742,206921,0.0,1.0,1.0,True,0.9999999993451104,0.9384963772421584,0.16997234523296356,0.47016554388006326,0.6624619960778879,1.043179631232391,1.4341908097264364,1.4752806425094604,1.4752806425094604,0.93135,0.001909188309203625
Factorized Equil,42,5,1.0,10,2560,1.068115234375,0.9316,0.45692205697447064,0.4437162845929464,0.9968127491314319,0.18856666666666666,0.83860562693278,0.33540379791520536,8.120608316967264,8.45601211488247,2034,0.09311501953314139,0.9521503097584241,0.9718948898553269,True,0.9999999996694653,1.1051420356159642,0.17134635150432587,0.5349573802327684,0.6953479886025112,0.9988775849325257,1.4628451943386152,1.9121543987510963,2.182814836502075,0.93045,0.0016263455967290372
Layer-Scalar Equil,42,5,1.0,10,2560,1.068115234375,0.9222,0.5243564441680908,0.4985161851247152,0.9968127491314319,0.2019,0.8251239437103272,0.3008775340858847,8.090820159995928,8.391697694081813,3,0.37205562060227954,0.19025390099355402,0.06362834084697246,True,1.000000056130314,0.48143782852655087,0.4115118682384491,1.0031607151031494,1.0031607151031494,1.0031607151031494,1.0031607151031494,1.108116865158081,1.2468671798706055,0.92315,0.0013435028842544493
DP-SGD,7,5,1.0,10,2560,1.068115234375,0.9214,0.4986188274383545,0.48565123259226484,0.9968127491314319,0.19498333333333334,0.830975116856893,0.0005583621095865965,8.265176521847025,8.265734883956611,0,0.0,,,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9212,0.00028284271247458785
Full-Fisher Equil,7,5,1.0,10,2560,1.068115234375,0.9325,0.3860237014912069,0.3999124165852865,0.9968127491314319,0.18173333333333333,0.8458972343444824,0.19684353400953114,8.309023082023486,8.505866616033018,206921,0.0,0.9999999999999998,1.0,True,0.9999999999972033,1.0785916669123072,0.1243342310190201,0.4356246131190636,0.6458242654678416,1.0535753965290404,1.4323945879918498,1.4868277311325073,1.4899866580963135,0.9319999999999999,0.0007071067811865874
Module-Elementwise Equil,7,5,1.0,10,2560,1.068115234375,0.93,0.4204439070105553,0.4338236036618551,0.9968127491314319,0.17888333333333334,0.8467037256876627,0.3429634540807456,8.095798612106591,8.438762066187337,206921,0.0,1.0,1.0,True,0.9999999999768423,0.9936206185533981,0.1508229374885559,0.44787610162848573,0.6464708089814949,1.0509240031161897,1.4326128005981158,1.4837127053736299,1.486236810684204,0.93135,0.001909188309203625
Factorized Equil,7,5,1.0,10,2560,1.068115234375,0.9293,0.42685902322456243,0.43972550293604534,0.9968127491314319,0.17901666666666666,0.8458493721008301,0.3398396398406476,8.164630654035136,8.504470293875784,2034,0.09313381685222652,0.9538938470135407,0.9697070988312422,True,1.0000000034904857,1.111714475772639,0.1650703400373459,0.5123028367455643,0.6861553251731571,1.0014025568937812,1.4649842977488445,1.9161781787751742,2.1349294185638428,0.93045,0.0016263455967290372
Layer-Scalar Equil,7,5,1.0,10,2560,1.068115234375,0.9241,0.501803212928772,0.49133875986735026,0.9968127491314319,0.18941666666666668,0.8357557675679524,0.3413556730374694,8.174578756093979,8.515934429131448,3,0.31191608509060753,0.20504098840589846,0.1268530680679582,True,0.9999999882550641,0.41869958868451895,0.4793860912322998,1.0000180006027222,1.0000180006027222,1.0000180006027222,1.0000180006027222,1.2162120342254639,1.2571439743041992,0.92315,0.0013435028842544493
