method,algorithm,mode,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,preconditioner_build_seconds,private_train_seconds,seconds_per_batch,samples_per_second,peak_cuda_allocated_bytes,peak_cuda_reserved_bytes,build_peak_cuda_allocated_bytes,build_peak_cuda_reserved_bytes,total_peak_cuda_allocated_bytes,total_peak_cuda_reserved_bytes,batches,samples,accountant_steps,ghost_first_pass_norm_seconds,ghost_second_pass_backward_seconds,aggregate_transform_seconds
Factorized Equil Ghost,Factorized Equil,Ghost,42,1,0.8921,0.5105229518294334,0.7580589934801444,0.7861127240333559,1.068115234375,0.5879573985042735,0.4958391361830071,0.09016378968954086,13.942118216305971,0.059581701779085346,4296.621149714498,108042752,136314880,482256896,488636416,482256896,488636416,234,59904,234,2.162990927696228,0.6440169401466846,0.21732340101152658
Factorized Equil Ghost,Factorized Equil,Ghost,42,2,0.92,0.4454736602425575,0.5218817670630593,0.8385078418579571,1.068115234375,0.2866252670940171,0.7588867845698299,0.07191651314496994,13.788445471785963,0.05892498064865796,4344.507154383436,108042752,136314880,483064320,488636416,483064320,488636416,234,59904,468,2.1626538624987006,0.6420466620475054,0.2197528062388301
Factorized Equil Ghost,Factorized Equil,Ghost,42,3,0.9167,0.47018466375172135,0.4855981476795979,0.8909029596825585,1.068115234375,0.23419137286324787,0.8021658638603667,0.0899313073605299,14.021058677695692,0.059919054178186715,4272.430590087581,108042752,136314880,483064320,490733568,483064320,490733568,234,59904,702,2.1418997943401337,0.6469854218885303,0.22006539162248373
Factorized Equil Ghost,Factorized Equil,Ghost,42,4,0.9295,0.42682273750007155,0.45155982749584395,0.9432980775071597,1.068115234375,0.2018729967948718,0.8283012550101321,0.0880551915615797,13.927522609010339,0.05951932738893307,4301.12387405104,108042752,138412032,483064320,490733568,483064320,490733568,234,59904,936,2.1507563227787614,0.6399164889007807,0.2171033201739192
Factorized Equil Ghost,Factorized Equil,Ghost,42,5,0.9331,0.4287016437653452,0.43842412505903816,0.995693195331761,1.068115234375,0.18232505341880342,0.8428754044903649,0.08637128304690123,13.941334562376142,0.05957835283066727,4296.862666337881,108042752,138412032,483064320,490733568,483064320,490733568,234,59904,1170,2.139688715338707,0.643336184322834,0.22296149097383022
DP-KFC Ghost,DP-KFC,Ghost,42,1,0.8969,0.5526067743301392,0.8807384541146775,0.7861127240333559,1.068115234375,0.7950220352564102,0.2372381258268371,0.1370912855491042,13.705501228570938,0.05857051807081597,4370.799651976402,118102016,159383552,140171264,228589568,140171264,228589568,234,59904,234,2.3695792965590954,0.6385717513039708,0.2480035526677966
DP-KFC Ghost,DP-KFC,Ghost,42,2,0.9335,0.4769190958023071,0.5727850186646494,0.8385078418579571,1.068115234375,0.29407051282051283,0.7383264680194039,0.12895314022898674,13.723088171333075,0.05864567594586784,4365.198215743947,118102016,159383552,140978688,228589568,140978688,228589568,234,59904,468,2.3759705191478133,0.6462575448676944,0.2510142121464014
DP-KFC Ghost,DP-KFC,Ghost,42,3,0.9432,0.4209056890547275,0.49416976262871015,0.8909029596825585,1.068115234375,0.20569577991452992,0.816777276687133,0.1298288106918335,13.776462127454579,0.05887376977544692,4348.286188848125,118102016,159383552,140978688,228589568,140978688,228589568,234,59904,702,2.3830988919362426,0.6422259900718927,0.2610572651028633
DP-KFC Ghost,DP-KFC,Ghost,42,4,0.9476,0.3791899331203662,0.44636072269362265,0.9432980775071597,1.068115234375,0.17492988782051283,0.8444190962701781,0.1272177156060934,13.768882879987359,0.05884137982900581,4350.679755368433,118102016,159383552,140978688,230686720,140978688,230686720,234,59904,936,2.375910410657525,0.6353570455685258,0.2520829001441598
DP-KFC Ghost,DP-KFC,Ghost,42,5,0.952,0.3633041908860207,0.3973214246141605,0.995693195331761,1.068115234375,0.15680088141025642,0.8602301669426453,0.1290118545293808,13.75611200556159,0.058786803442570895,4354.7188315841595,118102016,159383552,140978688,228589568,140978688,228589568,234,59904,1170,2.386830517090857,0.6470799129456282,0.25673009268939495
