algorithm,seed,epoch,Exact,Ghost,ghost_minus_exact
DP-KFC,42,1,0.8969,,
DP-KFC,42,2,0.9334,,
DP-KFC,42,3,0.9432,,
DP-KFC,42,4,0.9476,,
DP-KFC,42,5,0.9521,,
DP-SGD,42,1,0.881,0.8809,-9.999999999998899e-05
DP-SGD,42,2,0.9119,0.9115,-0.00040000000000006697
DP-SGD,42,3,0.9126,0.9124,-0.00019999999999997797
DP-SGD,42,4,0.9223,0.9214,-0.0009000000000000119
DP-SGD,42,5,0.9287,0.9286,-9.999999999998899e-05
Factorized Equil,42,1,0.8921,0.8923,0.00019999999999997797
Factorized Equil,42,2,0.9201,0.92,-9.999999999998899e-05
Factorized Equil,42,3,0.9168,0.9166,-0.00019999999999997797
Factorized Equil,42,4,0.9297,0.9295,-0.00019999999999997797
Factorized Equil,42,5,0.9332,0.9332,0.0
