method,algorithm,mode,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,preconditioner_build_seconds,private_train_seconds,seconds_per_batch,samples_per_second,peak_cuda_allocated_bytes,peak_cuda_reserved_bytes,build_peak_cuda_allocated_bytes,build_peak_cuda_reserved_bytes,total_peak_cuda_allocated_bytes,total_peak_cuda_reserved_bytes,batches,samples,accountant_steps,ghost_first_pass_norm_seconds,ghost_second_pass_backward_seconds,aggregate_transform_seconds
DP-SGD Exact,DP-SGD,Exact,42,5,0.9287,0.48235097950473427,0.5062057860514038,0.995693195331761,1.068115234375,0.20237379807692307,0.82535728914106,3.1191855669021606e-05,12.020879694260657,0.051371280744703665,4983.329134273013,469204480,488636416,18676224,25165824,469204480,488636416,234,59904,1170,0.0,0.0,0.0
DP-SGD Ghost,DP-SGD,Ghost,42,5,0.9287,0.48182446813061836,0.5053255501975361,0.995693195331761,1.068115234375,0.20282451923076922,0.8251184028947455,1.3568438589572906e-05,13.692055146209896,0.05851305618038417,4375.091931804121,108031488,134217728,18676224,25165824,108031488,134217728,234,59904,1170,2.1107230484485626,0.6376126166433096,0.1511280806735158
Factorized Equil Exact,Factorized Equil,Exact,42,5,0.9332,0.42873100379519163,0.4386620168757235,0.995693195331761,1.068115234375,0.18242521367521367,0.8428634191170717,0.09660330601036549,12.340179299935699,0.05273580897408418,4854.386516111005,469215744,488636416,483064320,488636416,483064320,488636416,234,59904,1170,0.0,0.0,0.0
Factorized Equil Ghost,Factorized Equil,Ghost,42,5,0.9331,0.4287016437653452,0.43842412505903816,0.995693195331761,1.068115234375,0.18232505341880342,0.8428754044903649,0.08637128304690123,13.941334562376142,0.05957835283066727,4296.862666337881,108042752,138412032,483064320,490733568,483064320,490733568,234,59904,1170,2.139688715338707,0.643336184322834,0.22296149097383022
DP-KFC Exact,DP-KFC,Exact,42,5,0.9521,0.3633409096211195,0.39734997778621495,0.995693195331761,1.068115234375,0.1567508012820513,0.8602354508689326,0.13552584405988455,14.062078283168375,0.06009435163747169,4259.967751118423,1064072704,1319108608,140978688,228589568,1064072704,1319108608,234,59904,1170,0.0,0.0,0.0
DP-KFC Ghost,DP-KFC,Ghost,42,5,0.952,0.3633041908860207,0.3973214246141605,0.995693195331761,1.068115234375,0.15680088141025642,0.8602301669426453,0.1290118545293808,13.75611200556159,0.058786803442570895,4354.7188315841595,118102016,159383552,140978688,228589568,140978688,228589568,234,59904,1170,2.386830517090857,0.6470799129456282,0.25673009268939495
DP-SGD Exact,DP-SGD,Exact,7,5,0.9324,0.42659619781523944,0.4559312767834745,0.995693195331761,1.068115234375,0.19401041666666666,0.8322925745931447,1.2991949915885925e-05,11.871570589020848,0.05073320764538824,5046.0046167270275,469204480,488636416,18676224,25165824,469204480,488636416,234,59904,1170,0.0,0.0,0.0
DP-SGD Ghost,DP-SGD,Ghost,7,5,0.9328,0.42587075925916434,0.4551168017917209,0.995693195331761,1.068115234375,0.19411057692307693,0.8322556462043371,1.5292316675186157e-05,13.61993947159499,0.05820486953673072,4398.257431681877,108031488,134217728,18676224,25165824,108031488,134217728,234,59904,1170,2.255445022135973,0.6624578535556793,0.15741960052400827
Factorized Equil Exact,Factorized Equil,Exact,7,5,0.9384,0.37148185217846186,0.4114494184589284,0.995693195331761,1.068115234375,0.1740284455128205,0.8510490943733443,0.09120272751897573,12.007923191413283,0.05131591107441574,4988.706127204128,469215744,488636416,483064320,488636416,483064320,488636416,234,59904,1170,0.0,0.0,0.0
Factorized Equil Ghost,Factorized Equil,Ghost,7,5,0.938,0.3715549856955884,0.4114927308490643,0.995693195331761,1.068115234375,0.1741786858974359,0.851055133037078,0.08495272509753704,13.456292508170009,0.05750552353918807,4451.746271391558,108042752,138412032,483064320,490733568,483064320,490733568,234,59904,1170,2.22532713226974,0.6444524843245745,0.20588812977075577
DP-KFC Exact,DP-KFC,Exact,7,5,0.9462,0.447572402552329,0.45401254238990635,0.995693195331761,1.068115234375,0.1540965544871795,0.8619552952611548,0.13450285512953997,14.060501355677843,0.06008761263110189,4260.445519306455,1064072704,1319108608,140978688,228589568,1064072704,1319108608,234,59904,1170,0.0,0.0,0.0
DP-KFC Ghost,DP-KFC,Ghost,7,5,0.9462,0.44770993835497647,0.453990602435974,0.995693195331761,1.068115234375,0.15406316773504272,0.8619616566560208,0.1272856369614601,13.712277171202004,0.05859947509060685,4368.639814677031,118102016,159383552,140978688,228589568,140978688,228589568,234,59904,1170,2.35901274997741,0.6420322638005018,0.2485985355451703
