estimator,k,label_seed,reverse_vectors,vjp_calls,samples,build_seconds,peak_cuda_allocated,peak_cuda_reserved
Private-KFLR,9,-1,36,9,4,0.4105831906199455,48349184,67108864
KFLR,9,-1,36,9,4,0.01632290706038475,58419712,67108864
KFRA,0,-1,0,0,4,0.02753656916320324,68637184,278921216
KFAC-U-1,1,0,4,1,4,0.016699341125786304,78560768,360710144
KFAC-U-1,1,1,4,1,4,0.0036070244386792183,78560768,360710144
KFAC-U-3,3,0,12,3,4,0.007784408517181873,78560768,360710144
KFAC-U-3,3,1,12,3,4,0.007648862898349762,78560768,360710144
KFAC-U-9,9,0,36,9,4,0.019258517771959305,78560768,360710144
KFAC-U-9,9,1,36,9,4,0.016480871476233006,78560768,360710144
KFAC-M-1,1,0,4,1,4,0.0035580219700932503,78560256,360710144
KFAC-M-1,1,1,4,1,4,0.003461085259914398,78560256,360710144
KFAC-M-3,3,0,12,3,4,0.007531145587563515,78560256,360710144
KFAC-M-3,3,1,12,3,4,0.007626916281878948,78560256,360710144
KFAC-M-9,9,0,36,9,4,0.020254889503121376,78560256,360710144
KFAC-M-9,9,1,36,9,4,0.019314881414175034,78560256,360710144
