estimator,label_seed,layer,kron_relative_error,A_relative_error,A_cosine,C_relative_error,C_cosine
KFLR,-1,conv1,0.7959681357531417,0.800472780401398,0.8531770266840709,0.39273857062885426,0.9383369520230518
KFLR,-1,conv2,0.6851959589762878,0.6743379291596004,0.8004744708496986,0.2752243691505355,0.9649867025151702
KFLR,-1,fc1,0.8828579285535905,0.8125921474956324,0.6116047221262765,0.6989320368631335,0.7687507140428552
KFLR,-1,fc2,0.6208593340063177,0.6206468310192815,0.8130577581559699,0.022238516869037998,0.9997527058352884
KFRA,-1,conv1,0.7966912500178799,0.800472780401398,0.8531770266840709,0.40555606390510696,0.9342929699595758
KFRA,-1,conv2,0.6855808341094488,0.6743379291596004,0.8004744708496986,0.2758879673064851,0.9647167919112967
KFRA,-1,fc1,0.8827896046764037,0.8125921474956324,0.6116047221262765,0.6986727504298786,0.7689654348981698
KFRA,-1,fc2,0.6208593070805671,0.6206468310192815,0.8130577581559699,0.022238565571748088,0.9997527047730925
KFAC-U-1,0,conv1,0.7961270403224712,0.800472780401398,0.8531770266840709,0.38901327642890315,0.9392099577899363
KFAC-U-1,0,conv2,0.6904662112529588,0.6743379291596004,0.8004744708496986,0.3383306235315541,0.9491565128483412
KFAC-U-1,0,fc1,1.0697699210891127,0.8125921474956324,0.6116047221262765,1.56958607533211,0.44374327011514014
KFAC-U-1,0,fc2,0.9365408106195947,0.6206468310192815,0.8130577581559699,1.1672302385196913,0.6436382355167005
KFAC-U-1,1,conv1,0.7878684112358777,0.800472780401398,0.8531770266840709,0.42740765937599656,0.9361765346445584
KFAC-U-1,1,conv2,0.6864491804160902,0.6743379291596004,0.8004744708496986,0.36845266646402897,0.9450472830285936
KFAC-U-1,1,fc1,1.0521954627724117,0.8125921474956324,0.6116047221262765,1.5442367231737963,0.5099191147183298
KFAC-U-1,1,fc2,0.9276022658478202,0.6206468310192815,0.8130577581559699,1.1517893296646597,0.654293279051205
KFAC-U-3,0,conv1,0.7970510719576575,0.800472780401398,0.8531770266840709,0.3849432871379796,0.9395937014623338
KFAC-U-3,0,conv2,0.6874377295836539,0.6743379291596004,0.8004744708496986,0.2972098685610212,0.9594979987902649
KFAC-U-3,0,fc1,0.934600156852356,0.8125921474956324,0.6116047221262765,1.0000726538198643,0.6327435958706926
KFAC-U-3,0,fc2,0.6791511449330793,0.6206468310192815,0.8130577581559699,0.46316953319071325,0.9078092419596251
KFAC-U-3,1,conv1,0.792194179372236,0.800472780401398,0.8531770266840709,0.4000084532957728,0.9394727919989141
KFAC-U-3,1,conv2,0.6842746714640415,0.6743379291596004,0.8004744708496986,0.29857477962099876,0.9604958866199806
KFAC-U-3,1,fc1,0.9287248148432531,0.8125921474956324,0.6116047221262765,1.0015617267587957,0.6602820181630701
KFAC-U-3,1,fc2,0.7172757498442048,0.6206468310192815,0.8130577581559699,0.5970180244131688,0.857013169178324
KFAC-U-9,0,conv1,0.7958873860233323,0.800472780401398,0.8531770266840709,0.3968243378799398,0.9373043616894072
KFAC-U-9,0,conv2,0.6850001075245878,0.6743379291596004,0.8004744708496986,0.28558923648676404,0.9628963432877212
KFAC-U-9,0,fc1,0.9043085800953055,0.8125921474956324,0.6116047221262765,0.8333263468517463,0.7037748826323186
KFAC-U-9,0,fc2,0.6501579064585027,0.6206468310192815,0.8130577581559699,0.3265496921791043,0.9508246592576169
KFAC-U-9,1,conv1,0.7942903537112279,0.800472780401398,0.8531770266840709,0.3939900383864849,0.9393362414816999
KFAC-U-9,1,conv2,0.6847405968846663,0.6743379291596004,0.8004744708496986,0.28191020650301113,0.9637582485251432
KFAC-U-9,1,fc1,0.9197159330219089,0.8125921474956324,0.6116047221262765,0.9332634761883593,0.669677855215293
KFAC-U-9,1,fc2,0.7175525044424124,0.6206468310192815,0.8130577581559699,0.5960167462568097,0.856677273687641
KFAC-M-1,0,conv1,0.7961270420752417,0.800472780401398,0.8531770266840709,0.389013267763842,0.9392099587490098
KFAC-M-1,0,conv2,0.6904662112529588,0.6743379291596004,0.8004744708496986,0.3383306235315541,0.9491565128483412
KFAC-M-1,0,fc1,1.0697699210891127,0.8125921474956324,0.6116047221262765,1.56958607533211,0.44374327011514014
KFAC-M-1,0,fc2,0.9365408106195947,0.6206468310192815,0.8130577581559699,1.1672302385196913,0.6436382355167005
KFAC-M-1,1,conv1,0.787868409933776,0.800472780401398,0.8531770266840709,0.42740766071117975,0.9361765355014812
KFAC-M-1,1,conv2,0.6864491804160902,0.6743379291596004,0.8004744708496986,0.36845266646402897,0.9450472830285936
KFAC-M-1,1,fc1,1.0521954627724117,0.8125921474956324,0.6116047221262765,1.5442367231737963,0.5099191147183298
KFAC-M-1,1,fc2,0.9276022658478202,0.6206468310192815,0.8130577581559699,1.1517893296646597,0.654293279051205
KFAC-M-3,0,conv1,0.7970510747884058,0.800472780401398,0.8531770266840709,0.38494325088799913,0.9395937090580082
KFAC-M-3,0,conv2,0.6874377295836539,0.6743379291596004,0.8004744708496986,0.2972098685610212,0.9594979987902649
KFAC-M-3,0,fc1,0.934600156852356,0.8125921474956324,0.6116047221262765,1.0000726538198643,0.6327435958706926
KFAC-M-3,0,fc2,0.6791511449330793,0.6206468310192815,0.8130577581559699,0.46316953319071325,0.9078092419596251
KFAC-M-3,1,conv1,0.7921941809982601,0.800472780401398,0.8531770266840709,0.40000844230760757,0.9394727935078457
KFAC-M-3,1,conv2,0.6842746714640415,0.6743379291596004,0.8004744708496986,0.29857477962099876,0.9604958866199806
KFAC-M-3,1,fc1,0.9287248148432531,0.8125921474956324,0.6116047221262765,1.0015617267587957,0.6602820181630701
