estimator,k,label_seed,layer,C_relative_error
KFAC-M-1,1,0,conv1,0.07627955824136734
KFAC-M-1,1,0,conv2,0.17413701117038727
KFAC-M-1,1,0,fc1,1.3465023040771484
KFAC-M-1,1,0,fc2,1.1512795686721802
KFAC-U-9,9,1,conv1,0.03325440362095833
KFAC-U-9,9,1,conv2,0.0681973397731781
KFAC-U-9,9,1,fc1,0.5961899161338806
KFAC-U-9,9,1,fc2,0.5851379632949829
KFAC-U-1,1,1,conv1,0.0970633253455162
KFAC-U-1,1,1,conv2,0.2047571986913681
KFAC-U-1,1,1,fc1,1.3466312885284424
KFAC-U-1,1,1,fc2,1.1477632522583008
KFAC-M-3,3,0,conv1,0.045288458466529846
KFAC-M-3,3,0,conv2,0.1023784950375557
KFAC-M-3,3,0,fc1,0.6567941308021545
KFAC-M-3,3,0,fc2,0.4683820307254791
KFAC-M-9,9,1,conv1,0.033940400928258896
KFAC-M-9,9,1,conv2,0.06981296092271805
KFAC-M-9,9,1,fc1,0.5955565571784973
KFAC-M-9,9,1,fc2,0.5913699269294739
KFAC-U-9,9,0,conv1,0.0214774701744318
KFAC-U-9,9,0,conv2,0.05618055909872055
KFAC-U-9,9,0,fc1,0.38194406032562256
KFAC-U-9,9,0,fc2,0.3316628336906433
KFAC-M-9,9,0,conv1,0.021477483212947845
KFAC-M-9,9,0,conv2,0.05618055909872055
KFAC-M-9,9,0,fc1,0.38194406032562256
KFAC-M-9,9,0,fc2,0.3316628336906433
KFAC-M-1,1,1,conv1,0.0970633253455162
KFAC-M-1,1,1,conv2,0.2047571986913681
KFAC-M-1,1,1,fc1,1.3466312885284424
KFAC-M-1,1,1,fc2,1.1477632522583008
KFAC-U-3,3,0,conv1,0.045288458466529846
KFAC-U-3,3,0,conv2,0.1023784950375557
KFAC-U-3,3,0,fc1,0.6567941308021545
KFAC-U-3,3,0,fc2,0.4683820307254791
KFAC-U-3,3,1,conv1,0.05350969359278679
KFAC-U-3,3,1,conv2,0.10535775870084763
KFAC-U-3,3,1,fc1,0.7066203355789185
KFAC-U-3,3,1,fc2,0.5893544554710388
KFAC-U-1,1,0,conv1,0.07627957314252853
KFAC-U-1,1,0,conv2,0.17413701117038727
KFAC-U-1,1,0,fc1,1.3465023040771484
KFAC-U-1,1,0,fc2,1.1512795686721802
KFAC-M-3,3,1,conv1,0.05350969359278679
KFAC-M-3,3,1,conv2,0.10535775870084763
KFAC-M-3,3,1,fc1,0.7066203355789185
KFAC-M-3,3,1,fc2,0.5893544554710388
