estimator,k,label_seed,layer,C_relative_error
KFAC-M-3,3,1,conv1,0.007529929745942354
KFAC-M-3,3,1,conv2,0.007918648421764374
KFAC-M-3,3,1,fc1,0.044365424662828445
KFAC-M-3,3,1,fc2,0.03297402709722519
KFAC-M-3,3,0,conv1,0.008677417412400246
KFAC-M-3,3,0,conv2,0.008858297020196915
KFAC-M-3,3,0,fc1,0.04872867837548256
KFAC-M-3,3,0,fc2,0.033591169863939285
KFAC-U-3,3,0,conv1,1.4071484804153442
KFAC-U-3,3,0,conv2,1.3390583992004395
KFAC-U-3,3,0,fc1,1.7336721420288086
KFAC-U-3,3,0,fc2,1.0409917831420898
KFAC-U-9,9,2,conv1,1.4052590131759644
KFAC-U-9,9,2,conv2,1.3357325792312622
KFAC-U-9,9,2,fc1,1.705238699913025
KFAC-U-9,9,2,fc2,1.0315866470336914
KFAC-U-3,3,1,conv1,1.3761802911758423
KFAC-U-3,3,1,conv2,1.311708688735962
KFAC-U-3,3,1,fc1,1.7002216577529907
KFAC-U-3,3,1,fc2,1.0346695184707642
KFAC-M-3,3,2,conv1,0.009687445126473904
KFAC-M-3,3,2,conv2,0.008130080066621304
KFAC-M-3,3,2,fc1,0.04532654583454132
KFAC-M-3,3,2,fc2,0.03226446732878685
KFAC-M-9,9,1,conv1,0.003087524324655533
KFAC-M-9,9,1,conv2,0.00526877585798502
KFAC-M-9,9,1,fc1,0.028675472363829613
KFAC-M-9,9,1,fc2,0.025340741500258446
KFAC-U-3,3,2,conv1,1.4514949321746826
KFAC-U-3,3,2,conv2,1.3767832517623901
KFAC-U-3,3,2,fc1,1.7750051021575928
KFAC-U-3,3,2,fc2,1.0512135028839111
KFAC-M-1,1,2,conv1,0.009050361812114716
KFAC-M-1,1,2,conv2,0.008342706598341465
KFAC-M-1,1,2,fc1,0.09774480760097504
KFAC-M-1,1,2,fc2,0.07349243760108948
KFAC-M-9,9,0,conv1,0.010868274606764317
KFAC-M-9,9,0,conv2,0.009368451312184334
KFAC-M-9,9,0,fc1,0.027384033426642418
KFAC-M-9,9,0,fc2,0.018932349979877472
KFAC-M-1,1,0,conv1,0.008693632669746876
KFAC-M-1,1,0,conv2,0.014658569358289242
KFAC-M-1,1,0,fc1,0.08166210353374481
KFAC-M-1,1,0,fc2,0.059897180646657944
KFAC-U-1,1,0,conv1,1.4266940355300903
KFAC-U-1,1,0,conv2,1.3557114601135254
KFAC-U-1,1,0,fc1,1.729620337486267
KFAC-U-1,1,0,fc2,1.0542112588882446
KFAC-M-1,1,1,conv1,0.022991787642240524
KFAC-M-1,1,1,conv2,0.021335214376449585
KFAC-M-1,1,1,fc1,0.07958162575960159
KFAC-M-1,1,1,fc2,0.0602656714618206
KFAC-U-1,1,1,conv1,1.4060611724853516
KFAC-U-1,1,1,conv2,1.3414359092712402
KFAC-U-1,1,1,fc1,1.7199081182479858
KFAC-U-1,1,1,fc2,1.047603726387024
KFAC-M-9,9,2,conv1,0.003312604734674096
KFAC-M-9,9,2,conv2,0.003740599611774087
KFAC-M-9,9,2,fc1,0.027603788301348686
KFAC-M-9,9,2,fc2,0.023649446666240692
KFAC-U-9,9,0,conv1,1.3919918537139893
KFAC-U-9,9,0,conv2,1.323140263557434
KFAC-U-9,9,0,fc1,1.714046835899353
KFAC-U-9,9,0,fc2,1.0305743217468262
KFAC-U-9,9,1,conv1,1.4034665822982788
KFAC-U-9,9,1,conv2,1.327624797821045
KFAC-U-9,9,1,fc1,1.713784098625183
KFAC-U-9,9,1,fc2,1.0356974601745605
KFAC-U-1,1,2,conv1,1.4957635402679443
KFAC-U-1,1,2,conv2,1.4291647672653198
KFAC-U-1,1,2,fc1,1.789411187171936
KFAC-U-1,1,2,fc2,1.0564947128295898
