estimator,k,label_seed,layer,C_relative_error
KFAC-M-3,3,1,conv1,0.015978986397385597
KFAC-M-3,3,1,conv2,0.011400892399251461
KFAC-M-3,3,1,fc1,0.041762761771678925
KFAC-M-3,3,1,fc2,0.03439817205071449
KFAC-M-3,3,0,conv1,0.009401182644069195
KFAC-M-3,3,0,conv2,0.005423650145530701
KFAC-M-3,3,0,fc1,0.03881170228123665
KFAC-M-3,3,0,fc2,0.027308505028486252
KFAC-U-3,3,0,conv1,1.2180311679840088
KFAC-U-3,3,0,conv2,1.092870831489563
KFAC-U-3,3,0,fc1,1.3411853313446045
KFAC-U-3,3,0,fc2,0.8338639140129089
KFAC-U-9,9,2,conv1,1.2160285711288452
KFAC-U-9,9,2,conv2,1.0795282125473022
KFAC-U-9,9,2,fc1,1.329047679901123
KFAC-U-9,9,2,fc2,0.8293498754501343
KFAC-U-3,3,1,conv1,1.1771013736724854
KFAC-U-3,3,1,conv2,1.055914282798767
KFAC-U-3,3,1,fc1,1.2920036315917969
KFAC-U-3,3,1,fc2,0.820220410823822
KFAC-M-3,3,2,conv1,0.016672056168317795
KFAC-M-3,3,2,conv2,0.015712449327111244
KFAC-M-3,3,2,fc1,0.04675064608454704
KFAC-M-3,3,2,fc2,0.03542429953813553
KFAC-M-9,9,1,conv1,0.0019348959904164076
KFAC-M-9,9,1,conv2,0.0010182727128267288
KFAC-M-9,9,1,fc1,0.02656206488609314
KFAC-M-9,9,1,fc2,0.025987664237618446
KFAC-U-3,3,2,conv1,1.2239381074905396
KFAC-U-3,3,2,conv2,1.0893863439559937
KFAC-U-3,3,2,fc1,1.3699748516082764
KFAC-U-3,3,2,fc2,0.8450272679328918
KFAC-M-1,1,2,conv1,0.013181899674236774
KFAC-M-1,1,2,conv2,0.005042444448918104
KFAC-M-1,1,2,fc1,0.06578146666288376
KFAC-M-1,1,2,fc2,0.04377589002251625
KFAC-M-9,9,0,conv1,0.009564077481627464
KFAC-M-9,9,0,conv2,0.005369890481233597
KFAC-M-9,9,0,fc1,0.02440037578344345
KFAC-M-9,9,0,fc2,0.021572543308138847
KFAC-M-1,1,0,conv1,0.02316436730325222
KFAC-M-1,1,0,conv2,0.021145936101675034
KFAC-M-1,1,0,fc1,0.09244028478860855
KFAC-M-1,1,0,fc2,0.05764694884419441
KFAC-U-1,1,0,conv1,1.2288013696670532
KFAC-U-1,1,0,conv2,1.0866143703460693
KFAC-U-1,1,0,fc1,1.35088050365448
KFAC-U-1,1,0,fc2,0.8458725214004517
KFAC-M-1,1,1,conv1,0.02174091897904873
KFAC-M-1,1,1,conv2,0.017690511420369148
KFAC-M-1,1,1,fc1,0.07694493979215622
KFAC-M-1,1,1,fc2,0.07624008506536484
KFAC-U-1,1,1,conv1,1.1946592330932617
KFAC-U-1,1,1,conv2,1.0629048347473145
KFAC-U-1,1,1,fc1,1.3132485151290894
KFAC-U-1,1,1,fc2,0.8324483633041382
KFAC-M-9,9,2,conv1,0.0026632456574589014
KFAC-M-9,9,2,conv2,0.0013914890587329865
KFAC-M-9,9,2,fc1,0.025208070874214172
KFAC-M-9,9,2,fc2,0.018592631444334984
KFAC-U-9,9,0,conv1,1.2006226778030396
KFAC-U-9,9,0,conv2,1.0689808130264282
KFAC-U-9,9,0,fc1,1.3284848928451538
KFAC-U-9,9,0,fc2,0.8292096257209778
KFAC-U-9,9,1,conv1,1.2150747776031494
KFAC-U-9,9,1,conv2,1.0738563537597656
KFAC-U-9,9,1,fc1,1.3403339385986328
KFAC-U-9,9,1,fc2,0.8280524015426636
KFAC-U-1,1,2,conv1,1.241021752357483
KFAC-U-1,1,2,conv2,1.1044774055480957
KFAC-U-1,1,2,fc1,1.384178638458252
KFAC-U-1,1,2,fc2,0.8479090332984924
