estimator,k,label_seed,reverse_vectors,vjp_calls,forward_calls,samples,median_build_seconds,build_median_seconds,min_build_seconds,max_build_seconds,warmup,repeats,baseline_allocated,peak_allocated_absolute,peak_allocated_increment,baseline_reserved,peak_reserved_absolute,peak_reserved_increment,synthetic_samples
Private-KFLR,9,-1,23040,90,10,2560,0.08065797854214907,0.08065797854214907,0.0803527170792222,0.0857688756659627,2,5,25405440,125004800,99599360,33554432,169869312,136314880,0
KFLR,9,-1,23040,90,10,2560,0.0810944801196456,0.0810944801196456,0.08082902058959007,0.08221316710114479,2,5,25405440,125004800,99599360,33554432,169869312,136314880,2560
KFAC-M-3,3,1,7680,30,10,2560,0.052541304379701614,0.052541304379701614,0.0522371307015419,0.052934495732188225,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-M-3,3,0,7680,30,10,2560,0.05252654850482941,0.05252654850482941,0.052317580208182335,0.05318608786910772,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-U-3,3,0,7680,30,10,2560,0.05282102059572935,0.05282102059572935,0.0527383117005229,0.05379265733063221,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-U-9,9,2,23040,90,10,2560,0.09201838914304972,0.09201838914304972,0.0917317382991314,0.09415498934686184,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-U-3,3,1,7680,30,10,2560,0.05278737656772137,0.05278737656772137,0.05234873294830322,0.0537332184612751,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-M-3,3,2,7680,30,10,2560,0.052388216368854046,0.052388216368854046,0.05220960918813944,0.0528577109798789,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-M-9,9,1,23040,90,10,2560,0.09117535408586264,0.09117535408586264,0.09093816298991442,0.09432733431458473,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-U-3,3,2,7680,30,10,2560,0.05279550142586231,0.05279550142586231,0.05255093891173601,0.05888297129422426,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-M-1,1,2,2560,10,10,2560,0.039123850874602795,0.039123850874602795,0.03910191636532545,0.04075020086020231,2,5,25405440,119077376,93671936,33554432,192937984,159383552,2560
KFAC-M-9,9,0,23040,90,10,2560,0.09136633295565844,0.09136633295565844,0.09094150550663471,0.09400192275643349,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-M-1,1,0,2560,10,10,2560,0.04110708739608526,0.04110708739608526,0.039257846772670746,0.04292296711355448,2,5,25405440,119077376,93671936,33554432,192937984,159383552,2560
KFAC-U-1,1,0,2560,10,10,2560,0.039344098418951035,0.039344098418951035,0.03927102964371443,0.039599714800715446,2,5,25405440,119087616,93682176,33554432,192937984,159383552,2560
KFAC-M-1,1,1,2560,10,10,2560,0.041905734688043594,0.041905734688043594,0.04012040700763464,0.04196763504296541,2,5,25405440,119077376,93671936,33554432,192937984,159383552,2560
KFAC-U-1,1,1,2560,10,10,2560,0.040186124853789806,0.040186124853789806,0.04014909081161022,0.0404812628403306,2,5,25405440,119087616,93682176,33554432,192937984,159383552,2560
KFAC-M-9,9,2,23040,90,10,2560,0.09117885958403349,0.09117885958403349,0.09108138177543879,0.10056223347783089,2,5,25405440,121303040,95897600,33554432,192937984,159383552,2560
KFAC-U-9,9,0,23040,90,10,2560,0.09217456262558699,0.09217456262558699,0.09206037037074566,0.0953825181350112,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFAC-U-9,9,1,23040,90,10,2560,0.09200184233486652,0.09200184233486652,0.09189269319176674,0.09533055126667023,2,5,25405440,121313280,95907840,33554432,192937984,159383552,2560
KFRA-block,0,-1,0,0,10,2560,0.04175790585577488,0.04175790585577488,0.04063460696488619,0.04538264777511358,2,5,25405440,120933888,95528448,33554432,178257920,144703488,2560
KFAC-U-1,1,2,2560,10,10,2560,0.03942504618316889,0.03942504618316889,0.03915390279144049,0.03970304597169161,2,5,25405440,119087616,93682176,33554432,192937984,159383552,2560
