estimator,label_seed,layer,floored_condition_number,floored_log_eigenvalue_spread,A_effective_rank,A_dim,C_effective_rank,C_dim,spectral_floor_ratio
KFLR,-1,conv1,447.4273084331427,1.3183480199305775,10,10,16,16,1e-07
KFLR,-1,conv2,858478389032.9307,6.514612459020696,145,145,17,32,1e-07
KFLR,-1,fc1,100000000000000.02,6.723095964419688,474,1569,104,128,1e-07
KFLR,-1,fc2,389708418938.42676,5.626114748972804,103,129,10,10,1e-07
KFAC-M-3,1,conv1,446.66604688761,1.3179401195571228,10,10,16,16,1e-07
KFAC-M-3,1,conv2,858478389032.9307,6.514771843292418,145,145,17,32,1e-07
KFAC-M-3,1,fc1,100000000000000.02,6.699731045620779,474,1569,104,128,1e-07
KFAC-M-3,1,fc2,387051532785.046,5.625581273890382,103,129,10,10,1e-07
KFAC-M-3,0,conv1,449.06030462751016,1.318978865252134,10,10,16,16,1e-07
KFAC-M-3,0,conv2,858478389032.9307,6.5152649920801915,145,145,17,32,1e-07
KFAC-M-3,0,fc1,100000000000000.0,6.719964908405423,474,1569,104,128,1e-07
KFAC-M-3,0,fc2,373076628074.7151,5.624547883329736,103,129,10,10,1e-07
KFAC-U-3,0,conv1,290.05244699742474,1.22902094115029,10,10,16,16,1e-07
KFAC-U-3,0,conv2,858478389032.9309,6.57797884766278,145,145,17,32,1e-07
KFAC-U-3,0,fc1,100000000000000.0,6.6696545615867375,474,1569,104,128,1e-07
KFAC-U-3,0,fc2,149658439457.64334,5.494115393088012,103,129,10,10,1e-07
KFAC-U-9,2,conv1,290.4316975509188,1.2297322722345938,10,10,16,16,1e-07
KFAC-U-9,2,conv2,858478389032.9309,6.578705174347091,145,145,17,32,1e-07
KFAC-U-9,2,fc1,100000000000000.0,6.653244155167768,474,1569,104,128,1e-07
KFAC-U-9,2,fc2,144567338601.9595,5.493356902745704,103,129,10,10,1e-07
KFAC-U-3,1,conv1,291.72958378965285,1.230357318344613,10,10,16,16,1e-07
KFAC-U-3,1,conv2,858478389032.9307,6.57861839290984,145,145,17,32,1e-07
KFAC-U-3,1,fc1,100000000000000.0,6.656363547737197,474,1569,104,128,1e-07
KFAC-U-3,1,fc2,142690166413.94696,5.493665965203999,103,129,10,10,1e-07
KFAC-M-3,2,conv1,450.69444904173673,1.3197096453324308,10,10,16,16,1e-07
KFAC-M-3,2,conv2,858478389032.9307,6.5100332427050125,145,145,17,32,1e-07
KFAC-M-3,2,fc1,100000000000000.02,6.724716054189601,474,1569,104,128,1e-07
KFAC-M-3,2,fc2,441297752155.3436,5.630304289653396,103,129,10,10,1e-07
KFAC-M-9,1,conv1,446.8988545464061,1.3180537055228303,10,10,16,16,1e-07
KFAC-M-9,1,conv2,858478389032.9307,6.514720736254356,145,145,17,32,1e-07
KFAC-M-9,1,fc1,100000000000000.0,6.726161392817225,474,1569,104,128,1e-07
KFAC-M-9,1,fc2,379361596144.95325,5.625471832758266,103,129,10,10,1e-07
KFAC-U-3,2,conv1,287.75138491157844,1.2278909438636476,10,10,16,16,1e-07
KFAC-U-3,2,conv2,858478389032.9307,6.577739290867854,145,145,17,32,1e-07
KFAC-U-3,2,fc1,100000000000000.0,6.6560170286843015,474,1569,104,128,1e-07
KFAC-U-3,2,fc2,143146825651.08032,5.49200034117509,103,129,10,10,1e-07
KFAC-M-1,2,conv1,447.229854792408,1.3174884312280049,10,10,16,16,1e-07
KFAC-M-1,2,conv2,858478389032.9307,6.515396080475963,145,145,17,32,1e-07
KFAC-M-1,2,fc1,100000000000000.0,6.704018945388942,474,1569,104,128,1e-07
KFAC-M-1,2,fc2,405503360584.9969,5.625080066974516,103,129,10,10,1e-07
KFAC-M-9,0,conv1,448.98512597110647,1.319106824711582,10,10,16,16,1e-07
KFAC-M-9,0,conv2,858478389032.9307,6.513394596461876,145,145,17,32,1e-07
KFAC-M-9,0,fc1,100000000000000.0,6.728451012722857,474,1569,104,128,1e-07
KFAC-M-9,0,fc2,403152562294.398,5.627767166910072,103,129,10,10,1e-07
KFAC-M-1,0,conv1,450.09857399384276,1.3188816018900262,10,10,16,16,1e-07
KFAC-M-1,0,conv2,858478389032.9307,6.513810505084901,145,145,17,32,1e-07
KFAC-M-1,0,fc1,100000000000000.0,6.670645602258324,474,1569,104,128,1e-07
KFAC-M-1,0,fc2,366112317751.55145,5.624376919522056,103,129,10,10,1e-07
KFAC-U-1,0,conv1,289.33372582343435,1.2292043757152518,10,10,16,16,1e-07
KFAC-U-1,0,conv2,858478389032.9309,6.577832118220495,145,145,17,32,1e-07
KFAC-U-1,0,fc1,100000000000000.02,6.651305614652114,474,1569,104,128,1e-07
