estimator,k,label_seed,layer,C_relative_error
KFAC-M-1,1,0,conv1,0.10620155185461044
KFAC-M-1,1,0,conv2,0.19479544460773468
KFAC-M-1,1,0,fc1,1.2631630897521973
KFAC-M-1,1,0,fc2,1.1365774869918823
KFAC-U-9,9,1,conv1,0.03219609707593918
KFAC-U-9,9,1,conv2,0.07189251482486725
KFAC-U-9,9,1,fc1,0.6107789278030396
KFAC-U-9,9,1,fc2,0.6054496169090271
KFAC-U-1,1,1,conv1,0.12189081311225891
KFAC-U-1,1,1,conv2,0.21166957914829254
KFAC-U-1,1,1,fc1,1.269715428352356
KFAC-U-1,1,1,fc2,1.1719037294387817
KFAC-M-3,3,0,conv1,0.04914546385407448
KFAC-M-3,3,0,conv2,0.10297815501689911
KFAC-M-3,3,0,fc1,0.5288635492324829
KFAC-M-3,3,0,fc2,0.4310045838356018
KFAC-M-9,9,1,conv1,0.03194276615977287
KFAC-M-9,9,1,conv2,0.07151557505130768
KFAC-M-9,9,1,fc1,0.5924803018569946
KFAC-M-9,9,1,fc2,0.5942932963371277
KFAC-U-9,9,0,conv1,0.026517704129219055
KFAC-U-9,9,0,conv2,0.05793074890971184
KFAC-U-9,9,0,fc1,0.36958131194114685
KFAC-U-9,9,0,fc2,0.33616188168525696
KFAC-M-9,9,0,conv1,0.025775112211704254
KFAC-M-9,9,0,conv2,0.0578836128115654
KFAC-M-9,9,0,fc1,0.3560348451137543
KFAC-M-9,9,0,fc2,0.3067694902420044
KFAC-M-1,1,1,conv1,0.09357382357120514
KFAC-M-1,1,1,conv2,0.19654729962348938
KFAC-M-1,1,1,fc1,1.195313572883606
KFAC-M-1,1,1,fc2,1.1178462505340576
KFAC-U-3,3,0,conv1,0.04914546385407448
KFAC-U-3,3,0,conv2,0.10297815501689911
KFAC-U-3,3,0,fc1,0.5288635492324829
KFAC-U-3,3,0,fc2,0.4310045838356018
KFAC-U-3,3,1,conv1,0.051072340458631516
KFAC-U-3,3,1,conv2,0.10111109167337418
KFAC-U-3,3,1,fc1,0.6548210978507996
KFAC-U-3,3,1,fc2,0.6022140979766846
KFAC-U-1,1,0,conv1,0.10620155185461044
KFAC-U-1,1,0,conv2,0.19479544460773468
KFAC-U-1,1,0,fc1,1.2631630897521973
KFAC-U-1,1,0,fc2,1.1365774869918823
KFAC-M-3,3,1,conv1,0.04696681722998619
KFAC-M-3,3,1,conv2,0.09598267823457718
KFAC-M-3,3,1,fc1,0.6118113994598389
KFAC-M-3,3,1,fc2,0.5674409866333008
