estimator,label_seed,layer,kron_relative_error,A_relative_error,A_cosine,C_relative_error,C_cosine,C_relative_error_vs_KFLR
KFLR,-1,conv1,0.7951678975449663,0.800472780401398,0.8531770266840706,0.3963985958711656,0.9379929850387522,0.0
KFLR,-1,conv2,0.6843163663090862,0.6743379291596008,0.8004744708496921,0.2760965350305212,0.9651132442941741,0.0
KFLR,-1,fc1,0.8833637007380882,0.8125958573876252,0.6115994597496077,0.7036651998280737,0.7669681812748043,0.0
KFLR,-1,fc2,0.6208349492163926,0.6206225215308963,0.8130745109643247,0.022237152129976255,0.9997527362410144,0.0
KFAC-M-1,0,conv1,0.7928992887552557,0.800472780401398,0.8531770266840706,0.40278834273990793,0.9381564413261682,0.07548022270202637
KFAC-M-1,0,conv2,0.6873552121335531,0.6743379291596008,0.8004744708496921,0.34184320941827623,0.9499875595043701,0.17461463809013367
KFAC-M-1,0,fc1,1.0749914333227035,0.8125958573876252,0.6115994597496077,1.5915348293083458,0.4424875412748337,1.352474570274353
KFAC-M-1,0,fc2,0.9365468889269911,0.6206225215308963,0.8130745109643247,1.1672333895594522,0.6436364972349947,1.1512815952301025
KFAC-U-9,1,conv1,0.7932602960890398,0.800472780401398,0.8531770266840706,0.39932572820534684,0.938767830219514,0.03381046652793884
KFAC-U-9,1,conv2,0.6834759520329718,0.6743379291596008,0.8004744708496921,0.2832833660092774,0.9639553843223109,0.06781186163425446
KFAC-U-9,1,fc1,0.9212304248083273,0.8125958573876252,0.6115994597496077,0.9427918324942539,0.6668775714702371,0.596771776676178
KFAC-U-9,1,fc2,0.7175395299288146,0.6206225215308963,0.8130745109643247,0.596019467524254,0.8566759184406609,0.5851380825042725
KFAC-U-1,1,conv1,0.7847388074681385,0.800472780401398,0.8531770266840706,0.4440926011642201,0.934871332471062,0.10747474431991577
KFAC-U-1,1,conv2,0.6836470753874738,0.6743379291596008,0.8004744708496921,0.37422710127716763,0.9457012073698663,0.20867061614990234
KFAC-U-1,1,fc1,1.0598028257882737,0.8125958573876252,0.6115994597496077,1.5750686355054446,0.5059758643398125,1.3587682247161865
KFAC-U-1,1,fc2,0.9276073475278351,0.6206225215308963,0.8130745109643247,1.151790841461923,0.6542913967288884,1.1477640867233276
KFAC-M-3,0,conv1,0.7956774845377028,0.800472780401398,0.8531770266840706,0.3913910221631509,0.9389252968171998,0.0438784584403038
KFAC-M-3,0,conv2,0.6857824313970132,0.6743379291596008,0.8004744708496921,0.2962226253609481,0.960361224324977,0.1006755605340004
KFAC-M-3,0,fc1,0.9348616907047593,0.8125958573876252,0.6115994597496077,1.0031312444598344,0.6331033197626944,0.649287223815918
KFAC-M-3,0,fc2,0.679132344730196,0.6206225215308963,0.8130745109643247,0.4631661938602586,0.9078105793232109,0.46838074922561646
KFAC-M-9,1,conv1,0.794669165687581,0.800472780401398,0.8531770266840706,0.3957464226742948,0.9385668401802335,0.03398726508021355
KFAC-M-9,1,conv2,0.6848536325528767,0.6743379291596008,0.8004744708496921,0.2826805951625129,0.9635564905271805,0.06939120590686798
KFAC-M-9,1,fc1,0.9204804834071398,0.8125958573876252,0.6115994597496077,0.9365842426615485,0.6676681630107161,0.5965676307678223
KFAC-M-9,1,fc2,0.7195261697091644,0.6206225215308963,0.8130745109643247,0.6032791777740673,0.8541233112593641,0.5913709402084351
KFAC-U-9,0,conv1,0.7947058505670568,0.800472780401398,0.8531770266840706,0.40159130142042765,0.9369806140538761,0.02165071852505207
KFAC-U-9,0,conv2,0.6837586945417201,0.6743379291596008,0.8004744708496921,0.28693690529779536,0.963098782711864,0.056663546711206436
KFAC-U-9,0,fc1,0.9050383630676927,0.8125958573876252,0.6115994597496077,0.8390908253560128,0.7021046791163315,0.38080811500549316
KFAC-U-9,0,fc2,0.6501364985772756,0.6206225215308963,0.8130745109643247,0.3265483768283279,0.9508251553927969,0.3316625952720642
KFAC-M-9,0,conv1,0.7947058505670568,0.800472780401398,0.8531770266840706,0.40159130142042765,0.9369806140538761,0.02165071852505207
KFAC-M-9,0,conv2,0.6837586945417201,0.6743379291596008,0.8004744708496921,0.28693690529779536,0.963098782711864,0.056663546711206436
KFAC-M-9,0,fc1,0.9050383630676927,0.8125958573876252,0.6115994597496077,0.8390908253560128,0.7021046791163315,0.38080811500549316
KFAC-M-9,0,fc2,0.6501364985772756,0.6206225215308963,0.8130745109643247,0.3265483768283279,0.9508251553927969,0.3316625952720642
KFAC-M-1,1,conv1,0.7847388074681385,0.800472780401398,0.8531770266840706,0.4440926011642201,0.934871332471062,0.10747474431991577
KFAC-M-1,1,conv2,0.6836470753874738,0.6743379291596008,0.8004744708496921,0.37422710127716763,0.9457012073698663,0.20867061614990234
KFAC-M-1,1,fc1,1.0598028257882737,0.8125958573876252,0.6115994597496077,1.5750686355054446,0.5059758643398125,1.3587682247161865
KFAC-M-1,1,fc2,0.9276073475278351,0.6206225215308963,0.8130745109643247,1.151790841461923,0.6542913967288884,1.1477640867233276
KFAC-U-3,0,conv1,0.7956774845377028,0.800472780401398,0.8531770266840706,0.3913910221631509,0.9389252968171998,0.0438784584403038
KFAC-U-3,0,conv2,0.6857824313970132,0.6743379291596008,0.8004744708496921,0.2962226253609481,0.960361224324977,0.1006755605340004
KFAC-U-3,0,fc1,0.9348616907047593,0.8125958573876252,0.6115994597496077,1.0031312444598344,0.6331033197626944,0.649287223815918
KFAC-U-3,0,fc2,0.679132344730196,0.6206225215308963,0.8130745109643247,0.4631661938602586,0.9078105793232109,0.46838074922561646
KFAC-U-3,1,conv1,0.7910709873604458,0.800472780401398,0.8531770266840706,0.4060465188799966,0.9388507767095752,0.05457295849919319
KFAC-U-3,1,conv2,0.6830894879998379,0.6743379291596008,0.8004744708496921,0.3008929091225756,0.9605398567382277,0.10563758760690689
KFAC-U-3,1,fc1,0.931103676476435,0.8125958573876252,0.6115994597496077,1.01514818737358,0.6565126808820064,0.7090970873832703
KFAC-U-3,1,fc2,0.7172627082594192,0.6206225215308963,0.8130745109643247,0.5970201163251845,0.8570119249310666,0.589354932308197
KFRA-block,-1,conv1,0.7958164412077504,0.800472780401398,0.8531770266840706,0.40813953193077496,0.9343052881170837,0.0328964926302433
KFRA-block,-1,conv2,0.6846558181748457,0.6743379291596008,0.8004744708496921,0.27687681999283104,0.964831673657972,0.026011886075139046
KFRA-block,-1,fc1,0.883296887459135,0.8125958573876252,0.6115994597496077,0.7034283126098947,0.7671770854064581,0.004933679010719061
KFRA-block,-1,fc2,0.6208349655917005,0.6206225215308963,0.8130745109643247,0.022237148691286686,0.9997527363050573,2.4671871301507053e-07
KFAC-U-1,0,conv1,0.7928992887552557,0.800472780401398,0.8531770266840706,0.40278834273990793,0.9381564413261682,0.07548022270202637
KFAC-U-1,0,conv2,0.6873552121335531,0.6743379291596008,0.8004744708496921,0.34184320941827623,0.9499875595043701,0.17461463809013367
KFAC-U-1,0,fc1,1.0749914333227035,0.8125958573876252,0.6115994597496077,1.5915348293083458,0.4424875412748337,1.352474570274353
KFAC-U-1,0,fc2,0.9365468889269911,0.6206225215308963,0.8130745109643247,1.1672333895594522,0.6436364972349947,1.1512815952301025
KFAC-M-3,1,conv1,0.7910709873604458,0.800472780401398,0.8531770266840706,0.4060465188799966,0.9388507767095752,0.05457295849919319
KFAC-M-3,1,conv2,0.6830894879998379,0.6743379291596008,0.8004744708496921,0.3008929091225756,0.9605398567382277,0.10563758760690689
KFAC-M-3,1,fc1,0.931103676476435,0.8125958573876252,0.6115994597496077,1.01514818737358,0.6565126808820064,0.7090970873832703
KFAC-M-3,1,fc2,0.7172627082594192,0.6206225215308963,0.8130745109643247,0.5970201163251845,0.8570119249310666,0.589354932308197
