estimator,label_seed,layer,floored_condition_number,floored_log_eigenvalue_spread,A_effective_rank,A_dim,C_effective_rank,C_dim,spectral_floor_ratio
KFLR,-1,conv1,60.646167272836365,0.9367407211543213,10,10,16,16,1e-07
KFLR,-1,conv2,978085.1540354253,2.0396407919471855,145,145,32,32,1e-07
KFLR,-1,fc1,100000000000000.0,6.25234508027842,4,1569,37,128,1e-07
KFLR,-1,fc2,25691172658478.03,5.068512356702845,4,129,10,10,1e-07
KFAC-M-1,0,conv1,60.650610151788925,0.9367431143759191,10,10,16,16,1e-07
KFAC-M-1,0,conv2,980147.1398777225,2.0396905917901846,145,145,32,32,1e-07
KFAC-M-1,0,fc1,100000000000000.02,5.776659503989855,4,1569,36,128,1e-07
KFAC-M-1,0,fc2,100000000000000.0,5.409459846328264,4,129,9,10,1e-07
KFAC-U-9,1,conv1,60.64646023517744,0.9367396747595116,10,10,16,16,1e-07
KFAC-U-9,1,conv2,978197.1729898816,2.03963233565709,145,145,32,32,1e-07
KFAC-U-9,1,fc1,100000000000000.0,6.07366078645657,4,1569,36,128,1e-07
KFAC-U-9,1,fc2,100000000000000.0,4.975537962007759,4,129,9,10,1e-07
KFAC-U-1,1,conv1,60.64682296056599,0.9367400333626705,10,10,16,16,1e-07
KFAC-U-1,1,conv2,977488.0751130198,2.0395495686057785,145,145,32,32,1e-07
KFAC-U-1,1,fc1,100000000000000.02,5.874083480874104,4,1569,36,128,1e-07
KFAC-U-1,1,fc2,100000000000000.02,5.454253606003493,4,129,9,10,1e-07
KFAC-M-3,0,conv1,60.64781139704099,0.9367392086266351,10,10,16,16,1e-07
KFAC-M-3,0,conv2,978329.3039307817,2.03964562588913,145,145,32,32,1e-07
KFAC-M-3,0,fc1,100000000000000.02,6.183059362676897,4,1569,36,128,1e-07
KFAC-M-3,0,fc2,100000000000000.02,5.0105430891903495,4,129,9,10,1e-07
KFAC-M-9,1,conv1,60.6467042748352,0.9367405184940208,10,10,16,16,1e-07
KFAC-M-9,1,conv2,978231.1638344656,2.0396401789637806,145,145,32,32,1e-07
KFAC-M-9,1,fc1,100000000000000.0,6.074724467418251,4,1569,36,128,1e-07
KFAC-M-9,1,fc2,100000000000000.0,4.974678055190555,4,129,9,10,1e-07
KFAC-U-9,0,conv1,60.64606742739141,0.9367409538005418,10,10,16,16,1e-07
KFAC-U-9,0,conv2,977947.1363431745,2.0396399082104537,145,145,32,32,1e-07
KFAC-U-9,0,fc1,100000000000000.0,6.267000907599962,4,1569,37,128,1e-07
KFAC-U-9,0,fc2,46944259448123.93,5.094812384142505,4,129,10,10,1e-07
KFAC-M-9,0,conv1,60.645832596774376,0.9367405311033578,10,10,16,16,1e-07
KFAC-M-9,0,conv2,977914.0658935558,2.039632890379058,145,145,32,32,1e-07
KFAC-M-9,0,fc1,100000000000000.0,6.267166257327742,4,1569,37,128,1e-07
KFAC-M-9,0,fc2,46898979162763.805,5.0932074616396665,4,129,10,10,1e-07
KFAC-M-1,1,conv1,60.64647723012552,0.9367362927585341,10,10,16,16,1e-07
KFAC-M-1,1,conv2,977325.6724867779,2.0395523815756365,145,145,32,32,1e-07
KFAC-M-1,1,fc1,100000000000000.02,5.912810614118827,4,1569,36,128,1e-07
KFAC-M-1,1,fc2,100000000000000.0,5.41871898036752,4,129,9,10,1e-07
KFAC-U-3,0,conv1,60.647811398746285,0.9367392086272827,10,10,16,16,1e-07
KFAC-U-3,0,conv2,978329.3039307817,2.03964562588913,145,145,32,32,1e-07
KFAC-U-3,0,fc1,100000000000000.02,6.183059362676897,4,1569,36,128,1e-07
KFAC-U-3,0,fc2,100000000000000.02,5.0105430891903495,4,129,9,10,1e-07
KFAC-U-3,1,conv1,60.64631052724455,0.9367421175641785,10,10,16,16,1e-07
KFAC-U-3,1,conv2,977880.5064060095,2.039623277604169,145,145,32,32,1e-07
KFAC-U-3,1,fc1,100000000000000.0,5.92760215253318,4,1569,36,128,1e-07
KFAC-U-3,1,fc2,100000000000000.0,4.681011028453106,4,129,9,10,1e-07
KFRA-block,-1,conv1,60.64828697806666,0.9367451026302102,10,10,16,16,1e-07
KFRA-block,-1,conv2,978155.233679122,2.039639622284275,145,145,32,32,1e-07
KFRA-block,-1,fc1,100000000000000.02,6.251834810502147,4,1569,37,128,1e-07
KFRA-block,-1,fc2,25691128362073.164,5.068511967946676,4,129,10,10,1e-07
KFAC-U-1,0,conv1,60.650610153453705,0.9367431143795614,10,10,16,16,1e-07
KFAC-U-1,0,conv2,980147.1398777225,2.0396905917901846,145,145,32,32,1e-07
KFAC-U-1,0,fc1,100000000000000.02,5.776659503989855,4,1569,36,128,1e-07
KFAC-U-1,0,fc2,100000000000000.0,5.409459846328264,4,129,9,10,1e-07
KFAC-M-3,1,conv1,60.6461956864889,0.9367408710343083,10,10,16,16,1e-07
KFAC-M-3,1,conv2,977826.4022122743,2.0396242336635524,145,145,32,32,1e-07
KFAC-M-3,1,fc1,100000000000000.02,5.929208593859191,4,1569,36,128,1e-07
KFAC-M-3,1,fc2,100000000000000.0,4.674539924349794,4,129,9,10,1e-07
