estimator,label_seed,layer,floored_condition_number,floored_log_eigenvalue_spread,A_effective_rank,A_dim,C_effective_rank,C_dim,spectral_floor_ratio
KFLR,-1,conv1,64.90645466699458,0.967558231317445,10,10,16,16,1e-07
KFLR,-1,conv2,1231762.07516295,2.0526686627892077,145,145,32,32,1e-07
KFLR,-1,fc1,100000000000000.0,6.351265399611981,4,1569,36,128,1e-07
KFLR,-1,fc2,9259071180059.31,4.8423855280894195,4,129,10,10,1e-07
KFAC-M-1,0,conv1,64.90627354208884,0.9675590443445904,10,10,16,16,1e-07
KFAC-M-1,0,conv2,1231518.7064763978,2.052663714989114,145,145,32,32,1e-07
KFAC-M-1,0,fc1,100000000000000.02,5.981554422442912,4,1569,36,128,1e-07
KFAC-M-1,0,fc2,100000000000000.0,5.474924334827286,4,129,9,10,1e-07
KFAC-U-9,1,conv1,64.90692650829223,0.9675566324160354,10,10,16,16,1e-07
KFAC-U-9,1,conv2,1231518.361235241,2.0526715934159077,145,145,32,32,1e-07
KFAC-U-9,1,fc1,100000000000000.02,6.1953172126207745,4,1569,36,128,1e-07
KFAC-U-9,1,fc2,100000000000000.02,4.986355536344558,4,129,9,10,1e-07
KFAC-U-1,1,conv1,64.9050287298752,0.9675579826471252,10,10,16,16,1e-07
KFAC-U-1,1,conv2,1230664.1231589827,2.0526341564444666,145,145,32,32,1e-07
KFAC-U-1,1,fc1,100000000000000.0,6.0306125875516745,4,1569,36,128,1e-07
KFAC-U-1,1,fc2,100000000000000.0,5.466600505983758,4,129,9,10,1e-07
KFAC-M-3,0,conv1,64.90572827305856,0.9675552925307359,10,10,16,16,1e-07
KFAC-M-3,0,conv2,1231613.2941234056,2.0526532992373236,145,145,32,32,1e-07
KFAC-M-3,0,fc1,100000000000000.02,6.2440547253134415,4,1569,36,128,1e-07
KFAC-M-3,0,fc2,85302312405626.9,4.950586298842844,4,129,10,10,1e-07
KFAC-M-9,1,conv1,64.9069012790363,0.9675570815778503,10,10,16,16,1e-07
KFAC-M-9,1,conv2,1231493.9740417448,2.0526793672199353,145,145,32,32,1e-07
KFAC-M-9,1,fc1,100000000000000.0,6.186412403798458,4,1569,36,128,1e-07
KFAC-M-9,1,fc2,100000000000000.0,4.987104003040135,4,129,9,10,1e-07
KFAC-U-9,0,conv1,64.90597232326807,0.9675580116997139,10,10,16,16,1e-07
KFAC-U-9,0,conv2,1231738.320228658,2.052659212125984,145,145,32,32,1e-07
KFAC-U-9,0,fc1,100000000000000.0,6.338094023719325,4,1569,36,128,1e-07
KFAC-U-9,0,fc2,16136369648330.39,4.8681737328316785,4,129,10,10,1e-07
KFAC-M-9,0,conv1,64.90597232267113,0.9675580117020053,10,10,16,16,1e-07
KFAC-M-9,0,conv2,1231738.320228658,2.052659212125984,145,145,32,32,1e-07
KFAC-M-9,0,fc1,100000000000000.0,6.338094023719325,4,1569,36,128,1e-07
KFAC-M-9,0,fc2,16136369648330.39,4.8681737328316785,4,129,10,10,1e-07
KFAC-M-1,1,conv1,64.90502872983274,0.9675579826470987,10,10,16,16,1e-07
KFAC-M-1,1,conv2,1230664.1231589827,2.0526341564444666,145,145,32,32,1e-07
KFAC-M-1,1,fc1,100000000000000.0,6.0306125875516745,4,1569,36,128,1e-07
KFAC-M-1,1,fc2,100000000000000.0,5.466600505983758,4,129,9,10,1e-07
KFAC-U-3,0,conv1,64.90572827309147,0.9675552925311376,10,10,16,16,1e-07
KFAC-U-3,0,conv2,1231613.2941234056,2.0526532992373236,145,145,32,32,1e-07
KFAC-U-3,0,fc1,100000000000000.02,6.2440547253134415,4,1569,36,128,1e-07
KFAC-U-3,0,fc2,85302312405626.9,4.950586298842844,4,129,10,10,1e-07
KFAC-U-3,1,conv1,64.90611373953433,0.9675564296692596,10,10,16,16,1e-07
KFAC-U-3,1,conv2,1231524.7670633309,2.052671484379254,145,145,32,32,1e-07
KFAC-U-3,1,fc1,100000000000000.02,6.065168995176484,4,1569,36,128,1e-07
KFAC-U-3,1,fc2,100000000000000.0,4.662755793925352,4,129,9,10,1e-07
KFRA-block,-1,conv1,64.90838423310906,0.9675620113916942,10,10,16,16,1e-07
KFRA-block,-1,conv2,1231945.792435688,2.0526689060564673,145,145,32,32,1e-07
KFRA-block,-1,fc1,100000000000000.0,6.351250102619467,4,1569,36,128,1e-07
KFRA-block,-1,fc2,9259070071156.504,4.842385493592373,4,129,10,10,1e-07
KFAC-U-1,0,conv1,64.90627354321529,0.9675590443482498,10,10,16,16,1e-07
KFAC-U-1,0,conv2,1231518.7064763978,2.052663714989114,145,145,32,32,1e-07
KFAC-U-1,0,fc1,100000000000000.02,5.981554422442912,4,1569,36,128,1e-07
KFAC-U-1,0,fc2,100000000000000.0,5.474924334827286,4,129,9,10,1e-07
KFAC-M-3,1,conv1,64.90611374022036,0.9675564296708454,10,10,16,16,1e-07
KFAC-M-3,1,conv2,1231524.7670633309,2.052671484379254,145,145,32,32,1e-07
KFAC-M-3,1,fc1,100000000000000.02,6.065168995176484,4,1569,36,128,1e-07
KFAC-M-3,1,fc2,100000000000000.0,4.662755793925352,4,129,9,10,1e-07
