method,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,total_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,state_metric_forward_calls
DP-KFC,42,1,0.8983,0.5280904657363892,0.8556899995121181,0.7861127240333559,1.068115234375,0.7867922008547008,0.24669007387790334,663.573486328125,11613.775390625,37465.77734375,0.4845483358949423,10.393470755778253,11.987469440326095,0.044416541691360056,5763.618468517492,167334912,138000384,167334912,234,59904,234,0.10722001862966095,2.301875525039212,0.9996918385526803,0.0007095679548339007,2560,10,10,2560,10
DP-KFC,42,2,0.9285,0.49854866010919213,0.5598840032123092,0.8385078418579571,1.068115234375,0.2786792200854701,0.7519624987219133,0.0030856835655868053,1209.4251708984375,5755.62548828125,0.16786388494074345,10.370519198477268,11.600198149681091,0.044318458113150716,5776.374244482944,168142336,138213888,168142336,234,59904,468,0.49655845103697105,1.414118004853502,0.6141436462679117,0.8884670881405439,2560,10,10,2560,10
DP-KFC,42,3,0.9403,0.45536461704969405,0.5189175411549389,0.8909029596825585,1.068115234375,0.20092147435897437,0.8197238743305206,5.440598033601418e-05,265.64337158203125,4892.369140625,0.16852021869271994,10.361293938010931,11.591165683232248,0.044279033923123635,5781.517285233956,168142336,138213888,168142336,234,59904,702,0.6527875962532037,0.9633182728494077,0.41836381021506885,1.3392668201446383,2560,10,10,2560,10
DP-KFC,42,4,0.951,0.36554954822529107,0.4528667796880771,0.9432980775071597,1.068115234375,0.17888621794871795,0.8408066087808365,1.9727905964828096e-05,100.74517059326172,4344.42578125,0.16833535954356194,10.36231143772602,11.590772147290409,0.044283382212504364,5780.949584463151,168142336,138213888,168142336,234,59904,936,0.6427671644519501,0.9761966563383501,0.4239568211001505,1.3263884366556957,2560,10,10,2560,10
DP-KFC,42,5,0.9491,0.3841891255537048,0.41652758594634187,0.995693195331761,1.068115234375,0.16716746794871795,0.8519872900767204,1.1940846889046952e-05,59.29531478881836,4515.32470703125,0.16814830899238586,10.373421967960894,11.602246545255184,0.044330863110943995,5774.757855702591,168142336,138213888,168142336,234,59904,1170,0.6946266710685188,0.8434195949822929,0.36629247602988535,1.459165498011753,2560,10,10,2560,10
DP-KFLR,42,1,0.8992,0.5298314871549606,0.8560222926048132,0.7861127240333559,1.068115234375,0.7867421207264957,0.24695311357246305,662.7579956054688,11667.767578125,37503.171875,0.2081791302189231,10.336522269062698,11.607113105244935,0.04417317209001153,5795.372799543344,167334912,138213888,167334912,234,59904,234,0.10722001862966095,2.301875525039212,0.9996918385526803,0.0007095679548339007,23040,90,10,2560,10
DP-KFLR,42,2,0.9292,0.4975082400344312,0.5601975833758329,0.8385078418579571,1.068115234375,0.27891292735042733,0.751487260700291,0.002973082009702921,1344.6453857421875,6532.693359375,0.2186720510944724,10.358721062541008,11.633250360377133,0.044268038728807725,5782.95328528766,168142336,138213888,168142336,234,59904,468,0.4987817599219292,1.40836430983807,0.6116448482721554,0.8942207831559759,23040,90,10,2560,10
DP-KFLR,42,3,0.9423,0.44721020494699476,0.5134024700929976,0.8909029596825585,1.068115234375,0.1993689903846154,0.8208228405724224,3.915513298125006e-05,278.0566101074219,6274.658203125,0.2088673049584031,10.384376273490489,11.655957944691181,0.04437767638243798,5768.666159846743,168142336,138213888,168142336,234,59904,702,0.6591462566015323,0.9435267446853175,0.4097684587449717,1.3590583483087284,23040,90,10,2560,10
DP-KFLR,42,4,0.9515,0.36148471450358627,0.44366577525551504,0.9432980775071597,1.068115234375,0.17474626068376067,0.8444624153467325,1.2448103916540276e-05,93.31028747558594,5594.3505859375,0.20851917564868927,10.345315778627992,11.603712947107852,0.04421075119071791,5790.446737619501,168142336,138213888,168142336,234,59904,936,0.6528603118891112,0.9473375084107211,0.4114234524027515,1.3552475845833247,23040,90,10,2560,10
DP-KFLR,42,5,0.9509,0.37324201297946275,0.40492657708943397,0.995693195331761,1.068115234375,0.16102430555555555,0.8564822925971105,6.633713383052964e-06,47.423179626464844,6081.0986328125,0.20837932918220758,10.35546838119626,11.621457029134035,0.0442541383811806,5784.7697269565615,168142336,138213888,168142336,234,59904,1170,0.704996675625227,0.8107250202379026,0.3520934026302232,1.4918600727561433,23040,90,10,2560,10
