beta,seed,epoch,layer,A_zero_eigenvalue_count,A_dimension,A_effective_rank,A_floored_condition_number,A_log_eigenvalue_spread,A_spectral_floor_ratio,C_zero_eigenvalue_count,C_dimension,C_effective_rank,C_floored_condition_number,C_log_eigenvalue_spread,C_spectral_floor_ratio,floored_kappa_block
0.0,42,1,conv1,0,10,10,27.25456468657796,1.0912591936913143,1e-07,0,16,16,4.526126027664929,0.41091713296662075,1e-07,123.35759460059795
0.0,42,1,conv2,0,145,145,12385.943219442608,1.5410264168496557,9.999999999999998e-08,0,32,32,784.5388309774426,1.4887461359832728,1.0000000000000001e-07,9717253.413934484
0.0,42,1,fc1,46,1569,1475,10000000.0,2.1198900099869684,1e-07,3,128,122,10000000.0,3.1450113088005827,1e-07,100000000000000.0
0.0,42,1,fc2,3,129,119,10000000.0,2.87240282088438,1e-07,0,10,9,10000000.0,4.814448653820995,1e-07,100000000000000.0
0.0,42,2,conv1,0,10,10,27.201573480647433,1.091072015804141,1e-07,0,16,16,30.100028598697953,0.8226116734299813,1e-07,818.7681396970715
0.0,42,2,conv2,0,145,145,19366.07818804178,1.7220330326486373,1e-07,0,32,32,32.17520884328825,0.5704161307207984,1.0000000000000001e-07,623107.6101756936
0.0,42,2,fc1,0,1569,1518,10000000.0,2.0937589024682373,1e-07,1,128,126,10000000.0,2.6939422286123595,1e-07,100000000000000.0
0.0,42,2,fc2,0,129,127,10000000.0,2.1756709888340335,1.0000000000000001e-07,1,10,9,10000000.0,4.664077837535371,1e-07,100000000000000.0
0.0,42,3,conv1,0,10,10,27.02254649245918,1.0886580529217857,1e-07,0,16,16,22.961131242741896,0.7015442308855666,1e-07,620.4682365264499
0.0,42,3,conv2,0,145,145,18592.67849077826,1.7260391507672648,1e-07,0,32,32,8.688168235236844,0.4106366918942785,1e-07,161536.31867155098
0.0,42,3,fc1,0,1569,1540,10000000.000000002,2.0894579119439567,1e-07,1,128,126,10000000.0,2.5930678333148856,1e-07,100000000000000.02
0.0,42,3,fc2,1,129,128,10000000.000000002,2.1961845773769015,9.999999999999998e-08,1,10,9,10000000.0,4.612141593628659,1e-07,100000000000000.02
0.0,42,4,conv1,0,10,10,27.11472753469698,1.0899551218434664,1e-07,0,16,16,12.202858809868603,0.5923748548650017,1e-07,330.87719177396383
0.0,42,4,conv2,0,145,145,18387.348773571342,1.744269252047674,1e-07,0,32,32,16.87198143077911,0.525913079428176,1e-07,310231.0070689547
0.0,42,4,fc1,0,1569,1508,10000000.000000002,2.106300922165821,1e-07,0,128,127,10000000.0,2.478984802335266,1e-07,100000000000000.02
0.0,42,4,fc2,1,129,128,10000000.0,2.2301192544599835,1e-07,0,10,9,10000000.0,4.602336379828422,1e-07,100000000000000.0
0.0,42,5,conv1,0,10,10,27.19422364270309,1.0904935673979488,1e-07,0,16,16,8.864072083545096,0.49353843533564784,1e-07,241.0515586249665
0.0,42,5,conv2,0,145,145,18504.534767410158,1.7159831129496488,1e-07,0,32,32,173.80441173848516,0.8824047126804835,1e-07,3216169.7797440686
0.0,42,5,fc1,0,1569,1499,10000000.0,2.1068062100991005,1e-07,1,128,127,10000000.0,2.539962235897592,1.0000000000000001e-07,100000000000000.0
0.0,42,5,fc2,0,129,127,10000000.0,2.3292085321083777,1e-07,1,10,9,10000000.0,4.580836042932069,1e-07,100000000000000.0
