beta,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,geometry_seconds,state_metric_seconds,evaluation_seconds,algorithm_epoch_seconds,wall_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,state_metric_forward_calls
0.0,42,1,0.8782,0.5585774693489075,0.7700640080321548,0.7861127240333559,1.068115234375,0.5906116452991453,0.4906374612488808,3.9232635498046875,83.97265625,196.58363342285156,0.06162133254110813,10.820959366858006,0.09388152789324522,0.005526394583284855,1.057246133685112,10.882580699399114,12.039234755560756,0.04624341609768379,5535.9231995151495,111059456,138213888,138213888,234,59904,234,2560,10,10,2560,0.10722001862966095,2.301875525039212,0.9996918385526803,0.0007095679548339007,10
0.0,42,2,0.9048,0.49434941442012786,0.5483215251284786,0.8385078418579571,1.068115234375,0.3120826655982906,0.7343894525980338,0.03535876423120499,129.618896484375,281.9678039550781,0.054362102411687374,10.392038372345269,0.07731029763817787,0.0037169791758060455,1.049450601451099,10.446400474756956,11.576878353022039,0.0444104203946379,5764.412895107594,111866880,138213888,138213888,234,59904,468,2560,10,10,2560,0.6329699300619814,1.0044384104819928,0.4362220590840028,1.2981466825120531,10
0.0,42,3,0.9115,0.5247584976434707,0.5357544638025455,0.8909029596825585,1.068115234375,0.257545405982906,0.7785190792165251,0.006964843720197678,124.04883575439453,344.07928466796875,0.04462441150099039,10.36285939719528,0.08778678346425295,0.003891722299158573,1.0458514280617237,10.40748380869627,11.545013742521405,0.04428572391963795,5780.643903767824,111866880,138213888,138213888,234,59904,702,2560,10,10,2560,0.7202018657140253,0.7581705326161895,0.32926927865686045,1.5444145603778563,10
0.0,42,4,0.9263,0.44655512574911116,0.49947602658445,0.9432980775071597,1.068115234375,0.22916666666666666,0.8030542423073043,0.0029641545843333006,91.4632339477539,379.5410461425781,0.03991912677884102,10.36825190950185,0.07668239530175924,0.0037148715928196907,1.044516522437334,10.408171036280692,11.533084825612605,0.044308768844025,5777.637399521684,111866880,138213888,138213888,234,59904,936,2560,10,10,2560,0.7301527187199142,0.7208754666454658,0.31307223730355743,1.5817096263485801,10
0.0,42,5,0.9221,0.5034354692135006,0.49146421330097395,0.995693195331761,1.068115234375,0.2143429487179487,0.8153331779007219,0.0014353548176586628,82.03168487548828,418.3430480957031,0.04459625110030174,10.34115334507078,0.08566148299723864,0.0036731120198965073,1.0472581535577774,10.385749596171081,11.522342344745994,0.04419296301312299,5792.777459252538,111866880,138213888,138213888,234,59904,1170,2560,10,10,2560,0.767272738351209,0.6049036224390496,0.26270630530856726,1.6976814705549963,10
0.25,42,1,0.9078,0.49745891182422636,0.7404237854429799,0.7861127240333559,1.068115234375,0.6243489583333334,0.4264535361017363,12.551833152770996,713.866455078125,2031.76806640625,0.16340956091880798,10.289076659828424,0.07591570354998112,0.0036898450925946236,1.0458359625190496,10.452486220747232,11.577927731908858,0.043970413076189846,5822.096771217849,167334912,138213888,167334912,234,59904,234,2560,10,10,2560,0.10722001862966095,2.301875525039212,0.9996918385526803,0.0007095679548339007,10
0.25,42,2,0.9348,0.3716793231725693,0.45472017045204455,0.8385078418579571,1.068115234375,0.22891626602564102,0.8024234086529821,0.0025471425615251064,105.2582778930664,464.005126953125,0.16400028113275766,10.311745071783662,0.07663971092551947,0.0036754123866558075,1.0461234953254461,10.47574535291642,11.602183971554041,0.04406728663155411,5809.297997864311,168142336,138213888,168142336,234,59904,468,2560,10,10,2560,0.5485843098459534,1.2591769492317393,0.5468536007911153,1.0434081437623066,10
0.25,42,3,0.9481,0.3174900141095743,0.3722961744946292,0.8909029596825585,1.068115234375,0.1714409722222222,0.8521439998577802,0.00022724506561644375,29.303205490112305,488.2554931640625,0.16488752700388432,10.292315227910876,0.07700932212173939,0.0036923354491591454,1.0305860470980406,10.45720275491476,11.5684904595837,0.04398425311073024,5820.264796938138,168142336,138213888,168142336,234,59904,702,2560,10,10,2560,0.6414734139791608,0.9961020460949941,0.43260162203159447,1.3064830468990518,10
0.25,42,4,0.9552,0.2835777925740462,0.31713268905878067,0.9432980775071597,1.068115234375,0.1451655982905983,0.8746459010319833,6.22701772954315e-05,10.357629776000977,489.2129821777344,0.16486288513988256,10.33366225194186,0.07704590260982513,0.003693743608891964,1.04431430157274,10.498525137081742,11.6235790848732,0.04416094979462333,5796.9767677227,168142336,138213888,168142336,234,59904,936,2560,10,10,2560,0.6655738646055578,0.9340109585793638,0.40563580534818433,1.3685741344146822,10
0.25,42,5,0.9568,0.27818243831789585,0.2902805901840966,0.995693195331761,1.068115234375,0.1328125,0.8858169798667614,2.4520977603970096e-05,5.896359920501709,544.4674682617188,0.16473244037479162,10.322026470676064,0.0768240699544549,0.003689771518111229,1.040663898922503,10.486758911050856,11.607936651445925,0.044111224233658396,5803.511565309564,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.7143596054795033,0.7887861349518739,0.3425654658113925,1.513798958042172,10
