beta,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,geometry_seconds,state_metric_seconds,evaluation_seconds,algorithm_epoch_seconds,wall_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,state_metric_forward_calls,transformed_block_floored_condition_number,total_build_seconds,total_private_train_seconds,total_algorithm_seconds,total_geometry_seconds,total_state_metric_seconds,total_wall_seconds,peak_allocated_bytes
0.0,42,5,0.9221,0.5034354692135006,0.49146421330097395,0.995693195331761,1.068115234375,0.2143429487179487,0.8153331779007219,0.0014353548176586628,82.03168487548828,418.3430480957031,0.039337520487606525,10.37768941745162,0.07772854529321194,0.003636307083070278,1.0381669122725725,10.417026937939227,11.536558702588081,0.044349100074579574,5772.383195363562,111866880,138213888,138213888,234,59904,1170,2560,10,10,2560,0.767272738351209,0.6049036224390496,0.26270630530856726,1.6976814705549963,10,50000000804102.7,0.22016576118767262,52.45783930178732,52.67800506297499,0.4243761133402586,0.02034697961062193,58.32912371959537,138213888
0.25,42,5,0.9568,0.27818243831789585,0.2902805901840966,0.995693195331761,1.068115234375,0.1328125,0.8858169798667614,2.4520977603970096e-05,5.896359920501709,544.4674682617188,0.16473872773349285,10.389896413311362,0.07799997739493847,0.003665788099169731,1.0409077806398273,10.554635141044855,11.67720868717879,0.04440126672355283,5765.601274258326,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.7143596054795033,0.7887861349518739,0.3425654658113925,1.513798958042172,10,27026690777929.934,0.8196813585236669,51.74155781324953,52.561239171773195,0.38805705215781927,0.018252860754728317,58.16172409616411,168142336
0.5,42,5,0.9491,0.3841891255537048,0.41652758594634187,0.995693195331761,1.068115234375,0.16716746794871795,0.8519872900767204,1.1940846889046952e-05,59.29531478881836,4515.32470703125,0.16521712858229876,10.355203306302428,0.07803695369511843,0.0036589428782463074,1.0434207264333963,10.520420434884727,11.645537057891488,0.044253005582489006,5784.917806832529,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.6946266710685188,0.8434195949822929,0.36629247602988535,1.459165498011753,10,25000345452469.01,0.8240101151168346,51.755426422692835,52.57943653780967,0.3899494782090187,0.018256617709994316,58.19482137262821,168142336
0.75,42,5,0.9245,0.6694211624747841,0.6740138431390127,0.995693195331761,1.068115234375,0.2442240918803419,0.7771355889291844,8.281802729470655e-05,5417.72314453125,82471.2734375,0.16355990152806044,10.39501179009676,0.07768911216408014,0.003673359751701355,1.049853621982038,10.55857169162482,11.68978778552264,0.04442312730810581,5762.764026594951,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.656634413965761,0.9435303318110652,0.4097700166138898,1.3590547611829806,10,25001058320478.28,0.8337410185486078,51.81554098520428,52.64928200375289,0.3889394663274288,0.01826432067900896,58.24609151575714,168142336
1.0,42,5,0.9128,0.813739277125895,0.897019518364189,0.995693195331761,1.068115234375,0.35206330128205127,0.674506602378992,0.004394730553030968,499902.84375,1711478.75,0.16413175873458385,10.360044213943183,0.07782749645411968,0.0036361319944262505,1.0403207940980792,10.524175972677767,11.645960395224392,0.04427369322197942,5782.214705162891,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.5810751722255043,1.1380688465844748,0.49425702009763584,1.164516246409571,10,25496560749934.973,0.8199629709124565,51.77104063797742,52.59100360888988,0.3889711545780301,0.01819529850035906,58.18114985432476,168142336
0.0,7,5,0.9309,0.42876318703591826,0.47628466816794157,0.995693195331761,1.068115234375,0.18906917735042736,0.8354783478455666,0.000509341130964458,56.19813919067383,411.14599609375,0.03933700546622276,10.388649590313435,0.07808570470660925,0.00364706851541996,1.0432377802208066,10.427986595779657,11.552957149222493,0.04439593842014288,5766.293249110604,111866880,138213888,138213888,234,59904,1170,2560,10,10,2560,0.7980469936700941,0.5447403818034982,0.2365777418871298,1.7578447111905477,10,50000000046078.984,0.19669262506067753,52.00737420562655,52.204066830687225,0.3901201179251075,0.018246617168188095,57.81967184133828,138213888
0.25,7,5,0.9584,0.25511595047972807,0.2933584614537465,0.995693195331761,1.068115234375,0.11807224893162394,0.8976937993469402,1.123502806876786e-05,3.0663368701934814,535.7911376953125,0.16426335275173187,10.363793162629008,0.07805885002017021,0.003651808016002178,1.0284140016883612,10.52805651538074,11.638181175105274,0.04428971437020944,5780.1230746295605,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.7851343001351938,0.6042294345486015,0.2624135092279797,1.6983556584454444,10,19812687710.8833,0.8728759353980422,51.78537720255554,52.65825313795358,0.3997768806293607,0.018363287672400475,58.26229885593057,168142336
0.5,7,5,0.9509,0.3782116118852049,0.4279022572132257,0.995693195331761,1.068115234375,0.15274439102564102,0.8635342021783193,7.375955647148658e-06,32.335628509521484,4248.40771484375,0.16447794809937477,10.366869904100895,0.07792961411178112,0.0036405203863978386,1.0306451944634318,10.53134785220027,11.64356318116188,0.04430286283803801,5778.4076152343105,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.7605082424060041,0.6658286551327006,0.2891657108171951,1.6367564378613453,10,210566337.18618283,0.8364887572824955,51.86921777948737,52.70570653676987,0.3921174379065633,0.0182142723351717,58.289979949593544,168142336
0.75,7,5,0.9257,0.6552681346552447,0.6965415544616871,0.995693195331761,1.068115234375,0.2257946047008547,0.7925259333390456,1.6856029105838388e-05,4483.080078125,64217.59765625,0.1641074987128377,10.322297966107726,0.07783106062561274,0.0036357780918478966,1.0266555603593588,10.486405464820564,11.594527863897383,0.044112384470545836,5803.35892227574,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.7032293498301578,0.8179951170644435,0.35525076556489227,1.4845899759296024,10,25001033514718.04,0.836645532399416,52.839123976416886,53.6757695088163,0.3894840432330966,0.018231780268251896,59.26107014995068,168142336
1.0,7,5,0.9096,0.813973110902682,0.9009442286104219,0.995693195331761,1.068115234375,0.3312132745726496,0.6910016116423484,0.0016822738107293844,457157.4375,1411758.0,0.16420800052583218,10.388812728226185,0.07764807436615229,0.003641492687165737,1.034600343555212,10.553020728752017,11.668910639360547,0.04439663559071019,5766.202699683102,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.6299221984325352,1.0380401030440993,0.4508150887463352,1.2645449899499466,10,25469642948304.332,0.828729392029345,52.45283736474812,53.281566756777465,0.4791598254814744,0.04298917297273874,59.170458507724106,168142336
