beta,seed,epoch,layer,A_zero_eigenvalue_count,A_dimension,A_effective_rank,A_floored_condition_number,A_log_eigenvalue_spread,A_spectral_floor_ratio,C_zero_eigenvalue_count,C_dimension,C_effective_rank,C_floored_condition_number,C_log_eigenvalue_spread,C_spectral_floor_ratio,floored_kappa_block
0.0,42,1,conv1,0,10,10,27.25456468657796,1.0912591936913143,1e-07,0,16,16,4.526126027664929,0.41091713296662075,1e-07,123.35759460059795
0.0,42,1,conv2,0,145,145,12385.943219442608,1.5410264168496557,9.999999999999998e-08,0,32,32,784.5388309774426,1.4887461359832728,1.0000000000000001e-07,9717253.413934484
0.0,42,1,fc1,46,1569,1475,10000000.0,2.1198900099869684,1e-07,3,128,122,10000000.0,3.1450113088005827,1e-07,100000000000000.0
0.0,42,1,fc2,3,129,119,10000000.0,2.87240282088438,1e-07,0,10,9,10000000.0,4.814448653820995,1e-07,100000000000000.0
0.0,42,2,conv1,0,10,10,27.201573480647433,1.091072015804141,1e-07,0,16,16,42.469565742028884,0.9220650868754746,1e-07,1155.2390132229857
0.0,42,2,conv2,0,145,145,21795.618432025185,1.7480058970217989,1e-07,0,32,32,32.91312591441491,0.5731739623878526,1e-07,717361.9338357875
0.0,42,2,fc1,0,1569,1504,10000000.0,2.1375938483703827,1e-07,2,128,123,10000000.0,2.958778150542945,1e-07,100000000000000.0
0.0,42,2,fc2,0,129,127,10000000.0,2.2049601119763054,1e-07,1,10,9,10000000.0,4.62979987468999,1.0000000000000001e-07,100000000000000.0
0.0,42,3,conv1,0,10,10,27.02254649245918,1.0886580529217857,1e-07,0,16,16,27.8751419894902,0.7496389117806115,1.0000000000000001e-07,753.2573203949
0.0,42,3,conv2,0,145,145,20147.28503761819,1.7425818695113935,1e-07,0,32,32,9.73662836431266,0.4371050128446373,1e-07,196166.6269611653
0.0,42,3,fc1,0,1569,1521,10000000.0,2.126392156010321,1e-07,0,128,125,10000000.0,2.713357529265006,1e-07,100000000000000.0
0.0,42,3,fc2,1,129,128,10000000.0,2.2286789204956903,1e-07,1,10,9,10000000.0,4.617728603166941,1e-07,100000000000000.0
0.0,42,4,conv1,0,10,10,27.11472753469698,1.0899551218434664,1e-07,0,16,16,14.333388163320285,0.6255867400849863,1e-07,388.6459146974803
0.0,42,4,conv2,0,145,145,19743.439451583068,1.7583383323890627,1.0000000000000001e-07,0,32,32,18.241415956994143,0.5570620079311241,1e-07,360148.2914580551
0.0,42,4,fc1,0,1569,1495,10000000.000000002,2.134835573499058,1e-07,1,128,127,10000000.000000002,2.5247391913525385,1e-07,100000000000000.03
0.0,42,4,fc2,1,129,128,10000000.0,2.2574195065618543,1e-07,1,10,9,10000000.000000002,4.603103096487756,9.999999999999998e-08,100000000000000.02
0.0,42,5,conv1,0,10,10,27.19422364270309,1.0904935673979488,1e-07,0,16,16,9.964981166556262,0.5201628457433644,1e-07,270.9899264386553
0.0,42,5,conv2,0,145,145,19894.751992493635,1.7292447473491956,9.999999999999998e-08,0,32,32,169.3505571956977,0.8884929276488244,9.999999999999998e-08,3369187.335199014
0.0,42,5,fc1,0,1569,1478,10000000.0,2.1306406472418318,1e-07,0,128,127,10000000.0,2.631957215065574,1e-07,100000000000000.0
