estimator,beta,seeds,test_accuracy_mean,test_accuracy_std,clip_fraction_mean,clip_fraction_std,transformed_norm_p90_mean,transformed_norm_p90_std,transformed_norm_p99_mean,transformed_norm_p99_std,transformed_block_floored_condition_number_mean,transformed_block_floored_condition_number_std
KFLR,0.0,2,0.9234,0.0072124891681027755,0.21365852029914528,0.01841423909339967,269.29480743408203,63.48785467816701,1774.3323974609375,87.53122236301785,48615726037066.09,1957659088463.328
KFLR,0.25,2,0.95775,0.0016263455967290372,0.13293770032051283,0.009903555512411748,10.885835647583008,5.764349618032021,4163.8624267578125,180.29410268596206,3139571825232.5596,4366376598088.568
KFLR,0.5,2,0.95165,0.0010606601717798615,0.15456396901709402,0.009136295550186758,38.28120422363281,12.928705601566298,6377.57666015625,419.2832472151526,536031140945.8692,133577492502.36163
KFLR,0.75,2,0.9317,0.0004242640687119603,0.2114800347222222,0.009974379508924814,452.0145568847656,42.32299940978398,7755.796630859375,932.4946508208785,513170103287.30566,4606089910.616908
KFLR,1.0,2,0.91745,0.0028991378028648397,0.28419638087606836,0.011933843412453243,2034.0982055664062,431.0457164752932,8598.5439453125,2724.950609940717,13094749727136.783,17272938214023.822
KFRA-block,0.0,2,0.9238500000000001,0.007000357133746756,0.2139256143162393,0.018248983101535835,275.85855865478516,60.86909092884833,1827.7553100585938,130.247567183186,50000000440735.14,546804.784483809
KFRA-block,0.25,2,0.9576,0.0012727922061358025,0.13331330128205127,0.00941959153623908,11.048166513442993,5.909106509577962,4278.03759765625,230.69220629417913,13234734244358.729,18687446603040.062
KFRA-block,0.5,2,0.9518500000000001,0.0006363961030679012,0.15452223557692307,0.00903005955541716,38.20204162597656,12.168988763844936,6495.5146484375,449.1371021673381,14460326472197.094,14906157079976.275
KFRA-block,0.75,2,0.93065,0.00035355339059323483,0.21005275106837606,0.0104819514839352,477.4229736328125,35.72136521968157,7930.9638671875,807.8418761469904,25000957903770.773,9873764.30692679
KFRA-block,1.0,2,0.91465,0.0014849242404917434,0.2806991185897436,0.014920255265421262,2298.2675170898438,524.0787682124359,8875.8291015625,2850.912291747163,12936156912509.197,17561671046335.873
