estimator,beta,seed,epoch,layer,A_zero_eigenvalue_count,A_dimension,A_effective_rank,A_floored_condition_number,A_log_eigenvalue_spread,A_spectral_floor_ratio,C_zero_eigenvalue_count,C_dimension,C_effective_rank,C_floored_condition_number,C_log_eigenvalue_spread,C_spectral_floor_ratio,floored_kappa_block
KFLR,0.0,42,1,conv1,0,10,10,26.97146686539858,1.0876531772615017,1e-07,0,16,16,4.518885795144399,0.4115605175305434,1e-07,121.88097849225747
KFLR,0.0,42,1,conv2,0,145,145,12467.875137108882,1.5382804884445245,1e-07,0,32,32,953.9550817609895,1.5141593915502813,1.0000000000000001e-07,11893792.845806511
KFLR,0.0,42,1,fc1,663,1569,256,10000000.0,3.0950190399034625,1e-07,9,128,113,10000000.0,4.018088417866648,1e-07,100000000000000.0
KFLR,0.0,42,1,fc2,7,129,116,10000000.0,3.134568400900185,1e-07,1,10,9,10000000.000000002,4.817411057304241,1e-07,100000000000000.02
KFLR,0.25,42,1,conv1,0,10,10,5.2509452147436715,0.5469452722597762,1e-07,0,16,16,4.517258011793534,0.4114559527026528,1e-07,23.71987434078977
KFLR,0.25,42,1,conv2,0,145,145,158.35803192887923,0.8320748306816285,1.0000000000000001e-07,0,32,32,948.9600615399552,1.512879149333048,9.999999999999998e-08,150275.4477245754
KFLR,0.25,42,1,fc1,663,1569,599,10000000.0,4.407029465124097,1e-07,9,128,113,10000000.0,4.344978013631518,1e-07,100000000000000.0
KFLR,0.25,42,1,fc2,7,129,118,10000000.0,3.707854144738604,1e-07,1,10,9,10000000.0,4.826309500111353,1e-07,100000000000000.0
KFLR,0.5,42,1,conv1,0,10,10,1.022281279169575,0.006848183791596917,1e-07,0,16,16,4.515630814799298,0.41135138902227486,1e-07,4.616244845610576
KFLR,0.5,42,1,conv2,0,145,145,2.011350450707432,0.1598322877113078,1e-07,0,32,32,943.9911958281696,1.5115995305322203,1e-07,1898.6971171928367
KFLR,0.5,42,1,fc1,663,1569,831,10000000.0,5.768382879496326,1e-07,9,128,113,10000000.0,4.7207425269014625,1e-07,100000000000000.0
KFLR,0.5,42,1,fc2,7,129,118,10000000.000000002,4.411355421158457,1e-07,1,10,9,10000000.0,4.835253101974371,1e-07,100000000000000.02
KFLR,0.75,42,1,conv1,0,10,10,5.024544208225094,0.5344929693913738,1e-07,0,16,16,4.514004203950473,0.41124682649028377,1e-07,22.680813678863075
KFLR,0.75,42,1,conv2,0,145,145,42.73057757454999,0.6048969913569036,9.999999999999998e-08,0,32,32,939.0483476775672,1.5103205367323667,1e-07,40126.07826668928
KFLR,0.75,42,1,fc1,663,1569,843,10000000.0,5.713375345061311,1e-07,9,128,114,10000000.000000002,4.9185263097255545,9.999999999999998e-08,100000000000000.02
KFLR,0.75,42,1,fc2,7,129,118,10000000.000000002,4.517319328427172,1e-07,1,10,9,10000000.0,4.82873095539635,1e-07,100000000000000.02
KFLR,1.0,42,1,conv1,0,10,10,25.808558665849436,1.0752007444984468,1.0000000000000001e-07,0,16,16,4.512378179035921,0.4111422651075565,1e-07,116.45797695614742
KFLR,1.0,42,1,conv2,0,145,145,3081.8886965071706,1.3089730912920523,1e-07,0,32,32,934.1313808571591,1.5090421695226528,1e-07,2878888.943716313
KFLR,1.0,42,1,fc1,663,1569,849,10000000.0,5.594970680083775,1e-07,9,128,114,10000000.0,4.93224547725696,1e-07,100000000000000.0
KFLR,1.0,42,1,fc2,7,129,118,10000000.0,4.527720560728447,1e-07,1,10,9,10000000.000000002,4.821939277439017,9.999999999999998e-08,100000000000000.02
KFRA-block,0.0,42,1,conv1,0,10,10,26.97146686539858,1.0876531772615017,1e-07,0,16,16,4.763788226997941,0.4282825868133535,9.999999999999998e-08,128.4863563182508
KFRA-block,0.0,42,1,conv2,0,145,145,12467.875137108882,1.5382804884445245,1e-07,0,32,32,847.9495842514355,1.4994710159450177,1e-07,10572129.539010284
KFRA-block,0.0,42,1,fc1,663,1569,256,10000000.0,3.0950190399034625,1e-07,9,128,113,10000000.0,4.018004596492873,1.0000000000000001e-07,100000000000000.0
KFRA-block,0.0,42,1,fc2,7,129,116,10000000.0,3.134568400900185,1e-07,1,10,9,10000000.0,4.817411017471382,1e-07,100000000000000.0
KFRA-block,0.25,42,1,conv1,0,10,10,5.2509452147436715,0.5469452722597762,1e-07,0,16,16,4.762039326651421,0.42817550104002483,9.999999999999998e-08,25.005207614701455
KFRA-block,0.25,42,1,conv2,0,145,145,158.35803192887923,0.8320748306816285,1.0000000000000001e-07,0,32,32,843.5133196193508,1.4981861376356098,1e-07,133577.10920071608
KFRA-block,0.25,42,1,fc1,663,1569,599,10000000.0,4.407029465124097,1e-07,9,128,113,10000000.0,4.344901038579524,1e-07,100000000000000.0
KFRA-block,0.25,42,1,fc2,7,129,118,10000000.0,3.707854144738604,1e-07,1,10,9,10000000.0,4.82630947997122,1e-07,100000000000000.0
KFRA-block,0.5,42,1,conv1,0,10,10,1.022281279169575,0.006848183791596917,1e-07,0,16,16,4.760291068367957,0.42806841648094796,1e-07,4.866356442590698
KFRA-block,0.5,42,1,conv2,0,145,145,2.011350450707432,0.1598322877113078,1e-07,0,32,32,839.1002644377471,1.4969018811670325,1e-07,1687.724695065588
KFRA-block,0.5,42,1,fc1,663,1569,831,10000000.0,5.768382879496326,1e-07,9,128,114,10000000.0,4.710961216506984,1e-07,100000000000000.0
KFRA-block,0.5,42,1,fc2,7,129,118,10000000.000000002,4.411355421158457,1e-07,1,10,9,10000000.0,4.835253101600248,1e-07,100000000000000.02
KFRA-block,0.75,42,1,conv1,0,10,10,5.024544208225094,0.5344929693913738,1e-07,0,16,16,4.758543451911831,0.4279613331370349,1e-07,23.909511940891036
KFRA-block,0.75,42,1,conv2,0,145,145,42.73057757454999,0.6048969913569036,9.999999999999998e-08,0,32,32,834.7102972804612,1.4956182481411715,1e-07,35667.65311021843
KFRA-block,0.75,42,1,fc1,663,1569,843,10000000.0,5.713375345061311,1e-07,9,128,114,10000000.0,4.905077980931919,1e-07,100000000000000.0
KFRA-block,0.75,42,1,fc2,7,129,118,10000000.000000002,4.517319328427172,1e-07,1,10,9,10000000.0,4.828730963033564,1e-07,100000000000000.02
KFRA-block,1.0,42,1,conv1,0,10,10,25.808558665849436,1.0752007444984468,1.0000000000000001e-07,0,16,16,4.756796477047413,0.4278542510091979,1e-07,122.76606093938408
KFRA-block,1.0,42,1,conv2,0,145,145,3081.8886965071706,1.3089730912920523,1e-07,0,32,32,830.3432973566023,1.4943352401646368,1e-07,2559025.622343805
KFRA-block,1.0,42,1,fc1,663,1569,849,10000000.0,5.594970680083775,1e-07,9,128,114,10000000.0,4.919069670683719,1e-07,100000000000000.0
KFRA-block,1.0,42,1,fc2,7,129,118,10000000.0,4.527720560728447,1e-07,1,10,9,10000000.0,4.821939292951884,1e-07,100000000000000.0
