epoch,private_step,layer,side,dimension,q,original_condition,transformed_condition,condition_ratio
1,0,conv1,A,10,0.25,25.507096973885933,25.507078970344015,0.9999992941751883
1,0,conv1,A,10,0.5,25.507096973885933,25.507064320769015,0.9999987198418954
1,0,conv1,G,2,0.25,1.0034040676281735,1.007323684681708,1.003906319677176
1,0,conv1,G,2,0.5,1.0034040676281735,1.0403493679786915,1.0368199627073953
1,0,conv2,A,19,0.25,282.8612786068033,182.76957450764812,0.6461456138777851
1,0,conv2,A,19,0.5,282.8612786068033,121.87492418862851,0.4308646442839674
1,0,conv2,G,2,0.25,1.006346568627909,1.1356930592224095,1.128530761297131
1,0,conv2,G,2,0.5,1.006346568627909,1.5741374721640118,1.5642101053817379
1,0,fc1,A,99,0.25,2769.038378485266,1640.1264893365965,0.5923090492641663
1,0,fc1,A,99,0.5,2769.038378485266,1173.8579200882837,0.42392258959242507
1,0,fc1,G,8,0.25,57.414591892644545,208.44165077688038,3.6304647286639358
1,0,fc1,G,8,0.5,57.414591892644545,977.2425831455437,17.02080518089931
1,0,fc2,A,9,0.25,1020.888563643476,964.0051792874907,0.9442805156392655
1,0,fc2,A,9,0.5,1020.888563643476,910.4207843581212,0.8917925195565876
1,0,fc2,G,10,0.25,201.72174439376218,475.82141236007146,2.3588008015202613
1,0,fc2,G,10,0.5,201.72174439376218,1349.0504916123011,6.6876800796395335
2,2,conv1,A,10,0.25,29.33188471626305,29.326054250614813,0.9998012243091557
2,2,conv1,A,10,0.5,29.33188471626305,29.3214587142211,0.9996445505584519
2,2,conv1,G,2,0.25,1.8207824179008707,3.277813747921006,1.8002226491729343
2,2,conv1,G,2,0.5,1.8207824179008707,5.910264646633813,3.246002701106699
2,2,conv2,A,19,0.25,31.154839696272003,18.96835023632292,0.6088412080192047
2,2,conv2,A,19,0.5,31.154839696272003,11.604022396305586,0.37246291457227837
2,2,conv2,G,2,0.25,2.891351674824216,2.9216629995065024,1.010483444454791
2,2,conv2,G,2,0.5,2.891351674824216,2.9501705053708887,1.0203430219363574
2,2,fc1,A,99,0.25,172838.7415925394,22698.500747065158,0.1313276209831242
2,2,fc1,A,99,0.5,172838.7415925394,5730.076048421452,0.033152729507426544
2,2,fc1,G,8,0.25,2837.1846720157287,6192.46090487308,2.1826076271847104
2,2,fc1,G,8,0.5,2837.1846720157287,18347.73012037636,6.466879051387545
2,2,fc2,A,9,0.25,319118.69416970736,44278.43500321,0.1387522442657738
2,2,fc2,A,9,0.5,319118.69416970736,19615.683057548093,0.06146829820980801
2,2,fc2,G,10,0.25,688.2297469491567,1819.209813351858,2.643317615107754
2,2,fc2,G,10,0.5,688.2297469491567,5293.804230804974,7.691914297909673
