method,seed,epoch,layer,side,rank,dimension,tau,captured_trace_fraction
rank4,42,0,conv1,A,4,10,0.08272464461138251,0.8420055174344768
rank4,42,0,conv1,C,4,16,6.065365546862448e-07,0.3123132630390001
rank4,42,0,conv2,A,4,145,0.023765385202550032,0.8257622027997403
rank4,42,0,conv2,C,4,32,5.644633977622828e-06,0.18430705206966988
rank4,42,0,fc1,A,4,1569,0.004760318771765503,0.8422429746217326
rank4,42,0,fc1,C,4,128,0.0007485943703235167,0.47927060296717755
rank4,42,0,fc2,A,4,129,0.0007931227659053271,0.9406269781295605
rank4,42,0,fc2,C,4,10,0.08077775010145677,0.4614987703852063
rank4,42,1,conv1,A,4,10,0.0800958111792051,0.8469877127731601
rank4,42,1,conv1,C,4,16,6.023033048743338e-05,0.6901526405036017
rank4,42,1,conv2,A,4,145,0.042228472162250646,0.8600405391259573
rank4,42,1,conv2,C,4,32,0.0002421217035625775,0.24613154360550843
rank4,42,1,fc1,A,4,1569,0.36655113976537573,0.7598882533334405
rank4,42,1,fc1,C,4,128,0.0034299891003726785,0.49047305705111965
rank4,42,1,fc2,A,4,129,0.670355738228221,0.8247044563444863
rank4,42,1,fc2,C,4,10,0.09809195341170969,0.53394794862329
rank4,42,2,conv1,A,4,10,0.08147534153199872,0.8443718255244996
rank4,42,2,conv1,C,4,16,0.00013044845746478385,0.5891876410309356
rank4,42,2,conv2,A,4,145,0.05536261778377199,0.847222219488879
rank4,42,2,conv2,C,4,32,0.00047328652583963904,0.1903766592362173
rank4,42,2,fc1,A,4,1569,0.5280896771208551,0.750923516836735
rank4,42,2,fc1,C,4,128,0.004170560326108396,0.46470813241732695
rank4,42,2,fc2,A,4,129,1.374997806223325,0.8138974010203945
rank4,42,2,fc2,C,4,10,0.10248755846561568,0.5447750482612933
rank4,42,3,conv1,A,4,10,0.08543111770593052,0.8368947238019914
rank4,42,3,conv1,C,4,16,0.00024369146807945983,0.51652046070004
rank4,42,3,conv2,A,4,145,0.05726713588182249,0.8563977211113423
rank4,42,3,conv2,C,4,32,0.0007393218626563405,0.17871131564555115
rank4,42,3,fc1,A,4,1569,0.6125392488849911,0.7521807461457731
rank4,42,3,fc1,C,4,128,0.004628254043349146,0.481507097265263
rank4,42,3,fc2,A,4,129,2.052580561641098,0.8093556224491724
rank4,42,3,fc2,C,4,10,0.09388045777168845,0.5938993816938134
rank4,42,4,conv1,A,4,10,0.08657844050290427,0.834629686218444
rank4,42,4,conv1,C,4,16,0.00044830216640739576,0.4298575705360204
rank4,42,4,conv2,A,4,145,0.06293127418593535,0.8517687028135671
rank4,42,4,conv2,C,4,32,0.0011055568506831083,0.16084782807349438
rank4,42,4,fc1,A,4,1569,0.641180526644302,0.7528993042677405
rank4,42,4,fc1,C,4,128,0.005078195937635951,0.5105432833058728
rank4,42,4,fc2,A,4,129,2.7574507338424774,0.8070184903586245
rank4,42,4,fc2,C,4,10,0.09636273834178405,0.6063158911487795
rank8,42,0,conv1,A,8,10,0.05273103527373246,0.9664299448999129
rank8,42,0,conv1,C,8,16,5.169146246409401e-07,0.6092839705919765
rank8,42,0,conv2,A,8,145,0.015767522934361088,0.8876786176375301
rank8,42,0,conv2,C,8,32,5.163042748226876e-06,0.3604862990807471
rank8,42,0,fc1,A,8,1569,0.004048996279262498,0.8661591729410526
rank8,42,0,fc1,C,8,128,0.00032478615547226937,0.7813635291882033
rank8,42,0,fc2,A,8,129,0.0006749697496812775,0.9510887903126571
rank8,42,0,fc2,C,8,10,0.04534521559015903,0.8992360548056075
rank8,42,1,conv1,A,8,10,0.052726410280083735,0.9664244254664552
rank8,42,1,conv1,C,8,16,4.4326753638909656e-05,0.8501753951383334
rank8,42,1,conv2,A,8,145,0.02660198819432567,0.9139974296460819
rank8,42,1,conv2,C,8,32,0.00023658669247365055,0.3865222690975505
rank8,42,1,fc1,A,8,1569,0.2523142585246893,0.848867847514347
rank8,42,1,fc1,C,8,128,0.0016012149830978355,0.7759160266298092
rank8,42,1,fc2,A,8,129,0.46795414604036134,0.893020112913884
rank8,42,1,fc2,C,8,10,0.04993938225293881,0.9215337371476064
rank8,42,2,conv1,A,8,10,0.05299804357777016,0.9662556849811136
rank8,42,2,conv1,C,8,16,0.0001196145625980829,0.7602544109881296
rank8,42,2,conv2,A,8,145,0.03236274640944735,0.9143746351634657
rank8,42,2,conv2,C,8,32,0.0004876474888771587,0.32208757088060624
rank8,42,2,fc1,A,8,1569,0.3805066899174048,0.845970909811252
