method,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,geometry_seconds,state_metric_seconds,evaluation_seconds,algorithm_epoch_seconds,wall_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,predicted_second_moment_raw,predicted_second_moment_ref,scale_match,predicted_rms_raw,predicted_rms_matched,operator_state_bytes,stored_scalar_count,builder_forward_calls,builder_vjp_calls,builder_reverse_vectors,builder_unique_samples,builder_processed_samples,rebuild_count,rebuilt,state_metric_forward_calls,beta,total_preconditioner_build_seconds,total_private_train_seconds,total_evaluation_seconds,total_algorithm_seconds,peak_cuda_allocated_bytes,total_builder_forward_calls,total_builder_vjp_calls,total_builder_reverse_vectors,total_builder_unique_samples,total_builder_processed_samples,utility_retention,memory_frontier,runtime_frontier
diag,42,4,0.9322,0.5214432206200436,0.5101946897040575,0.995693195331761,1.068115234375,0.18878538995726496,0.8327037335461022,4.703280865214765e-05,109.68206787109375,1961.9207763671875,0.04335311893373728,10.26113160327077,6.793998181819916e-06,5.302950739860535e-06,1.0589978126809,10.304484722204506,11.363494631834328,0.04385098975756739,5837.952607576479,134988800,157301248,157301248,234,59904,1170,33857.36827117407,163791.82751161157,2.199477459214385,184.00371809062466,404.7120303519671,8164,2040,10,10,2560,2560,2560,5,1,0,0.25,0.23845556564629078,51.27984644845128,5.305457559414208,51.51830201409757,157301248,50,50,12800,12800,12800,0.2893982808022928,True,False
a_only,42,4,0.9588,0.2524693655177485,0.2704531793665682,0.995693195331761,1.068115234375,0.13109308226495728,0.888565992952412,6.160423799883574e-05,4.726294040679932,376.52099609375,0.15350509993731976,10.215751213021576,6.5248459577560425e-06,5.2461400628089905e-06,1.057663183659315,10.369256312958896,11.426931267604232,0.043657056465904176,5863.885949340951,177981952,167289344,177981952,234,59904,1170,51851.933005650215,175482.22098580535,1.8396452591097185,227.7101952167496,418.90598108144195,9998116,2499528,10,0,0,2560,2560,5,1,0,0.25,0.8087027603760362,51.11700370442122,5.290750495158136,51.92570646479726,177981952,50,0,0,12800,12800,1.0515759312320925,True,True
c_only,42,4,0.9221,0.6472815652696415,0.6114270127354524,0.995693195331761,1.068115234375,0.22210536858974358,0.8001771105660332,0.0001517695200163871,581.85986328125,4924.9833984375,0.021522373892366886,10.197267046198249,6.78282231092453e-06,5.0924718379974365e-06,1.0494939517229795,10.218789420090616,11.268295247107744,0.04357806429999252,5874.515174370514,115947520,128259072,128259072,234,59904,1170,9280.889080569656,96120.57498413933,3.218202655660342,96.33737115247466,310.03318368222995,71064,17765,10,10,2560,2560,2560,5,1,0,0.25,0.10808481369167566,51.148100157268345,5.265380699187517,51.25618497096002,128259072,50,50,12800,12800,12800,0.0,False,True
fullA_diagC,42,4,0.9583,0.317219439255535,0.3380338637014994,0.995693195331761,1.068115234375,0.13568376068376067,0.8804772524242728,2.667205535544781e-06,9.60007095336914,2851.788818359375,0.15770323760807514,10.261549461632967,5.791895091533661e-06,5.300156772136688e-06,1.063855697400868,10.419252699241042,11.483119488693774,0.04385277547706396,5837.714881556221,177864192,167291392,177864192,234,59904,1170,7320.068154000148,150444.44863415047,4.533467651759737,85.55739683978322,387.87169094192797,9998860,2499714,10,10,2560,2560,2560,5,1,0,0.25,0.8106843587011099,51.12416443694383,5.272662219591439,51.93484879564494,177864192,50,50,12800,12800,12800,1.0372492836676241,False,False
diagA_fullC,42,4,0.9325,0.5126735942646861,0.502060077766068,0.995693195331761,1.068115234375,0.1891693376068376,0.8316857827524854,0.00010448365355841815,106.80719757080078,1801.71240234375,0.05093228816986084,10.230457053519785,7.235445082187653e-06,5.163252353668213e-06,1.0484509887173772,10.281389341689646,11.32985272910446,0.04371990193811874,5855.456866356723,135057920,157370368,157370368,234,59904,1170,19326.22163354567,92929.93251659781,2.192826813411077,139.01878158560328,304.8441118286489,78476,19618,10,10,2560,2560,2560,5,1,0,0.25,0.24694204609841108,51.25096393469721,5.263024085201323,51.49790598079562,157370368,50,50,12800,12800,12800,0.2979942693409738,False,False
rank4,42,4,0.9513,0.36784713582968104,0.3889724311665592,0.995693195331761,1.068115234375,0.15309495192307693,0.8644831262083135,8.202121534850448e-06,25.92891502380371,2525.129150390625,0.7709311610087752,10.311448226682842,6.750226020812988e-06,6.585381925106049e-06,1.0400306209921837,11.082379387691617,12.122423344291747,0.04406601806274719,5809.465235444519,134559232,186430976,186430976,234,59904,1170,13913.528588113672,172292.5316441719,3.5189620553845793,117.95562126543047,415.08135545236416,32824,8197,20,20,5120,2560,5120,5,1,0,0.25,3.8909796830266714,51.57777288556099,5.2410451751202345,55.46875256858766,186430976,100,100,25600,12800,25600,0.8366762177650447,True,False
rank8,42,4,0.9492,0.38900935671981424,0.4065490785635944,0.995693195331761,1.068115234375,0.15748530982905984,0.8610771168500949,1.0031516467279289e-05,30.410518646240234,2693.556396484375,0.7943570772185922,10.327459641732275,6.404705345630646e-06,6.006099283695221e-06,1.0468027275055647,11.121816718950868,12.168631857261062,0.044134442913385794,5800.458397138989,134695424,186463232,186463232,234,59904,1170,10394.539480622889,147925.66529746068,3.7724121856063424,101.95361435781906,384.61105717004637,65576,16385,20,20,5120,2560,5120,5,1,0,0.25,3.913683395832777,51.43971524015069,5.252428577281535,55.35339863598347,186463232,100,100,25600,12800,25600,0.7765042979942712,False,False
rank16,42,4,0.9535,0.3486776979175396,0.3733809992479972,0.995693195331761,1.068115234375,0.14776976495726496,0.8690364523830577,7.037200703052804e-06,18.56598663330078,2544.959716796875,0.35275414027273655,10.248627199791372,7.107853889465332e-06,5.059875547885895e-06,1.043591096997261,10.601381340064108,11.644984604790807,0.04379755213586056,5845.075523990125,134955008,186526208,186526208,234,59904,1170,8059.086773899851,135736.53748609556,4.103982189034293,89.77241655374914,368.4243986031538,130384,32590,20,20,5120,2560,5120,5,1,0,0.25,1.7064222460612655,51.180740267038345,5.231442451477051,52.88716251309961,186526208,100,100,25600,12800,25600,0.8997134670487119,True,False
refresh2,42,4,0.9537,0.3654508252732223,0.3863947295989746,0.995693195331761,1.068115234375,0.14862112713675213,0.8680636167016804,4.868785254075192e-06,22.202348709106445,2639.566162109375,0.16439250390976667,10.257907056249678,5.398876965045929e-06,5.037523806095123e-06,1.058117982931435,10.422299560159445,11.480427979491651,0.043837209642092645,5839.787753146311,168079872,167360512,168079872,234,59904,1170,4315.657593667946,96627.03303779599,4.731794032074515,65.69366479096706,310.84889100300165,10069172,2517292,10,10,2560,2560,2560,3,1,0,0.25,0.5345306908711791,51.07744782231748,5.238440668210387,51.61197851318866,168079872,30,30,7680,7680,7680,0.9054441260744992,False,True
frozen,42,4,0.9425,0.5306221218800056,0.5280497019043845,0.995693195331761,1.068115234375,0.20763221153846154,0.8110642183540214,2.054723518085666e-05,1006.9826049804688,68635.890625,1.5716999769210815e-05,10.232537425123155,5.812384188175201e-06,5.649402737617493e-06,1.0574206607416272,10.232553142122924,11.289985264651477,0.04372879241505622,5854.266396614623,20227072,167360512,167360512,234,59904,1170,125.28948711827135,20570.418705385546,12.8133960549274,11.193278658117618,143.42391259962736,10069172,2517292,0,0,0,0,0,1,0,0,0.25,0.17827299144119024,51.14524885080755,5.247663110494614,51.32352184224874,167360512,10,10,2560,2560,2560,0.5845272206303729,False,True
