method,seed,epoch,layer,side,rank,dimension,tau,captured_trace_fraction
rank4,42,0,conv1,A,4,10,0.09331608562429634,0.8213882668805562
rank4,42,0,conv1,C,4,16,6.044278336703446e-07,0.3155710228533083
rank4,42,0,conv2,A,4,145,0.025546679833040358,0.8152104077301925
rank4,42,0,conv2,C,4,32,5.593726191554896e-06,0.19853254058626876
rank4,42,0,fc1,A,4,1569,2.2701045870929717e-17,0.9999999999999992
rank4,42,0,fc1,C,4,128,0.0,1.0000000000000002
rank4,42,0,fc2,A,4,129,0.0,1.0000000000000002
rank4,42,0,fc2,C,4,10,1.850371707708594e-17,0.9999999999999999
rank8,42,0,conv1,A,8,10,0.05847874782964424,0.9626895676466019
rank8,42,0,conv1,C,8,16,5.177307182142555e-07,0.6091621572608698
rank8,42,0,conv2,A,8,145,0.016960679750911287,0.8807968449264167
rank8,42,0,conv2,C,8,32,5.035771964612922e-06,0.38155090831808414
rank8,42,0,fc1,A,8,1569,2.73110596704715e-17,0.9999999999999991
rank8,42,0,fc1,C,8,128,4.625929269271486e-19,0.9999999999999997
rank8,42,0,fc2,A,8,129,0.0,1.0000000000000004
rank8,42,0,fc2,C,8,10,0.0,1.0000000000000002
rank16,42,0,conv1,A,10,10,0.0,1.0
rank16,42,0,conv1,C,16,16,0.0,1.0
rank16,42,0,conv2,A,16,145,0.011080475131480156,0.9266716313884018
rank16,42,0,conv2,C,16,32,3.560141454196824e-06,0.7085165539558076
rank16,42,0,fc1,A,16,1569,0.0,1.0000000000000009
rank16,42,0,fc1,C,16,128,0.0,1.0000000000000002
rank16,42,0,fc2,A,16,129,0.0,1.0000000000000007
rank16,42,0,fc2,C,10,10,0.0,1.0
