method,seed,epoch,layer,mean,median,p90,p99
M0_original,42,1,conv1,0.0005049852188676,0.00035519618541,0.0009533986449241,0.0030250549316406
M0_original,42,1,conv2,0.0210504680871963,0.0161628667265176,0.0438667573034763,0.067995861172676
M0_original,42,1,fc1,0.891042947769165,0.9234423637390136,0.9424901008605956,0.9541999697685242
M0_original,42,1,fc2,0.0874016135931015,0.057277288287878,0.0826019793748855,0.6962224841117859
M0_original,42,2,conv1,0.0314228124916553,0.0264283418655395,0.0611186549067497,0.0981168672442436
M0_original,42,2,conv2,0.2847423851490021,0.273185670375824,0.4416585564613342,0.5680426955223083
M0_original,42,2,fc1,0.5959537029266357,0.6062101125717163,0.7177107930183411,0.7790898084640503
M0_original,42,2,fc2,0.0878810882568359,0.0188346765935421,0.2290021479129791,0.3434880673885345
M0_original,42,3,conv1,0.0446372479200363,0.0336784161627292,0.0963268727064132,0.1651580035686493
M0_original,42,3,conv2,0.2281405925750732,0.224531203508377,0.3619837164878845,0.4955390095710754
M0_original,42,3,fc1,0.5783392786979675,0.5983853340148926,0.7457782626152039,0.8072248697280884
M0_original,42,3,fc2,0.1486826390028,0.0946644693613052,0.4486993849277496,0.759430468082428
M0_original,42,4,conv1,0.0492320917546749,0.0371240824460983,0.1018539741635322,0.1710971891880035
M0_original,42,4,conv2,0.2357273250818252,0.2288820445537567,0.3566645085811615,0.4565382301807403
M0_original,42,4,fc1,0.6111561059951782,0.6208680868148804,0.7246063351631165,0.7956957221031189
M0_original,42,4,fc2,0.103851094841957,0.0779938101768493,0.2658315300941467,0.5224468111991882
M0_original,42,5,conv1,0.042947344481945,0.0330068841576576,0.0865925103425979,0.148298755288124
M0_original,42,5,conv2,0.225209355354309,0.2285681962966919,0.33047616481781,0.4227871596813202
M0_original,42,5,fc1,0.5920377969741821,0.6055880784988403,0.7096520066261292,0.7721303105354309
M0_original,42,5,fc2,0.139755442738533,0.0821143016219139,0.4000356793403625,0.5796768069267273
M1_full_ghost,42,1,conv1,0.0005049922619946,0.0003552109701558,0.0009533957927487,0.0030250549316406
M1_full_ghost,42,1,conv2,0.0210505835711956,0.0161629766225814,0.0438666269183158,0.067995898425579
M1_full_ghost,42,1,fc1,0.8910479545593262,0.923442542552948,0.9424901008605956,0.9542000889778136
M1_full_ghost,42,1,fc2,0.0873965471982956,0.0572772249579429,0.0826001688838005,0.6962231993675232
M1_full_ghost,42,2,conv1,0.0314244292676448,0.0264320075511932,0.0611242651939392,0.0981474071741104
M1_full_ghost,42,2,conv2,0.2847689986228943,0.2732554972171783,0.4416516125202179,0.5680082440376282
M1_full_ghost,42,2,fc1,0.5958826541900635,0.6061501502990723,0.7176416516304016,0.779040515422821
M1_full_ghost,42,2,fc2,0.087890475988388,0.0188438668847084,0.2290129214525222,0.3435830771923065
M1_full_ghost,42,3,conv1,0.0446400716900825,0.0336783751845359,0.0963454991579055,0.1654070317745208
M1_full_ghost,42,3,conv2,0.2280231565237045,0.2245854586362838,0.3619550466537475,0.4957331717014313
M1_full_ghost,42,3,fc1,0.5777241587638855,0.5982024073600769,0.7458204030990601,0.8073163032531738
M1_full_ghost,42,3,fc2,0.1481770128011703,0.0942845493555069,0.4478625655174255,0.7589012384414673
M1_full_ghost,42,4,conv1,0.0492532439529895,0.0371254459023475,0.1018677577376365,0.171314537525177
M1_full_ghost,42,4,conv2,0.235643982887268,0.2288178503513336,0.356593906879425,0.4567502737045288
M1_full_ghost,42,4,fc1,0.6110023260116577,0.6210156083106995,0.7246074080467224,0.795714259147644
M1_full_ghost,42,4,fc2,0.1035161763429641,0.0778444111347198,0.2650118172168731,0.5208049416542053
M1_full_ghost,42,5,conv1,0.0429169908165931,0.0329926162958145,0.0863882601261138,0.1483153402805328
M1_full_ghost,42,5,conv2,0.2250973582267761,0.228462815284729,0.3303897678852081,0.4226652979850769
M1_full_ghost,42,5,fc1,0.5921708345413208,0.6057744026184082,0.7099185585975647,0.7726199626922607
M1_full_ghost,42,5,fc2,0.1396311372518539,0.0820343792438507,0.3996844589710235,0.579273521900177
M2_a_ghost_p05,42,1,conv1,0.0002450473548378,0.00018849146727,0.0004535276384558,0.0011222906177863
M2_a_ghost_p05,42,1,conv2,0.009652174077928,0.008389270864427,0.0159370582550764,0.0283446479588747
M2_a_ghost_p05,42,1,fc1,0.5459144711494446,0.5473706722259521,0.6391673684120178,0.7760714888572693
M2_a_ghost_p05,42,1,fc2,0.4441882371902466,0.4417614340782165,0.5492350459098816,0.6365312337875366
M2_a_ghost_p05,42,2,conv1,0.0049528568051755,0.0045297527685761,0.0081939911469817,0.0125398421660065
M2_a_ghost_p05,42,2,conv2,0.0704684108495712,0.0676645934581756,0.0957415178418159,0.1272209584712982
M2_a_ghost_p05,42,2,fc1,0.8033469319343567,0.8056775331497192,0.8433154225349426,0.8667021989822388
M2_a_ghost_p05,42,2,fc2,0.1212317496538162,0.1182110384106636,0.1616981774568557,0.2254445850849151
M2_a_ghost_p05,42,3,conv1,0.0076845437288284,0.0066074505448341,0.0137166287750005,0.0208590775728225
