method,seed,epoch,layer,mean,median,p90,p99
M0_original,7,1,conv1,0.0005251719267107546,0.0003201697545591742,0.0009745604475028813,0.004215653985738754
M0_original,7,1,conv2,0.025320203974843025,0.017156971618533134,0.05483413487672806,0.11028993874788284
M0_original,7,1,fc1,0.8764090538024902,0.9237643480300903,0.9407572746276855,0.9520963430404663
M0_original,7,1,fc2,0.09774559736251831,0.05403343588113785,0.13201211392879486,0.6686720848083496
M0_original,7,2,conv1,0.03501342236995697,0.027516672387719154,0.07271868735551834,0.12522202730178833
M0_original,7,2,conv2,0.27749204635620117,0.25786280632019043,0.45967575907707214,0.5747246742248535
M0_original,7,2,fc1,0.61491459608078,0.6345815062522888,0.7511239051818848,0.8049682378768921
M0_original,7,2,fc2,0.07257997989654541,0.017828956246376038,0.17516334354877472,0.29125839471817017
M0_original,7,3,conv1,0.04569442942738533,0.03718332201242447,0.09103559702634811,0.1481524258852005
M0_original,7,3,conv2,0.2456255406141281,0.23635171353816986,0.369607537984848,0.479689359664917
M0_original,7,3,fc1,0.6149260401725769,0.6226885318756104,0.7394170761108398,0.8108367919921875
M0_original,7,3,fc2,0.09375392645597458,0.09005671739578247,0.18761199712753296,0.5430945754051208
M0_original,7,4,conv1,0.046992555260658264,0.03686105087399483,0.09280434995889664,0.160608172416687
M0_original,7,4,conv2,0.2336680293083191,0.22349393367767334,0.34203585982322693,0.45460081100463867
M0_original,7,4,fc1,0.6052019000053406,0.6192522048950195,0.7250198125839233,0.7890063524246216
M0_original,7,4,fc2,0.11393723636865616,0.08703221380710602,0.2951425611972809,0.5118523240089417
M0_original,7,5,conv1,0.04968182370066643,0.040936537086963654,0.09232372045516968,0.14820507168769836
M0_original,7,5,conv2,0.27964746952056885,0.26853394508361816,0.393250435590744,0.49551084637641907
M0_original,7,5,fc1,0.5777454972267151,0.5823366641998291,0.697314977645874,0.7666508555412292
M0_original,7,5,fc2,0.09214060753583908,0.07465571165084839,0.216519296169281,0.37257304787635803
