method,seed,epoch,layer,mean,median,p90,p99
M1_full_ghost,123,1,conv1,0.0004569704760797322,0.0003096855361945927,0.0008061224943958223,0.0032653557136654854
M1_full_ghost,123,1,conv2,0.02450869232416153,0.01890953630208969,0.04975542053580284,0.08644961565732956
M1_full_ghost,123,1,fc1,0.8674020767211914,0.9124457836151123,0.9341974258422852,0.9483025670051575
M1_full_ghost,123,1,fc2,0.10763220489025116,0.06409691274166107,0.11600993573665619,0.707416832447052
M1_full_ghost,123,2,conv1,0.02760997973382473,0.021680377423763275,0.05573466792702675,0.09905613958835602
M1_full_ghost,123,2,conv2,0.24607084691524506,0.21767237782478333,0.4300018846988678,0.5852857232093811
M1_full_ghost,123,2,fc1,0.6185377240180969,0.6238582134246826,0.7726190686225891,0.8455045223236084
M1_full_ghost,123,2,fc2,0.10778148472309113,0.032083429396152496,0.2740335762500763,0.45362618565559387
M1_full_ghost,123,3,conv1,0.051314827054739,0.042174797505140305,0.09831883758306503,0.16905896365642548
M1_full_ghost,123,3,conv2,0.2831267714500427,0.2707112431526184,0.41377437114715576,0.5286964178085327
M1_full_ghost,123,3,fc1,0.5741965174674988,0.5835487842559814,0.6811359524726868,0.7490347027778625
M1_full_ghost,123,3,fc2,0.0913618952035904,0.09883639216423035,0.19846513867378235,0.2996865212917328
M1_full_ghost,123,4,conv1,0.048673536628484726,0.03825797885656357,0.09627145528793335,0.16743390262126923
M1_full_ghost,123,4,conv2,0.28209641575813293,0.2667478322982788,0.4237987995147705,0.5322933197021484
M1_full_ghost,123,4,fc1,0.5878482460975647,0.5993801355361938,0.713648796081543,0.7808986306190491
M1_full_ghost,123,4,fc2,0.081114761531353,0.08023654669523239,0.17303651571273804,0.29251497983932495
M1_full_ghost,123,5,conv1,0.046402450650930405,0.0384640172123909,0.084131620824337,0.15221378207206726
M1_full_ghost,123,5,conv2,0.24477578699588776,0.23432566225528717,0.35163113474845886,0.4621594250202179
M1_full_ghost,123,5,fc1,0.6075539588928223,0.6149564385414124,0.7145369052886963,0.7745538353919983
M1_full_ghost,123,5,fc2,0.10106748342514038,0.09740038216114044,0.21197888255119324,0.37521860003471375
