method,seed,epoch,layer,mean,median,p90,p99
M2_a_ghost_p05,123,1,conv1,0.00023547947057522833,0.0001620643015485257,0.000455970352049917,0.0013224967988207936
M2_a_ghost_p05,123,1,conv2,0.01207344327121973,0.00952470488846302,0.024088311940431595,0.04163295403122902
M2_a_ghost_p05,123,1,fc1,0.5120453834533691,0.5050413608551025,0.6120584011077881,0.7398248314857483
M2_a_ghost_p05,123,1,fc2,0.47564566135406494,0.48385268449783325,0.5731987953186035,0.6478760838508606
M2_a_ghost_p05,123,2,conv1,0.004260063637048006,0.0035255467519164085,0.007652955129742622,0.013563692569732666
M2_a_ghost_p05,123,2,conv2,0.0652545765042305,0.060035258531570435,0.09298142790794373,0.15629297494888306
M2_a_ghost_p05,123,2,fc1,0.7813586592674255,0.7859245538711548,0.8241254091262817,0.8494606614112854
M2_a_ghost_p05,123,2,fc2,0.14912670850753784,0.14437001943588257,0.19461040198802948,0.264891117811203
M2_a_ghost_p05,123,3,conv1,0.007367026526480913,0.0060230400413274765,0.013709649443626404,0.022562261670827866
M2_a_ghost_p05,123,3,conv2,0.08868144452571869,0.08484409749507904,0.11747909337282181,0.16665005683898926
M2_a_ghost_p05,123,3,fc1,0.7432668209075928,0.7467594146728516,0.800564169883728,0.83364337682724
M2_a_ghost_p05,123,3,fc2,0.16068466007709503,0.15536454319953918,0.22639816999435425,0.2938826382160187
M2_a_ghost_p05,123,4,conv1,0.008130699396133423,0.006777067203074694,0.014336389489471912,0.025107014924287796
M2_a_ghost_p05,123,4,conv2,0.09797070920467377,0.09472624957561493,0.13255104422569275,0.1791195571422577
M2_a_ghost_p05,123,4,fc1,0.646256685256958,0.6526480317115784,0.7615257501602173,0.8208817839622498
M2_a_ghost_p05,123,4,fc2,0.24764186143875122,0.23936235904693604,0.38150450587272644,0.5027056932449341
M2_a_ghost_p05,123,5,conv1,0.01109269354492426,0.009267156943678856,0.019216815009713173,0.03225478157401085
M2_a_ghost_p05,123,5,conv2,0.11917687207460403,0.11645219475030899,0.14862743020057678,0.18582911789417267
M2_a_ghost_p05,123,5,fc1,0.703734278678894,0.7056339979171753,0.7606885433197021,0.8019657731056213
M2_a_ghost_p05,123,5,fc2,0.16599619388580322,0.16075128316879272,0.23569905757904053,0.3006975054740906
