comparison,metric,mean,sample_std,ci95_low,ci95_high,n,paired_accuracy_delta
M1_full_ghost - M0_original,final_accuracy,0.0,,,,1,"{""42"": 0.0}"
M1_full_ghost - M0_original,best_accuracy,0.0,,,,1,
M1_full_ghost - M0_original,accuracy_auc,0.0,,,,1,
M1_full_ghost - M0_original,algorithm_seconds,0.009275207296013915,,,,1,
M1_full_ghost - M0_original,private_seconds,0.005593043752014706,,,,1,
M1_full_ghost - M0_original,build_seconds,0.003682163543999195,,,,1,
M1_full_ghost - M0_original,curvature_seconds,-8.793592453e-05,,,,1,
M1_full_ghost - M0_original,peak_allocated_bytes,-690315264.0,,,,1,
M1_full_ghost - M0_original,peak_reserved_bytes,-1031798784.0,,,,1,
M1_full_ghost - M0_original,train_peak_bytes,-712661504.0,,,,1,
M1_full_ghost - M0_original,clip_fraction,0.0,,,,1,
M1_full_ghost - M0_original,norm_p99,0.0,,,,1,
M2_a_ghost_p05 - M1_full_ghost,final_accuracy,0.01171875,,,,1,"{""42"": 0.01171875}"
M2_a_ghost_p05 - M1_full_ghost,best_accuracy,0.01171875,,,,1,
M2_a_ghost_p05 - M1_full_ghost,accuracy_auc,0.0,,,,1,
M2_a_ghost_p05 - M1_full_ghost,algorithm_seconds,-0.007208866998553304,,,,1,
M2_a_ghost_p05 - M1_full_ghost,private_seconds,0.006941702216863591,,,,1,
M2_a_ghost_p05 - M1_full_ghost,build_seconds,-0.014150569215416992,,,,1,
M2_a_ghost_p05 - M1_full_ghost,curvature_seconds,-0.000990208029747,,,,1,
M2_a_ghost_p05 - M1_full_ghost,peak_allocated_bytes,6898176.0,,,,1,
M2_a_ghost_p05 - M1_full_ghost,peak_reserved_bytes,-14680064.0,,,,1,
M2_a_ghost_p05 - M1_full_ghost,train_peak_bytes,29244416.0,,,,1,
M2_a_ghost_p05 - M1_full_ghost,clip_fraction,0.0,,,,1,
M2_a_ghost_p05 - M1_full_ghost,norm_p99,-1129.6627731323242,,,,1,
M3_a_ghost_p025 - M2_a_ghost_p05,final_accuracy,0.02734375,,,,1,"{""42"": 0.02734375}"
M3_a_ghost_p025 - M2_a_ghost_p05,best_accuracy,0.02734375,,,,1,
M3_a_ghost_p025 - M2_a_ghost_p05,accuracy_auc,0.0,,,,1,
M3_a_ghost_p025 - M2_a_ghost_p05,algorithm_seconds,0.004088535904884283,,,,1,
M3_a_ghost_p025 - M2_a_ghost_p05,private_seconds,0.0030309865251184065,,,,1,
M3_a_ghost_p025 - M2_a_ghost_p05,build_seconds,0.0010575493797660013,,,,1,
M3_a_ghost_p025 - M2_a_ghost_p05,curvature_seconds,0.0,,,,1,
M3_a_ghost_p025 - M2_a_ghost_p05,peak_allocated_bytes,0.0,,,,1,
M3_a_ghost_p025 - M2_a_ghost_p05,peak_reserved_bytes,0.0,,,,1,
M3_a_ghost_p025 - M2_a_ghost_p05,train_peak_bytes,0.0,,,,1,
M3_a_ghost_p025 - M2_a_ghost_p05,clip_fraction,0.0,,,,1,
M3_a_ghost_p025 - M2_a_ghost_p05,norm_p99,-38.07023239135742,,,,1,
M3_a_ghost_p025 - M0_original,final_accuracy,0.0390625,,,,1,"{""42"": 0.0390625}"
M3_a_ghost_p025 - M0_original,best_accuracy,0.0390625,,,,1,
M3_a_ghost_p025 - M0_original,accuracy_auc,0.0,,,,1,
M3_a_ghost_p025 - M0_original,algorithm_seconds,0.006154876202344894,,,,1,
M3_a_ghost_p025 - M0_original,private_seconds,0.015565732493996703,,,,1,
M3_a_ghost_p025 - M0_original,build_seconds,-0.009410856291651795,,,,1,
M3_a_ghost_p025 - M0_original,curvature_seconds,-0.001078143954277,,,,1,
M3_a_ghost_p025 - M0_original,peak_allocated_bytes,-683417088.0,,,,1,
M3_a_ghost_p025 - M0_original,peak_reserved_bytes,-1046478848.0,,,,1,
M3_a_ghost_p025 - M0_original,train_peak_bytes,-683417088.0,,,,1,
M3_a_ghost_p025 - M0_original,clip_fraction,0.0,,,,1,
M3_a_ghost_p025 - M0_original,norm_p99,-1167.7330055236816,,,,1,
