p,seed,epoch,layer,mean,median,p90,p99
0.0,42,1,conv1,0.0021703161764889,0.0012629705015569,0.0043698474764823,0.0172671936452388
0.0,42,1,conv2,0.0194014851003885,0.0149003975093364,0.0317653119564056,0.0815687626600265
0.0,42,1,fc1,0.6824854612350464,0.6756571531295776,0.7473964691162109,0.8310257196426392
0.0,42,1,fc2,0.2959427833557129,0.3065441250801086,0.35800501704216,0.3967453837394714
0.0,42,2,conv1,0.0012082252651453,0.0010058514308184,0.0021718183998018,0.0041431495919823
0.0,42,2,conv2,0.0234281197190284,0.0228626392781734,0.0311677157878875,0.0387440361082553
0.0,42,2,fc1,0.6749868988990784,0.6771128177642822,0.7178875803947449,0.7499759793281555
0.0,42,2,fc2,0.300376832485199,0.2985103726387024,0.3488416075706482,0.3915013670921325
0.0,42,3,conv1,0.0011927062878385,0.0010322794551029,0.0020252084359526,0.0035047803539782
0.0,42,3,conv2,0.0309222415089607,0.0305660292506217,0.0389099642634391,0.0466705858707428
0.0,42,3,fc1,0.6518744826316833,0.6547222137451172,0.6976974010467529,0.7255052924156189
0.0,42,3,fc2,0.3160105347633362,0.3129667937755584,0.3686559498310089,0.4101978540420532
0.0,42,4,conv1,0.0013948602136224,0.0012481182347983,0.0023062536492943,0.0035851926077157
0.0,42,4,conv2,0.0381352938711643,0.0373415537178516,0.0489712245762348,0.0577468201518058
0.0,42,4,fc1,0.633322536945343,0.637229323387146,0.6793472170829773,0.7092325687408447
0.0,42,4,fc2,0.3271472752094269,0.3214774429798126,0.3843210935592651,0.4264332950115204
0.0,42,5,conv1,0.0016268522012978,0.0014915752690285,0.0025631166063249,0.0038545527495443
0.0,42,5,conv2,0.0453541986644268,0.0449825748801231,0.0574695356190204,0.0672045722603797
0.0,42,5,fc1,0.6179628968238831,0.619468092918396,0.6685444712638855,0.698886513710022
0.0,42,5,fc2,0.3350560069084167,0.3323919773101806,0.3918552696704864,0.4381677806377411
0.125,42,1,conv1,0.0015146509977057,0.0009673688327893,0.0030341588426381,0.0103997495025396
0.125,42,1,conv2,0.0136829381808638,0.0104308417066931,0.0238216519355773,0.0561444833874702
0.125,42,1,fc1,0.5724225640296936,0.5638045072555542,0.6467114090919495,0.8077268004417419
0.125,42,1,fc2,0.4123798608779907,0.4231205880641937,0.4893744587898254,0.5360567569732666
0.125,42,2,conv1,0.0055221104994416,0.0048954132944345,0.0091206459328532,0.0156060364097356
0.125,42,2,conv2,0.0579071715474128,0.0565171726047992,0.0755686536431312,0.0923935174942016
0.125,42,2,fc1,0.6011407375335693,0.6013389229774475,0.6526354551315308,0.6879745721817017
0.125,42,2,fc2,0.3354300260543823,0.3344960808753967,0.3903972804546356,0.4387557804584503
0.125,42,3,conv1,0.0057995920069515,0.0053740693256258,0.0089265899732708,0.0139544922858476
0.125,42,3,conv2,0.0785324871540069,0.0767033994197845,0.0993374735116958,0.121331125497818
0.125,42,3,fc1,0.5856223106384277,0.5865604877471924,0.6322590112686157,0.6636790037155151
0.125,42,3,fc2,0.3300455808639526,0.3296096324920654,0.3790201842784881,0.4213945269584656
0.125,42,4,conv1,0.0070720352232456,0.0066773425787687,0.0107412366196513,0.0150966104120016
0.125,42,4,conv2,0.0961713790893554,0.0937678962945938,0.1201599612832069,0.1425982117652893
0.125,42,4,fc1,0.5716696977615356,0.5730477571487427,0.6127673983573914,0.6416417956352234
0.125,42,4,fc2,0.3250868916511535,0.3222426176071167,0.3696862161159515,0.418340653181076
0.125,42,5,conv1,0.0083912182599306,0.0079272966831922,0.0125419422984123,0.0171793047338724
0.125,42,5,conv2,0.1088338196277618,0.1069032400846481,0.1348792165517807,0.156811386346817
0.125,42,5,fc1,0.5606933832168579,0.5628583431243896,0.6062173843383789,0.6346603631973267
0.125,42,5,fc2,0.3220815658569336,0.318774938583374,0.3734233379364013,0.4222397208213806
0.25,42,1,conv1,0.0008690809481777,0.0006091964314691,0.0016734245000407,0.005007320549339
0.25,42,1,conv2,0.0105322059243917,0.0084704682230949,0.0195952765643596,0.0338768437504768
0.25,42,1,fc1,0.5350499153137207,0.5296562314033508,0.6145568490028381,0.8050249814987183
0.25,42,1,fc2,0.4535488486289978,0.4593951404094696,0.5431133508682251,0.6035901308059692
0.25,42,2,conv1,0.010058619081974,0.0093044405803084,0.0158637519925832,0.0259463805705308
0.25,42,2,conv2,0.0768617466092109,0.0749652683734893,0.1003662794828414,0.1251094490289688
0.25,42,2,fc1,0.6313459873199463,0.6319044828414917,0.6914557218551636,0.7293168902397156
0.25,42,2,fc2,0.2817336916923523,0.2799821197986603,0.3507220149040222,0.4170183539390564
0.25,42,3,conv1,0.0122163034975528,0.0112729109823703,0.019564788788557,0.0279251746833324
0.25,42,3,conv2,0.1007180660963058,0.0985449403524398,0.1294056624174118,0.1616579890251159
0.25,42,3,fc1,0.6055504083633423,0.6140860319137573,0.6661577224731445,0.7008718848228455
0.25,42,3,fc2,0.2815152108669281,0.2697812914848327,0.3733974397182464,0.4658795595169067
0.25,42,4,conv1,0.0162965916097164,0.014625646173954,0.0264855362474918,0.0383778810501098
0.25,42,4,conv2,0.1237454041838646,0.121395543217659,0.1557975560426712,0.1845116913318634
0.25,42,4,fc1,0.5930995941162109,0.5973199009895325,0.6439450979232788,0.677716851234436
0.25,42,4,fc2,0.2668583989143371,0.2583040595054626,0.3402536511421203,0.4200323820114136
0.25,42,5,conv1,0.0188040118664503,0.0159810297191143,0.032294176518917,0.0477945543825626
0.25,42,5,conv2,0.1241394430398941,0.1230371296405792,0.1539606750011444,0.1809818744659423
0.25,42,5,fc1,0.5755510926246643,0.5796025991439819,0.6402601003646851,0.6787592172622681
0.25,42,5,fc2,0.2815054357051849,0.2745446562767029,0.3681404590606689,0.4626871049404144
0.375,42,1,conv1,0.000468091078801,0.0003516137949191,0.0008734950097277,0.0023467859718948
0.375,42,1,conv2,0.0097410613670945,0.0082742674276232,0.0169250927865505,0.0271624997258186
0.375,42,1,fc1,0.5343747138977051,0.5327795743942261,0.6208842396736145,0.7904332876205444
0.375,42,1,fc2,0.4554161131381988,0.4563310742378235,0.5547955632209778,0.628976047039032
0.375,42,2,conv1,0.0086680352687835,0.0080314837396144,0.0139081366360187,0.0218001399189233
0.375,42,2,conv2,0.0757922008633613,0.0732432305812835,0.1001190096139907,0.1294618546962738
0.375,42,2,fc1,0.7302222847938538,0.7322976589202881,0.7826417088508606,0.8139731884002686
0.375,42,2,fc2,0.1853174865245819,0.1824910044670105,0.2428718507289886,0.3241578638553619
0.375,42,3,conv1,0.0122363325208425,0.01074655726552,0.0211857017129659,0.0313928835093975
0.375,42,3,conv2,0.0948891937732696,0.0930857509374618,0.1246680915355682,0.1559262871742248
0.375,42,3,fc1,0.6867690682411194,0.7088479995727539,0.7610411047935486,0.7924178838729858
0.375,42,3,fc2,0.2061053812503814,0.1784756183624267,0.3418183624744415,0.4700379371643066
0.375,42,4,conv1,0.0168862286955118,0.013981120660901,0.029955681413412,0.0467051193118095
0.375,42,4,conv2,0.1152029931545257,0.1137379109859466,0.1472008228302002,0.1759117245674133
0.375,42,4,fc1,0.6675992012023926,0.6812590956687927,0.7327625155448914,0.7664546370506287
0.375,42,4,fc2,0.2003115862607956,0.1787754446268081,0.3115817010402679,0.4451760053634643
0.375,42,5,conv1,0.0189384836703538,0.0148733537644147,0.0353485085070133,0.0559344366192817
0.375,42,5,conv2,0.1106513366103172,0.1104805320501327,0.1403288394212722,0.1674078404903412
0.375,42,5,fc1,0.6431570649147034,0.6582657098770142,0.7266063094139099,0.7645202279090881
0.375,42,5,fc2,0.22725310921669,0.2050583660602569,0.3623442947864532,0.51148921251297
0.5,42,1,conv1,0.0002450473548378,0.00018849146727,0.0004535276384558,0.0011222906177863
0.5,42,1,conv2,0.009652174077928,0.008389270864427,0.0159370582550764,0.0283446479588747
0.5,42,1,fc1,0.5459144711494446,0.5473706722259521,0.6391673684120178,0.7760714888572693
0.5,42,1,fc2,0.4441882371902466,0.4417614340782165,0.5492350459098816,0.6365312337875366
0.5,42,2,conv1,0.0049528568051755,0.0045297527685761,0.0081939911469817,0.0125398421660065
0.5,42,2,conv2,0.0704684108495712,0.0676645934581756,0.0957415178418159,0.1272209584712982
0.5,42,2,fc1,0.8033469319343567,0.8056775331497192,0.8433154225349426,0.8667021989822388
0.5,42,2,fc2,0.1212317496538162,0.1182110384106636,0.1616981774568557,0.2254445850849151
0.5,42,3,conv1,0.0076845437288284,0.0066074505448341,0.0137166287750005,0.0208590775728225
0.5,42,3,conv2,0.0849176421761512,0.0827947705984115,0.1139074638485908,0.1439819037914276
0.5,42,3,fc1,0.7463461756706238,0.7734674215316772,0.8228368759155273,0.8505899906158447
0.5,42,3,fc2,0.1610516309738159,0.1279444098472595,0.3036510348320007,0.4297847151756286
0.5,42,4,conv1,0.0106335142627358,0.0085567981004714,0.0198374632745981,0.0311574917286634
0.5,42,4,conv2,0.0993509665131568,0.0976450890302658,0.131801888346672,0.1614186614751815
0.5,42,4,fc1,0.7286556959152222,0.7477284669876099,0.800229012966156,0.8308390974998474
0.5,42,4,fc2,0.1613598316907882,0.1346004605293274,0.2852594554424286,0.4545023739337921
0.5,42,5,conv1,0.0116438409313559,0.0089764781296253,0.0223242416977882,0.0355059616267681
0.5,42,5,conv2,0.0940840616822242,0.0930830389261245,0.1232974156737327,0.1509126126766204
0.5,42,5,fc1,0.7160553336143494,0.7335505485534668,0.7954818606376648,0.8287470936775208
0.5,42,5,fc2,0.178216814994812,0.1534647047519683,0.3061672449111938,0.473753273487091
0.625,42,1,conv1,0.0001227741740876,9.50125395320356e-05,0.0002293552824994,0.0005361360963433
0.625,42,1,conv2,0.0095632364973425,0.0080267470329999,0.0165028758347034,0.0305929686874151
0.625,42,1,fc1,0.5557160377502441,0.5591092109680176,0.6527831554412842,0.7672858238220215
0.625,42,1,fc2,0.4345979690551758,0.4299553036689758,0.5431191325187683,0.639646589756012
0.625,42,2,conv1,0.0021489497739821,0.0019571736920624,0.0035659321583807,0.0054995534010231
0.625,42,2,conv2,0.0598751381039619,0.0572323910892009,0.083534799516201,0.1128451004624366
0.625,42,2,fc1,0.8532305359840393,0.8557916879653931,0.8837767839431763,0.9006495475769043
0.625,42,2,fc2,0.0847454220056533,0.0818706899881362,0.1131950616836547,0.1586659699678421
0.625,42,3,conv1,0.0035699936561286,0.0030719568021595,0.0063531887717545,0.009984946809709
0.625,42,3,conv2,0.0713214352726936,0.0688575357198715,0.0978570580482482,0.1263628005981445
0.625,42,3,fc1,0.7900059223175049,0.8141700625419617,0.8627469539642334,0.8888958096504211
0.625,42,3,fc2,0.1351026445627212,0.1068933606147766,0.260918378829956,0.3750377595424652
0.625,42,4,conv1,0.0048755700699985,0.0039488994516432,0.0092074926942586,0.0144778816029429
0.625,42,4,conv2,0.0793312117457389,0.077077530324459,0.1097496226429939,0.1388704776763916
0.625,42,4,fc1,0.7689002752304077,0.7897149324417114,0.8452302813529968,0.8735681772232056
0.625,42,4,fc2,0.1468928456306457,0.1211347728967666,0.271948367357254,0.4494758546352386
0.625,42,5,conv1,0.0048609878867864,0.0038052040617913,0.0093366699293255,0.0149321677163243
0.625,42,5,conv2,0.0697310715913772,0.0676727890968322,0.095881663262844,0.1222497075796127
0.625,42,5,fc1,0.7881067991256714,0.8012014627456665,0.8536274433135986,0.8832988142967224
0.625,42,5,fc2,0.1373011320829391,0.1197193562984466,0.2332103699445724,0.3761591613292694
0.75,42,1,conv1,5.7238554290961474e-05,4.397460725158453e-05,0.0001117508727475,0.0002551333745941
0.75,42,1,conv2,0.0093025835230946,0.0075312033295631,0.0168547444045543,0.0320286266505718
0.75,42,1,fc1,0.5609647035598755,0.5651003122329712,0.6607168912887573,0.7638919353485107
0.75,42,1,fc2,0.4296754002571106,0.4239649772644043,0.5395724773406982,0.6430426836013794
0.75,42,2,conv1,0.0008589002536609,0.0007753316313028,0.0014160865684971,0.0022894719149917
0.75,42,2,conv2,0.0511428266763687,0.0487298667430877,0.0720721110701561,0.0989067628979682
0.75,42,2,fc1,0.8781253695487976,0.8810938596725464,0.9051290154457092,0.918786883354187
0.75,42,2,fc2,0.0698728561401367,0.0667070001363754,0.0953061953186988,0.138932317495346
0.75,42,3,conv1,0.0015195677988231,0.0013216470833867,0.0026585974264889,0.0042533543892204
0.75,42,3,conv2,0.0618682093918323,0.0591872036457061,0.0860683694481849,0.1122960299253463
0.75,42,3,fc1,0.803032636642456,0.824349582195282,0.8778520226478577,0.9048026204109192
0.75,42,3,fc2,0.1335795670747757,0.110532134771347,0.2515237927436828,0.3596326112747192
0.75,42,4,conv1,0.0019820521119982,0.001630650833249,0.0036919717676937,0.0058681555092334
0.75,42,4,conv2,0.0642629265785217,0.061867170035839,0.0915686786174774,0.1187740340828895
0.75,42,4,fc1,0.7751559019088745,0.7957884669303894,0.8622032403945923,0.8929684162139893
0.75,42,4,fc2,0.1585991978645324,0.1353964209556579,0.2923033535480499,0.456015408039093
0.75,42,5,conv1,0.0018767553847283,0.0015044251922518,0.0035419431515038,0.0057771876454353
0.75,42,5,conv2,0.0539064481854438,0.0515131205320358,0.076047234237194,0.1001755446195602
0.75,42,5,fc1,0.8096553683280945,0.8180968165397644,0.8728139400482178,0.9041816592216492
0.75,42,5,fc2,0.1345614045858383,0.1237761825323104,0.214528813958168,0.3166506290435791
1.0,42,1,conv1,9.802617569221184e-06,7.1547665356774814e-06,2.0311519620008767e-05,4.625511064659804e-05
1.0,42,1,conv2,0.0080201551318168,0.0063219750300049,0.0155071718618273,0.0316135063767433
1.0,42,1,fc1,0.5630686283111572,0.5672418475151062,0.6676512360572815,0.7627367377281189
1.0,42,1,fc2,0.4289014339447021,0.4232596158981323,0.54228675365448,0.6494151949882507
1.0,42,2,conv1,0.0001195692748297,0.0001042245421558,0.0001984036789508,0.0003618269402068
1.0,42,2,conv2,0.0370492152869701,0.0346989445388317,0.0532567128539085,0.0762165412306785
1.0,42,2,fc1,0.9021104574203492,0.9067890644073486,0.928694784641266,0.9404979348182678
1.0,42,2,fc2,0.0607207603752613,0.0556392967700958,0.0899888724088668,0.1413760781288147
1.0,42,3,conv1,0.0002503196010366,0.0002175819536205,0.0004259378765709,0.0007554583717137
1.0,42,3,conv2,0.0498102530837059,0.0469202548265457,0.071765050292015,0.0948666259646415
1.0,42,3,fc1,0.7844474911689758,0.8039485812187195,0.8738076090812683,0.9084941744804382
1.0,42,3,fc2,0.1654919385910034,0.1444223672151565,0.2955427169799804,0.4049584865570068
1.0,42,4,conv1,0.0003041874151676,0.0002550089848227,0.0005429816665127,0.0009613248403184
