p,seed,epoch,m_p,m_reference,scale_match,operator_gain_p10,operator_gain_p50,operator_gain_p90,operator_gain_p99,transformed_eig_p10,transformed_eig_p50,transformed_eig_p90,transformed_eig_p99,transformed_condition_proxy
0.0,42,1,6727.039401072485,97661.0323146266,3.81020786901448,3.81020786901448,3.81020786901448,3.81020786901448,3.81020786901448,0.0008469285362859,0.0147153817918447,0.1202512136375893,3.639898655574355,141.98507723559038
0.0,42,2,575195.1316790613,163650.0439063419,0.5333968692285482,0.5333968692285482,0.5333968692285482,0.5333968692285482,0.5333968692285482,0.0002672419828514,0.0022881084538757,0.0498494885832412,5.705948596661676,186.5331489138043
0.0,42,3,648035.2096399453,170171.3882959217,0.5124411173474128,0.5124411173474128,0.5124411173474128,0.5124411173474128,0.5124411173474128,0.0003103967536827,0.0026688226785822,0.0656129161661346,6.0561699182755175,211.3840283045834
0.0,42,4,712328.2547958419,172084.55411722,0.4915083042893658,0.4915083042893658,0.4915083042893658,0.4915083042893658,0.4915083042893658,0.0003289940530061,0.0028621580274759,0.078630687613767,6.880292348475804,239.0033707153508
0.0,42,5,741787.9078385213,173482.13495908992,0.4836013497820924,0.4836013497820924,0.4836013497820924,0.4836013497820924,0.4836013497820924,0.0003666346366464,0.0032065304616249,0.0882955403314743,7.239404125394306,240.8270564371329
0.125,42,1,5144.25141949177,97661.0323146266,4.357120413458657,7.820576043221883,9.466783260336896,10.259389963849898,10.332360780877496,0.0061403322846958,0.0908404053552326,0.506601996613195,6.7198696073807085,82.50400354975102
0.125,42,2,81210.5014435448,160913.99315907471,1.407637441536976,1.8126853563126517,2.5583722530930544,3.09382960798054,3.3309933709979425,0.008005362052658,0.0484270510167968,0.4312188571269426,12.030308790512116,53.86625293027991
0.125,42,3,97941.04920101057,169996.10235415972,1.3174589919249522,1.5988619920113254,2.3053100503761645,2.8353399146812754,3.041857489315479,0.009429793544484,0.0551528746659299,0.5407373142790205,13.262190141266618,57.34349450262587
0.125,42,4,108493.82532891294,173578.02082237066,1.2648669794270904,1.477507523514433,2.153401823476278,2.677053222300448,2.9571225073718472,0.0106332628906008,0.0610693677539986,0.6275855456128222,14.260684813297472,59.02097522366063
0.125,42,5,112418.04190292612,175496.6072052367,1.2494427293807355,1.425361979301646,2.0852898761900223,2.607730514956856,2.960795008987749,0.0120864012561722,0.0678839960347619,0.706207310296069,14.495215927595032,58.42990773911523
0.25,42,1,8836.037795034763,97661.0323146266,3.324542375032165,10.710516041297112,15.69414340618927,18.43214279340421,18.69527564827058,0.0198198254735037,0.249660265789942,0.9501841942665672,5.523257306044437,47.94109794442079
