,,,,cosA,cosA,relative_frobenius_A,relative_frobenius_A,cosG,cosG,relative_frobenius_G,relative_frobenius_G,fisher_cosine_proxy,fisher_cosine_proxy
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
method,source,epoch,layer,,,,,,,,,,
a_pink,pink,1,conv1,0.8615701771933321,0.0005539594012432641,0.7910372206107348,0.0003951206405572509,,,,,,
a_pink,pink,1,conv2,0.7812950320455853,0.03173563361024481,0.7273821038277553,0.0824742996536598,,,,,,
a_pink,pink,1,fc1,0.6889635915758493,0.054854222759808315,0.7966250446527795,0.057946059954841374,,,,,,
a_pink,pink,1,fc2,0.821335597610859,0.02895682644629718,0.6118909442404123,0.04452469644508001,,,,,,
a_pink,pink,2,conv1,0.8613281257074837,0.00030783429709271723,0.7912336860064509,0.00021095601664577416,,,,,,
a_pink,pink,2,conv2,0.8099386131054244,0.028710686272776655,0.817996806984756,0.026604708119744316,,,,,,
a_pink,pink,2,fc1,0.5972622328279762,0.014799275240179483,0.9396053258390826,0.010489743615161818,,,,,,
a_pink,pink,2,fc2,0.8197439571496034,0.02103314262718965,0.9605515979105169,0.008410699237867565,,,,,,
a_pink,pink,3,conv1,0.8612654481889418,0.0007797880920176841,0.7912712966633152,0.00055445919207195,,,,,,
a_pink,pink,3,conv2,0.8293617723813682,0.01974083213330339,0.8283163392393135,0.02086021793857722,,,,,,
a_pink,pink,3,fc1,0.5950964062301694,0.008203181931008005,0.9386591983354048,0.006333190149215015,,,,,,
a_pink,pink,3,fc2,0.8203279557597246,0.021302114149490698,0.9527781265135283,0.008552356687893815,,,,,,
a_pink,pink,4,conv1,0.8614730567894915,0.00021176307359050173,0.7911207623882208,0.00015201478636430742,,,,,,
a_pink,pink,4,conv2,0.8441534685022655,0.028650438597274022,0.8302388168137093,0.01978161375175091,,,,,,
a_pink,pink,4,fc1,0.5958619743174567,0.0037729717380762477,0.9369787703860976,0.005876174597073824,,,,,,
a_pink,pink,4,fc2,0.8128940477377898,0.020098277117716154,0.9472224971985336,0.0075645047655008985,,,,,,
a_pink,pink,5,conv1,0.8618262772162085,0.0002666580189968909,0.7908690918908091,0.00018708533417539783,,,,,,
a_pink,pink,5,conv2,0.8557929415186399,0.0160885402009568,0.825484095603444,0.01666538832855718,,,,,,
a_pink,pink,5,fc1,0.5922117565488852,0.010993648853716785,0.93485283506143,0.0053669370698374306,,,,,,
a_pink,pink,5,fc2,0.8157943035594019,0.02136666268437669,0.9436015099868094,0.008819233120132584,,,,,,
a_public_cifar10,cifar10,1,conv1,0.928500647349292,9.272981663009922e-05,1.5969896699751185,0.009876850209779974,,,,,,
a_public_cifar10,cifar10,1,conv2,0.8461511074977798,0.08393281045652785,1.143140961686103,0.09407344050539822,,,,,,
a_public_cifar10,cifar10,1,fc1,0.5682770858005348,0.029132362913018347,0.9127461013137156,0.08827036154075416,,,,,,
a_public_cifar10,cifar10,1,fc2,0.7696180425731974,0.09855374710512968,0.6869917048939808,0.09535190406526926,,,,,,
a_public_cifar10,cifar10,2,conv1,0.928483987304474,0.0003105049977333916,1.5942221047471608,0.01178537725189397,,,,,,
a_public_cifar10,cifar10,2,conv2,0.8626442456071707,0.06556234860208567,1.0125580679191348,0.15522898764515497,,,,,,
a_public_cifar10,cifar10,2,fc1,0.4613010122115222,0.040350434998864544,0.8871347886183814,0.020599426064059196,,,,,,
a_public_cifar10,cifar10,2,fc2,0.7342956035076442,0.04507054231416397,0.8901210525925439,0.012133291898382052,,,,,,
a_public_cifar10,cifar10,3,conv1,0.9284408870336582,0.00016458690451347832,1.582612693566528,0.01896193465331052,,,,,,
a_public_cifar10,cifar10,3,conv2,0.8593614971648805,0.04879238825707288,0.973204989852515,0.13218845972608262,,,,,,
