metric,comparison,mean,sample_std,n
final_accuracy,Penalty_A,-0.0017666666666666202,0.00011547005383797653,3
final_accuracy,Penalty_Full,0.0006666666666666302,0.002150193789716012,3
final_accuracy,Interaction,0.0024333333333332505,0.002236813209307715,3
final_accuracy,Fashion_A_minus_Full,0.011866666666666692,0.0012220201853215319,3
final_accuracy,CIFAR_A_minus_Full,0.014299999999999943,0.00304466746952767,3
final_accuracy,a_fashion_minus_pink,0.00013333333333335565,0.001069267662156373,3
final_accuracy,a_cifar10_minus_pink,0.0018999999999999757,0.0011357816691600958,3
final_accuracy,full_fashion_minus_pink,0.00039999999999999297,0.0026888659319497105,3
final_accuracy,full_cifar10_minus_pink,-0.0002666666666666373,0.0029569128044859773,3
best_accuracy,Penalty_A,-0.0017666666666666202,0.00011547005383797653,3
best_accuracy,Penalty_Full,0.0015333333333333126,0.003108590248542464,3
best_accuracy,Interaction,0.0032999999999999328,0.0032046840717924498,3
best_accuracy,Fashion_A_minus_Full,0.01100000000000001,0.0007211102550928262,3
best_accuracy,CIFAR_A_minus_Full,0.014299999999999943,0.00304466746952767,3
best_accuracy,a_fashion_minus_pink,0.00013333333333335565,0.001069267662156373,3
best_accuracy,a_cifar10_minus_pink,0.0018999999999999757,0.0011357816691600958,3
best_accuracy,full_fashion_minus_pink,0.0008000000000000229,0.002893095228297861,3
best_accuracy,full_cifar10_minus_pink,-0.0007333333333332895,0.0037313983080519445,3
accuracy_auc,Penalty_A,0.0031166666666666565,0.006492367313494178,3
accuracy_auc,Penalty_Full,0.012033333333333118,0.017680521296990652,3
accuracy_auc,Interaction,0.008916666666666462,0.01208101127113725,3
accuracy_auc,Fashion_A_minus_Full,0.04663333333333345,0.005806103110807621,3
accuracy_auc,CIFAR_A_minus_Full,0.05554999999999991,0.009672512600147393,3
accuracy_auc,a_fashion_minus_pink,0.018699999999999644,0.0039239648316466876,3
accuracy_auc,a_cifar10_minus_pink,0.015583333333332986,0.00736958841003534,3
accuracy_auc,full_fashion_minus_pink,0.014366666666666491,0.00994740334626699,3
accuracy_auc,full_cifar10_minus_pink,0.0023333333333333726,0.019384873828151048,3
