metric,comparison,mean,sample_std,n
final_accuracy,Penalty_A,-0.0078125,,1
final_accuracy,Penalty_Full,-0.013671875,,1
final_accuracy,Interaction,-0.005859375,,1
final_accuracy,Fashion_A_minus_Full,0.0390625,,1
final_accuracy,CIFAR_A_minus_Full,0.033203125,,1
final_accuracy,a_fashion_minus_pink,-0.00390625,,1
final_accuracy,a_cifar10_minus_pink,0.00390625,,1
final_accuracy,full_fashion_minus_pink,-0.021484375,,1
final_accuracy,full_cifar10_minus_pink,-0.0078125,,1
best_accuracy,Penalty_A,-0.0078125,,1
best_accuracy,Penalty_Full,-0.013671875,,1
best_accuracy,Interaction,-0.005859375,,1
best_accuracy,Fashion_A_minus_Full,0.0390625,,1
best_accuracy,CIFAR_A_minus_Full,0.033203125,,1
best_accuracy,a_fashion_minus_pink,-0.00390625,,1
best_accuracy,a_cifar10_minus_pink,0.00390625,,1
best_accuracy,full_fashion_minus_pink,-0.021484375,,1
best_accuracy,full_cifar10_minus_pink,-0.0078125,,1
accuracy_auc,Penalty_A,0.0,,1
accuracy_auc,Penalty_Full,0.0,,1
accuracy_auc,Interaction,0.0,,1
accuracy_auc,Fashion_A_minus_Full,0.0,,1
accuracy_auc,CIFAR_A_minus_Full,0.0,,1
accuracy_auc,a_fashion_minus_pink,0.0,,1
accuracy_auc,a_cifar10_minus_pink,0.0,,1
accuracy_auc,full_fashion_minus_pink,0.0,,1
accuracy_auc,full_cifar10_minus_pink,0.0,,1
