C,learning_rate,dp_kfc_accuracy,dp_kfc_a_accuracy,delta_accuracy
0.1,0.0001,0.7832,0.824,0.04079999999999995
0.1,0.0005,0.9349,0.943,0.008099999999999996
0.1,0.001,0.9474,0.9551,0.007699999999999929
0.1,0.002,0.9528,0.961,0.008199999999999985
0.1,0.005,0.9129,0.9347,0.02179999999999993
0.5,0.0001,0.7866,0.8366,0.050000000000000044
0.5,0.0005,0.9358,0.9444,0.008600000000000052
0.5,0.001,0.9485,0.9561,0.00759999999999994
0.5,0.002,0.9535,0.9613,0.007800000000000029
0.5,0.005,0.9088,0.9324,0.023599999999999954
1.0,0.0001,0.7893,0.8431,0.05379999999999996
1.0,0.0005,0.9365,0.9445,0.008000000000000007
1.0,0.001,0.9492,0.9563,0.007099999999999995
1.0,0.002,0.9534,0.9618,0.008399999999999963
1.0,0.005,0.9077,0.9316,0.023900000000000032
2.0,0.0001,0.7925,0.8478,0.055300000000000016
2.0,0.0005,0.9368,0.9455,0.008700000000000041
2.0,0.001,0.9495,0.9561,0.006599999999999939
2.0,0.002,0.9532,0.9613,0.008099999999999996
2.0,0.005,0.9052,0.9302,0.025000000000000022
5.0,0.0001,0.7983,0.8576,0.05930000000000002
5.0,0.0005,0.9373,0.9463,0.009000000000000008
5.0,0.001,0.9498,0.9566,0.006800000000000028
5.0,0.002,0.9531,0.961,0.007900000000000018
5.0,0.005,0.9027,0.9275,0.024800000000000044
