private_ref,private_replica
37542,29077
44491,18816
216,9845
43688,26051
41558,45785
32245,34400
27206,36381
10863,14581
2190,5883
31849,23006
25408,38731
33504,35209
27102,49116
21934,41762
40181,16008
47682,14460
45747,4848
17004,45774
43777,39709
7433,22766
45129,26081
37684,34308
14817,48015
38215,29803
30883,10238
19763,17300
14041,38115
46578,462
19871,35793
39339,21505
39292,2518
8205,48790
47307,13222
15337,22075
45371,40996
20844,46147
26455,40262
25747,49935
21000,43290
49417,45604
42186,5245
49238,27079
25283,41635
78,39145
6899,29790
15568,22528
11143,34803
35952,43118
37965,31809
33436,39599
30770,9449
9583,22310
35210,31269
4856,7455
8020,47439
44859,16145
4191,19189
19421,16280
34688,15324
29312,25808
20326,19690
17740,11783
4894,49671
20621,22010
2614,7187
46726,27644
19045,45915
5668,22944
6159,16529
47718,45896
7907,13544
5294,11742
42872,10208
24855,27754
20370,37357
21209,5516
32223,12398
43179,33758
44262,48003
38506,45873
40214,1697
16895,45242
12328,18920
45173,23244
46138,35048
13520,7173
30459,27339
20165,13543
11227,44438
43731,43413
42697,37737
17911,31215
6857,4163
33366,1740
32393,6522
2860,33176
19849,42966
43759,49784
3139,20606
6468,30495
29670,45065
7952,35166
25577,4261
16817,1903
27801,27709
28896,38165
19279,41329
5004,11066
19713,2684
33819,27708
49625,44934
2477,2197
25719,15545
37877,18135
13626,32092
23084,48319
1540,1023
35115,19827
38527,4392
48710,14624
22399,22072
1907,506
35869,23019
26348,28268
49760,41473
43079,40634
14963,20250
46994,8909
1499,33244
36242,25599
38017,39275
21469,34677
17152,27103
28914,45565
18402,4811
37833,3964
15968,33683
42387,20066
28214,43787
15104,7736
29119,40220
49456,11916
8253,26663
37588,34399
35879,41907
48267,20535
37108,474
39875,1816
42220,18091
22170,4670
33422,47685
8464,27918
31904,45609
16734,18882
2006,37343
3612,25326
17250,12849
12881,38903
31430,25442
8397,1886
1606,7061
31774,20015
46893,30847
39589,1230
23145,38604
40123,22769
40387,45625
39598,13625
11974,5814
43837,35424
16665,16032
29953,8323
1738,42283
22288,47612
1179,48811
15459,29098
10378,9222
35760,19139
43672,46017
17550,30961
9328,47357
34575,13245
4565,40518
860,24841
15992,35868
16671,22625
18509,34316
2586,15840
26334,1357
28189,38326
25952,7613
26971,34667
24984,22462
1489,49080
27288,13657
37258,34908
4141,3780
49867,21160
32546,32777
39397,40761
29526,15349
4016,3228
49472,43622
22771,35154
29915,27012
10097,17332
31097,48177
37370,1951
1837,17460
36007,11402
18024,45142
4410,39202
36452,27019
19445,44048
16168,17025
7925,48864
44235,6756
26908,43468
24163,20418
23101,35097
23018,18382
26865,43698
28391,430
22104,29109
40273,45181
2076,37491
10262,42543
28018,17082
10692,42113
29204,4389
41645,18083
2220,31139
36131,49792
37055,12183
30167,867
44140,45890
41733,21302
27532,46342
36428,802
42068,16805
5641,49551
3665,37720
1301,10767
11284,47929
12546,12336
27125,41705
6654,25072
1875,34556
4216,11236
30733,12880
32263,13258
46295,33404
43671,44484
23012,16720
35460,38831
35863,15008
13030,22779
45262,37962
21009,28652
40905,2175
37780,25239
5919,32917
20924,44490
16197,921
770,20361
32651,39493
1885,25725
40288,9511
40126,26338
14453,35989
32817,36065
5728,14597
26543,835
39539,43382
31260,22182
5705,43964
46148,16517
12939,45857
8426,26062
27979,39889
8867,5092
17506,39545
30515,48786
27369,34147
16121,24289
16357,16263
46796,34345
681,29759
18272,1611
25731,33443
2760,10989
23579,12306
38212,3318
4379,14781
10137,20821
18365,31098
16477,42673
359,10339
3284,24188
35907,22632
19556,38350
19393,8467
13090,21976
32864,17639
25713,4097
42211,39421
28313,18393
45555,27188
25615,45755
24534,31573
5617,36
45887,29862
27083,45972
49947,861
4156,10591
19640,6281
37086,1409
5403,10491
34778,24812
8108,36982
41255,5569
27688,17061
35625,20400
33284,4154
36481,685
44916,39480
36680,40061
32133,18669
2623,13324
27719,22464
32466,28955
40843,26973
49247,32701
31497,9505
28305,28548
1553,13111
12972,22569
39499,16972
38689,29141
39592,13223
41134,26661
23808,42489
34948,41066
11923,6477
10050,34335
37097,28825
20786,28423
24531,20089
17595,22411
28822,15123
27499,32283
24710,10281
44720,39245
49905,862
9811,22874
26609,49526
25609,37098
11800,39170
7778,30843
4812,23216
42427,6180
43862,7855
19558,29110
22794,13977
3950,49493
2687,36284
30191,45537
18311,25355
15346,3585
13305,35214
42465,11125
42990,9786
2689,21720
36657,23373
40410,4582
2384,4471
18523,13887
13936,27599
10701,49148
8984,36186
35747,11300
33187,34666
29979,3066
11724,31619
46580,602
10934,38561
5576,995
13289,8842
10052,3361
34963,30658
34552,20649
22255,25890
43871,25973
40375,25377
12758,14481
21699,48189
23555,42656
4495,29958
16501,5742
15847,2326
42919,3290
7961,18254
7752,7849
24384,14841
44811,29985
7247,39988
4945,43388
13429,11040
21547,12974
49505,47840
27796,37289
44603,24547
38025,31646
22982,39365
11364,14422
4630,9544
21980,12587
37011,33103
38083,24792
11596,43436
8801,7292
6218,48285
11933,28512
49714,35
1063,19435
28600,44433
6958,41487
1948,12597
45776,23398
5334,13821
16566,41609
2002,41384
11748,40953
47014,16374
29469,37657
35307,48597
46247,37678
19295,15516
20492,5003
40781,23340
1912,44279
34857,1633
36674,31051
22862,19616
34895,23204
14334,37472
41812,49409
31635,35413
33686,5755
23123,41702
44583,7325
36078,19479
21973,3732
2573,32543
12826,19361
40343,23099
24165,34630
12911,5038
29698,29223
45534,4514
36225,8641
17588,36687
43383,347
44340,12595
42603,28746
26958,45987
47921,5700
14668,21144
35484,17310
49443,25144
2780,29054
8366,44481
842,4422
2496,18547
35924,2522
24067,4289
28420,4152
30813,25722
27118,6842
29481,46281
41515,5998
2358,8852
22740,15836
14776,2322
20448,12129
45900,13515
24464,9925
15014,48918
40048,24732
41441,44829
8559,41459
510,31299
13236,11019
49252,4722
29652,10502
5178,1664
33842,44286
14923,13062
5190,34232
22177,32253
22882,20499
47741,45446
6996,20195
39337,13321
28110,36841
6210,43452
35675,4786
12477,40617
37995,41371
40492,8612
37444,42642
40715,418
3118,2315
5339,44548
25949,15144
12674,45306
25251,401
44893,38500
39209,22102
11122,12965
45615,37902
41856,40052
11163,37175
9296,32680
28621,8057
8699,15570
27870,15799
23573,42833
6929,27507
9101,44663
13396,16309
34672,14763
5384,45038
7115,39198
17484,36900
30947,17073
33975,15111
21329,12473
33160,36497
29525,16685
32522,39966
16663,33189
40772,13988
32183,30776
11000,20069
25243,16820
43214,24149
20936,1865
36133,24372
16405,37524
4088,31170
35842,12665
26820,12673
32150,35361
1556,5291
9368,6918
28011,18752
22225,49362
28043,11435
14914,45341
41339,8863
2691,5847
30734,8087
445,36935
20391,2300
21338,30596
21301,2712
33030,13849
33454,33970
5350,18216
1581,29847
36472,41150
20256,5069
18710,32663
7928,12345
34100,31261
28284,9331
8719,16418
37517,9420
4446,48094
35169,39417
8174,6663
48439,5476
12105,48502
46165,10090
35485,38388
3517,5503
4974,27970
15223,37970
30454,42178
1926,32146
1594,19965
22660,10495
16321,17482
38863,34738
3865,4951
18804,21479
22056,45907
2305,48585
12566,12769
17708,15233
13404,18236
13171,23513
19082,3827
3594,41904
30570,28229
29360,30899
24808,43710
27059,45617
17527,33690
17958,23638
44380,37755
21915,2411
8099,7146
32935,43664
30414,35289
648,47101
24622,21288
23286,3946
47408,8866
40119,34240
28098,19862
12756,20422
32268,22955
7156,6795
28972,48580
14716,30210
8321,38947
27958,29649
33839,3531
31050,1252
30193,30008
25468,696
44463,10284
2885,31469
26829,31343
48564,449
5859,15473
26869,45226
11614,28818
46189,515
19038,46587
36971,49235
35539,38189
24563,34662
45696,43
44138,11816
39558,30839
13951,17707
27764,3694
36110,38476
3020,20062
40238,30613
12596,21236
41519,47250
15669,44263
27654,38250
18380,21123
35603,25528
31569,6356
42443,43325
10369,23912
47724,46951
38896,17513
2232,9165
5072,10919
420,2482
5342,22057
5852,41334
35660,25523
5370,8211
4146,25146
29133,21190
14517,19698
33487,49887
42989,19255
23139,38564
18498,18277
21081,18975
12445,11280
36255,38109
19403,644
17354,21433
15011,41176
14492,8775
30795,16024
49849,23117
36099,25852
44614,29436
45667,9802
18989,22446
27611,10608
37876,38812
37815,2056
18451,13311
24852,10113
12222,45253
12287,2807
4919,7512
20399,35183
36885,17883
49270,33253
29080,46616
44582,19679
20148,20811
15093,6024
21101,39235
48243,10361
43947,27767
45981,19387
14872,4166
31520,38448
10632,41011
22477,26200
34533,40539
36539,41808
26462,10196
49061,30852
3347,26871
49106,42055
35457,14139
23207,42000
32979,2177
3123,17268
49160,37956
8720,44675
34092,29657
24181,44579
5324,31673
17567,38149
18518,42364
37552,16353
18492,36464
36502,35758
34553,8871
46535,31130
30043,23493
8090,9902
17948,48937
29949,48656
40618,33461
39891,18844
41183,1674
20118,2210
7010,19993
43904,47047
22760,38637
13069,14626
46496,41836
37356,8763
3395,42126
7745,47041
21449,45656
21263,5469
32837,16818
1684,21524
19461,32911
37148,27243
41704,39388
4299,48647
47371,46195
35512,17998
24660,5194
28839,34828
5800,18834
29782,1132
48630,43204
26364,49123
6387,42613
4583,46711
49768,17820
12351,41919
25876,782
28445,17015
30101,29780
29303,34132
39144,21761
20662,12748
2365,27557
25831,1367
4924,34818
16896,38667
36913,21439
48172,6463
8865,44141
40379,35658
26836,26361
41709,19007
28327,18327
48193,20295
47935,11131
39711,3275
44500,21424
30725,21159
46642,36878
37984,3921
663,7637
10562,19796
48052,34045
33285,35202
16040,26913
46188,26237
27202,26159
27368,23155
7673,34395
13232,11604
15527,4994
48671,21235
31333,48952
7616,9732
28522,45281
12667,15302
4316,21823
15126,42305
18197,42905
22325,28569
1368,29373
42140,47676
44387,36823
40270,2796
8946,2400
32088,44961
39697,48198
49667,10865
39223,42352
30499,28629
18014,38494
42182,11149
16666,36348
34798,38005
21628,43811
23449,37487
