alpha,epoch,oracle_accuracy,pink_accuracy,accuracy_difference,best_accuracy_difference
0.25,1,0.8018,0.8038,-0.0020000000000000018,-0.0020000000000000018
0.25,2,0.8853,0.8856,-0.000300000000000078,-0.000300000000000078
0.25,3,0.9063,0.9064,-9.999999999998899e-05,-9.999999999998899e-05
0.25,4,0.9181,0.9183,-0.00019999999999997797,-0.00019999999999997797
0.25,5,0.9277,0.9278,-9.999999999998899e-05,-9.999999999998899e-05
0.5,1,0.8008,0.8039,-0.0030999999999999917,-0.0030999999999999917
0.5,2,0.8843,0.8841,0.00019999999999997797,0.00019999999999997797
0.5,3,0.9058,0.9063,-0.0004999999999999449,-0.0004999999999999449
0.5,4,0.9172,0.9168,0.00040000000000006697,0.00040000000000006697
0.5,5,0.9279,0.9275,0.00039999999999995595,0.00039999999999995595
