method,family,p,attention_qkv,attention_out,patch_head,identity,mlp_fc1,mlp_fc2
dp_adamw,baseline,,1.0,1.0,1.0,1.0,1.0,1.0
trace_a_p01,trace_a,0.1,0.9215799254713002,1.1192590251535657,0.988703073140502,1.0146080841480192,0.8950624369368507,1.1323051634969403
trace_a_p02,trace_a,0.2,0.8112013806053902,1.2042909922159455,0.9578560607180833,1.0246981530716779,0.7667865458343857,1.2511892569208938
trace_a_p03,trace_a,0.3,0.6848916556894024,1.2519711456675735,0.9014282219178192,1.031703501003997,0.6313524570839321,1.3466712150867493
trace_a_p04,trace_a,0.4,0.5550413749616385,1.2632542343842281,0.819264377326431,1.0290032184336957,0.49877000979281483,1.4055483970187717
trace_a_p05,trace_a,0.5,0.4380912018112849,1.2542691097392356,0.7256969882927341,1.0228008377486741,0.3842775456539891,1.437832601353439
trace_ag_p01,trace_ag,0.1,0.9476855796200323,1.130674057300336,0.9820890862579094,1.033412973587422,0.9222594850012266,1.14200135595801
trace_ag_p02,trace_ag,0.2,0.8599550983541303,1.2289379979378179,0.9889954523274055,1.056259418770108,0.8157748250600442,1.2732296081217567
trace_ag_p03,trace_ag,0.3,0.7444410301273556,1.2809537057592597,0.9623741593258206,1.063103873810219,0.6889704627642053,1.3725036750233406
trace_ag_p04,trace_ag,0.4,0.6199759612113616,1.2936822945428654,0.9008620313027207,1.0583320232713083,0.5602662647459881,1.4361254253614244
trace_ag_p05,trace_ag,0.5,0.5020022305501615,1.2821547760616647,0.8187629638242929,1.0471412719061086,0.4431460453515073,1.4695783142946477
