method,seed,epoch,interval,alpha,alpha_over_tau2,wiener_gain_mean,wiener_gain_median,wiener_gain_p10,wiener_gain_p90,wiener_gain_min,wiener_gain_max,cos_raw,cos_filtered,NSR_raw,NSR_filtered,layer,tau2,interval_steps,fitted_batches,first_batch_identity
Wiener-Residual-AG,42,1,1,0.11966703641443746,0.3317601490522974,0.5238852780619846,0.5,0.5,0.5,0.5,0.9760801266426543,0.05781494901757436,0.039669067016187734,2112.708622038057,1665.0711610399353,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,1,0.17225120912329597,0.47754242542843334,0.5301880044195297,0.5,0.5,0.5,0.5,0.9702624993826516,-0.004276647630733056,-0.01508056975437139,1313.6347696930181,955.3235873780711,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,1,0.1870851012042192,0.5186673199294477,0.5145802461057672,0.5,0.5,0.5,0.5,0.9783281822585088,0.001749906677222791,0.0016814557004244763,626.7428274073562,336.28856076755494,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,1,0.1964689590926675,0.5446827556336914,0.5152231578338223,0.5,0.5,0.5,0.5,0.9720825816229058,0.01571005315415106,0.012447433190687343,129.3207762704131,97.6136388491949,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,2,0.16918506792557822,0.4690419770907029,0.5515940366661303,0.5,0.5,0.7557306266249979,0.5,0.9500297691263024,0.07786289370593005,0.07938612517166589,464.5080124563839,326.2968153250332,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,2,0.17066924520942642,0.47315665137079654,0.5284042334828373,0.5,0.5,0.5,0.5,0.9772550035527701,0.010782060581988499,0.019334863394473156,429.6139208631637,286.0684018142116,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,2,0.18787934582246849,0.5208692522311871,0.5144706381177696,0.5,0.5,0.5,0.5,0.9785308777380034,0.003595202466037054,0.00160421566878557,547.5683244140887,336.886873116665,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,2,0.18731899869731258,0.5193157680693589,0.513698568960705,0.5,0.5,0.5,0.5,0.979918372992187,0.007329047671816237,0.008491910142542036,55.672207470611816,30.699926887504017,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,3,0.1413722970969634,0.39193495353492097,0.5415292103333486,0.5,0.5,0.7085070222058003,0.5,0.9517407102292272,-0.07094950333427597,-0.08889866911742905,421.9061962055993,227.8371916517873,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,3,0.1764320278296495,0.48913316151365605,0.5309469366269629,0.5,0.5,0.5,0.5,0.9747219429882167,0.01874042707871169,0.016556503246687403,439.905914701055,265.1203389014017,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,3,0.187066194942626,0.518614904959109,0.5145375198723395,0.5,0.5,0.5,0.5,0.9789409181020253,0.0017465584387177937,0.0003174760176731695,729.2379008259219,431.9057633729197,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,3,0.19057916399310829,0.5283541211269417,0.5138058790861533,0.5,0.5,0.5,0.5,0.9799954436332254,0.018788831190003616,0.00402321826387446,58.04229669757527,34.56617621961713,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,4,0.09409571532102035,0.26086723190813466,0.5248462755300793,0.5,0.5,0.5144203638084609,0.5,0.9538718265030975,0.14553191957388542,0.044505315495775154,262.20270147028805,159.49390898978166,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,4,0.1732116903362155,0.4802052254768656,0.5306074536153508,0.5,0.5,0.5,0.5,0.9706165851376936,-0.0012260963336560328,0.01595502773836876,326.28585438438984,212.6195187211516,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,4,0.1870345139509677,0.5185270738334322,0.5143998000631419,0.5,0.5,0.5,0.5,0.9795189141112679,0.002563408244688704,0.0011759780262834765,602.2826033128257,391.34883442814447,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,4,0.19484246729772406,0.5401735342433163,0.514495613231029,0.5,0.5,0.5,0.5,0.9768548970250234,0.04995000146684952,0.06090144778745353,50.703702653462855,33.980948212410524,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,1,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2057057890681849,0.2057057890681849,288.87846208573905,288.87846208573905,conv1,0.3607034683227539,1,0,True
Wiener-Residual-AG,42,1,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.013148528985083716,-0.013148528985083716,332.09281835228956,332.09281835228956,conv2,0.3607034683227539,1,0,True
Wiener-Residual-AG,42,1,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0011796324745771,-0.0011796324745771,705.473114301494,705.473114301494,fc1,0.3607034683227539,1,0,True
Wiener-Residual-AG,42,1,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.049200161295128775,0.049200161295128775,76.56130407295241,76.56130407295241,fc2,0.3607034683227539,1,0,True
Wiener-Residual-AG,42,2,1,0.1235856338667931,0.3426239133254186,0.5323716625787928,0.5,0.5,0.5863011904018594,0.5,0.9601245553234989,-0.006854540339919635,0.04279279418782159,188695.0453282984,114693.5454021637,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,1,0.1773180099703658,0.4915894232868961,0.5310795180519514,0.5,0.5,0.5402143223435649,0.5,0.9748551085902408,-0.0008328223764178656,-0.004588285113859208,264871.83807576046,150894.51412801788,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,1,0.1858696265282354,0.5152975861100428,0.5142777682531743,0.5,0.5,0.5,0.5,0.979903855141558,0.0013647513003562791,0.0018825885652294504,1873.7763844699161,1021.277007267328,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,1,0.1766485911562393,0.48973355309734884,0.5124887883319885,0.5,0.5,0.5,0.5,0.9602604771372092,0.005009701888908582,0.022364009767842394,47.70027695310914,29.71421447084614,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,2,0.2041930490845588,0.5660967166022614,0.5458256416803532,0.5,0.5,0.7618210352403778,0.5,0.9659147966565071,-0.08281356389144623,-0.11048505239687462,231655.486439672,175184.14924815288,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,2,0.16767647037230032,0.46485960102347856,0.5280505457231164,0.5,0.5,0.5,0.5,0.976682432443971,-0.006358161738038512,-0.011152865688641423,213773.28537491453,162070.88477343382,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,2,0.18791123328243206,0.5209576557614105,0.5143573482911338,0.5,0.5,0.5,0.5,0.979956514789337,-0.0008837785994450198,-0.0011232974090030197,1957.6110735760408,1486.6137042898656,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,2,0.20533890628626517,0.5692734456950936,0.5134283464394597,0.5,0.5,0.5,0.5,0.9804606431361577,0.0027377780374764453,-0.00739082660093278,44.09010097773856,29.178726056206493,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,3,0.13400687495211333,0.3715153490905868,0.5311714667530876,0.5,0.5,0.584653636917814,0.5,0.9706928730793218,0.0919285956532267,0.03108742862330062,241461.0763518188,131189.0422580195,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,3,0.17180132589061686,0.47629518698414824,0.529766452523357,0.5,0.5,0.5,0.5,0.977833452486718,0.014006852697327352,0.015075088523206697,225064.63608882547,136964.04505850753,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,3,0.18889092309377375,0.5236737089668237,0.5145292558600675,0.5,0.5,0.5,0.5,0.9808594146952156,-0.0015060403504637352,-0.0003531386447368362,2300.8221229642527,1193.0997235067039,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,3,0.1813674727050789,0.5028159932823076,0.5144678762564167,0.5,0.5,0.5,0.5,0.9757929137764552,0.037095584757059895,0.010063336472672733,47.67018768526803,21.8453444889182,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,4,0.13853915776787343,0.3840804703433291,0.5424411184097284,0.5,0.5,0.7778036929438912,0.5,0.9610770776023718,0.14679222200498393,0.05608369802304422,171720.38894844067,64563.51538794802,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,4,0.18086027953911743,0.5014098710503261,0.5317860577978712,0.5,0.5,0.5641220738358285,0.5,0.971703538426253,-0.004693326414210982,-0.0010764976033793405,133322.79331168567,56529.249606931975,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,4,0.18613617023063442,0.5160365413067822,0.5143091528751437,0.5,0.5,0.5,0.5,0.9784475363224097,0.0002756912681140145,-0.0016553073384606729,1349.554870407013,568.2214988508922,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,4,0.19424974800836992,0.5385303027764544,0.5148414868810427,0.5,0.5,0.5,0.5,0.9759403779953115,0.014609381990308175,0.03243691534222441,42.07733010758536,26.111115218617915,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AG,42,2,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.017176649572520738,-0.017176649572520738,220329.8966051914,220329.8966051914,conv1,0.3607034683227539,1,0,True
Wiener-Residual-AG,42,2,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00039306936351015385,0.00039306936351015385,187318.6472932851,187318.6472932851,conv2,0.3607034683227539,1,0,True
Wiener-Residual-AG,42,2,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.002060691223131231,-0.002060691223131231,1786.3302069037823,1786.3302069037823,fc1,0.3607034683227539,1,0,True
Wiener-Residual-AG,42,2,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.022440124310478753,0.022440124310478753,55.525272193808014,55.525272193808014,fc2,0.3607034683227539,1,0,True
Wiener-Residual-AOnly,42,1,1,0.11966703641617989,0.33176014905712803,0.5238852780620621,0.5,0.5,0.5,0.5,0.9760801266424036,0.05781486301461351,0.039669001977714,2112.708250617598,1665.0708713093463,conv1,0.3607034683227539,2,1,True
