method,seed,epoch,privacy_valid,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor
DP-SGD,42,1,True,1.3798440913868766,0.748329566860199,0.7571,0.7861127240333559,0.8928619123931624,0.27370381683238554
DP-SGD,42,2,True,0.6619324388667049,0.5742716368973255,0.8534,0.8385078418579571,0.5540364583333334,0.5327689894753643
DP-SGD,42,3,True,0.596141044400696,0.4919667644023895,0.8855,0.8909029596825585,0.39686832264957267,0.6670411048281906
DP-SGD,42,4,True,0.5616639270486995,0.5090141087461263,0.8922,0.9432980775071597,0.33730635683760685,0.7152533118541424
DP-SGD,42,5,True,0.5451469832760656,0.5070150098331273,0.8958,0.995693195331761,0.3059561965811966,0.7409832301812295
Synthetic DP-KFC,42,1,True,1.371020583770214,0.8441204130172729,0.732,0.7861127240333559,0.943893563034188,0.06642479799900793
Synthetic DP-KFC,42,2,True,0.9278226466769846,0.7829505061209202,0.8751,0.8385078418579571,0.598808092948718,0.4470071224575369
Synthetic DP-KFC,42,3,True,0.880602005455229,0.7216094895079732,0.9038,0.8909029596825585,0.34132946047008544,0.6933055749306312
Synthetic DP-KFC,42,4,True,0.7985494856396292,0.6459026243535801,0.9198,0.9432980775071597,0.2646567841880342,0.762416882137967
Synthetic DP-KFC,42,5,True,0.7036517399371179,0.5787119736934546,0.9283,0.995693195331761,0.23636151175213677,0.7887942238241179
Oracle KFAC,42,1,False,1.2225889532994,0.76859334461689,0.7773,0.7861127240333559,0.9211404914529915,0.09605390270306276
Oracle KFAC,42,2,False,0.9073233838774201,0.7145193944796919,0.8882,0.8385078418579571,0.48270566239316237,0.5650201875429887
Oracle KFAC,42,3,False,0.7696955451089093,0.6139673603655305,0.911,0.8909029596825585,0.2919337606837607,0.7399288487230611
Oracle KFAC,42,4,False,0.6815310626203178,0.5468648419850971,0.9236,0.9432980775071597,0.23559361645299146,0.7905062490548843
Oracle KFAC,42,5,False,0.6047705394080561,0.5124648975273769,0.93,0.995693195331761,0.20991920405982906,0.8138608494375505
Full Fisher Whitening (Oracle),42,1,False,1.4240472854202628,0.9135784391880035,0.7215,0.7861127240333559,0.9392194177350427,0.08077136125180744
Full Fisher Whitening (Oracle),42,2,False,0.7977892858350378,0.686651326994598,0.8757,0.8385078418579571,0.5690604967948718,0.48216529126860136
Full Fisher Whitening (Oracle),42,3,False,0.7303322987933444,0.6193145153284073,0.9004,0.8909029596825585,0.35879073183760685,0.6787807882851006
Full Fisher Whitening (Oracle),42,4,False,0.6901730720558737,0.6092094110573409,0.9109,0.9432980775071597,0.29083199786324787,0.7389547738254579
Full Fisher Whitening (Oracle),42,5,False,0.6603235066191763,0.6457811826910649,0.916,0.995693195331761,0.25696113782051283,0.7693061033884684
DP-SGD,7,1,True,1.3135437399913104,0.6304448668956757,0.808,0.7861127240333559,0.8693743322649573,0.31447804091959936
DP-SGD,7,2,True,0.6346794259853852,0.5812468435227871,0.8573,0.8385078418579571,0.5211672008547008,0.5658206057090026
DP-SGD,7,3,True,0.6355588437400312,0.5358365466479212,0.8839,0.8909029596825585,0.39025774572649574,0.6721018361739624
DP-SGD,7,4,True,0.6220978065433665,0.5341454018272459,0.8855,0.9432980775071597,0.3482905982905983,0.7057595864320413
DP-SGD,7,5,True,0.6171573592811568,0.5352893930826336,0.8892,0.995693195331761,0.3256209935897436,0.7233084954767146
Synthetic DP-KFC,7,1,True,1.3334160890334692,0.7185364327669144,0.7869,0.7861127240333559,0.9370826655982906,0.0745483263692735
Synthetic DP-KFC,7,2,True,0.9312596634412423,0.7971289353303611,0.8847,0.8385078418579571,0.5320012019230769,0.5138467454120644
Synthetic DP-KFC,7,3,True,0.9148818349991089,0.7651590286411345,0.9017,0.8909029596825585,0.32401842948717946,0.7082806812901782
Synthetic DP-KFC,7,4,True,0.8306338848211826,0.6919738116502762,0.9082,0.9432980775071597,0.26986511752136755,0.7567597349994203
Synthetic DP-KFC,7,5,True,0.7392153896582432,0.5912142782956362,0.92,0.995693195331761,0.23918269230769232,0.7851761240735013
Oracle KFAC,7,1,False,1.1797200704996402,0.6879082446962596,0.8413,0.7861127240333559,0.8781550480769231,0.14604301719267607
Oracle KFAC,7,2,False,0.8570098381521355,0.7503528419792652,0.8956,0.8385078418579571,0.398838141025641,0.6430593670433403
Oracle KFAC,7,3,False,0.8196975520023932,0.6815427316129208,0.9101,0.8909029596825585,0.2826355502136752,0.7471745004001845
Oracle KFAC,7,4,False,0.7377566477427115,0.613024404746294,0.9137,0.9432980775071597,0.24512553418803418,0.7811731747072986
Oracle KFAC,7,5,False,0.6698451038354483,0.561838335432671,0.9214,0.995693195331761,0.2265625,0.7979719664296533
Full Fisher Whitening (Oracle),7,1,False,1.3613744558941605,0.7319928611278534,0.791,0.7861127240333559,0.9196881677350427,0.10378444813784912
Full Fisher Whitening (Oracle),7,2,False,0.8019356141742479,0.7532606339603662,0.8703,0.8385078418579571,0.5468916933760684,0.5050409853967845
Full Fisher Whitening (Oracle),7,3,False,0.8544644060043188,0.7203853392512538,0.8934,0.8909029596825585,0.36840611645299143,0.6693905408565815
Full Fisher Whitening (Oracle),7,4,False,0.8222610365885955,0.6985230923078373,0.9015,0.9432980775071597,0.3180088141025641,0.7136030507902814
Full Fisher Whitening (Oracle),7,5,False,0.7834923539915656,0.670721905037947,0.9077,0.995693195331761,0.2892795138888889,0.7398435521839012
