method,seed,epoch,layer,W_A,W_G,W_kron,log_kappa_kron
DP-SGD,42,1,conv1,1.7475773531176921,0.8400575242115673,2.4320648788619335,8.464151214719607
DP-SGD,42,1,conv2,8.000639215394138,0.40925513710887274,8.654407881951817,16.341202540732173
DP-SGD,42,1,fc1,32.18637007052104,3.444371103614584,115.4909757309258,inf
DP-SGD,42,1,fc2,9.40989459547202,0.49049120366817384,10.492343213028178,inf
DP-SGD,42,2,conv1,1.7475773531176921,0.35584056073483644,1.888744982216024,6.6051630453285775
DP-SGD,42,2,conv2,7.871046405535877,0.32370470528383266,8.279488145227642,14.026311493814712
DP-SGD,42,2,fc1,32.14936489688109,3.507852606673985,117.32067155594073,inf
DP-SGD,42,2,fc2,9.330050486130471,0.5065125289826404,10.470886505044593,inf
DP-SGD,42,3,conv1,1.7475773531176921,0.32873394069687556,1.8687239120607568,6.354731970409594
DP-SGD,42,3,conv2,7.828626144479813,0.31947831500448204,8.224648096385774,13.036237954566865
DP-SGD,42,3,fc1,31.858427306275544,3.48787278579501,115.6475941798595,inf
DP-SGD,42,3,fc2,9.170536414155297,0.5432157640829214,10.450356943222998,inf
DP-SGD,42,4,conv1,1.7475773531176921,0.41699451622997574,1.938803418772937,6.841934005956139
DP-SGD,42,4,conv2,7.705738337055223,0.30949025661379836,8.072279821826356,12.572417330480578
DP-SGD,42,4,fc1,31.597511434451967,3.4243297740383443,112.77159885435591,inf
DP-SGD,42,4,fc2,8.945409647380659,0.5050747493230442,10.034375252521468,inf
DP-SGD,42,5,conv1,1.7475773531176921,0.3690213754641262,1.8989710045727521,6.594144353148108
DP-SGD,42,5,conv2,7.564181013685026,0.3619606818610945,8.052586176263926,12.967243317638525
DP-SGD,42,5,fc1,31.447345356088505,3.2743844215733886,107.71546646175712,inf
DP-SGD,42,5,fc2,9.176115236865238,0.5136514355670426,10.328618444480995,inf
Full-Fisher Equil,42,1,conv1,,,,
Full-Fisher Equil,42,1,conv2,,,,
Full-Fisher Equil,42,1,fc1,,,,
