method,seed,epoch,precond_build_seconds,private_train_seconds,total_epoch_seconds,train_examples_per_second,end_to_end_examples_per_second,peak_allocated_mb_build,peak_reserved_mb_build,peak_allocated_mb_train,peak_reserved_mb_train,preconditioner_storage_mb
DP-SGD,42,1,0.008455348201096058,10.572851064614952,10.581306412816048,5674.9120585654555,5670.377329525982,24.17431640625,44.0,447.9755859375,470.0,0.0
DP-SGD,42,2,0.00798763707280159,10.57444678992033,10.582434426993132,5674.055692179813,5669.772906596527,24.966796875,470.0,447.9755859375,470.0,0.0
DP-SGD,42,3,0.0061005037277936935,10.536082169041038,10.542182672768831,5694.716407613308,5691.421014263397,24.966796875,470.0,447.9755859375,470.0,0.0
DP-SGD,42,4,0.006043213419616222,10.512061649002135,10.518104862421751,5707.7290833521265,5704.449687924603,24.966796875,470.0,447.9755859375,470.0,0.0
DP-SGD,42,5,0.006198861636221409,10.521917852573097,10.528116714209318,5702.38247824062,5699.024966072113,24.966796875,470.0,447.9755859375,470.0,0.0
Full-Fisher Equil,42,1,0.10867414996027946,10.392945006489754,10.501619156450033,5773.14706875998,5713.404676568218,460.62109375,666.0,448.7666015625,668.0,0.7893447875976562
Full-Fisher Equil,42,2,0.08289285656064749,10.344014171510935,10.426907028071582,5800.456090368628,5754.343050960988,461.41357421875,668.0,448.7666015625,668.0,0.7893447875976562
Full-Fisher Equil,42,3,0.08188556041568518,10.348119165748358,10.430004726164043,5798.15510808924,5752.6340184187875,461.41357421875,668.0,448.7666015625,668.0,0.7893447875976562
Full-Fisher Equil,42,4,0.08094469364732504,10.320088536478579,10.401033230125904,5813.903610217786,5768.65765856934,461.41357421875,668.0,448.7666015625,668.0,0.7893447875976562
Full-Fisher Equil,42,5,0.08208186086267233,10.365734969265759,10.447816830128431,5788.301570308237,5742.826561332665,461.41357421875,668.0,448.7666015625,668.0,0.7893447875976562
Equil + G-Corr,42,1,0.3831519428640604,14.054930562153459,14.438082505017519,4268.964527051136,4155.676488145072,487.3134765625,668.0,614.744140625,668.0,0.8571090698242188
Equil + G-Corr,42,2,0.3381014233455062,14.07477025128901,14.412871674634516,4262.947027110799,4162.945549955539,488.10595703125,668.0,614.744140625,668.0,0.8571090698242188
Equil + G-Corr,42,3,0.3327510040253401,14.047931347042322,14.380682351067662,4271.091487974314,4172.26377269542,488.10595703125,668.0,614.744140625,668.0,0.8571090698242188
Equil + G-Corr,42,4,0.32379966974258423,14.084893395192921,14.408693064935505,4259.883146895353,4164.1528297950845,488.10595703125,668.0,614.744140625,668.0,0.8571090698242188
Equil + G-Corr,42,5,0.3267931342124939,14.06513152923435,14.391924663446844,4265.868390586331,4169.004591331018,488.10595703125,668.0,614.744140625,668.0,0.8571090698242188
Equil + LR-r4,42,1,0.3026962010189891,13.959771947935224,14.262468148954213,4298.064482985666,4206.845503413058,468.52099609375,668.0,451.95703125,668.0,3.9467544555664062
Equil + LR-r4,42,2,0.2713314089924097,13.924291841685772,14.195623250678182,4309.016263245455,4226.654859774019,469.3134765625,668.0,451.95703125,668.0,3.9467544555664062
Equil + LR-r4,42,3,0.2720848638564348,13.967260268516839,14.239345132373273,4295.760145262282,4213.67692419994,469.3134765625,668.0,451.95703125,668.0,3.9467544555664062
Equil + LR-r4,42,4,0.2735538277775049,13.98555039614439,14.259104223921895,4290.142203952239,4207.837957965167,469.3134765625,668.0,451.95703125,668.0,3.9467544555664062
Equil + LR-r4,42,5,0.27225911896675825,13.873313345946372,14.14557246491313,4324.850055919146,4241.6098852715095,469.3134765625,668.0,451.95703125,668.0,3.9467544555664062
Equil + LR-r8,42,1,0.2776361107826233,13.75415988638997,14.031795997172594,4362.316600621406,4276.002873195277,478.02685546875,668.0,455.11376953125,668.0,7.104164123535156
Equil + LR-r8,42,2,0.2725598104298115,13.798283278942108,14.07084308937192,4348.367024147667,4264.136812478535,478.8193359375,668.0,455.11376953125,668.0,7.104164123535156
Equil + LR-r8,42,3,0.27135536540299654,13.741476189345121,14.012831554748118,4366.34311869076,4281.789855646239,478.8193359375,668.0,455.11376953125,668.0,7.104164123535156
Equil + LR-r8,42,4,0.2707397537305951,13.760556830093265,14.03129658382386,4360.288667155146,4276.155068176072,478.8193359375,668.0,455.11376953125,668.0,7.104164123535156
Equil + LR-r8,42,5,0.27252607978880405,13.782395455986261,14.054921535775065,4353.379656795403,4268.967268673639,478.8193359375,668.0,455.11376953125,668.0,7.104164123535156
KFAC-Full-GM,42,1,0.36635701917111874,15.530365268699825,15.896722287870944,3863.3991513982655,3774.3629732891204,485.7314453125,668.0,1015.8017578125,1460.0,9.602703094482422
KFAC-Full-GM,42,2,0.3592164348810911,15.43155842833221,15.7907748632133,3888.1361385924906,3799.6868753906397,486.52392578125,1460.0,1015.8017578125,1460.0,9.602703094482422
KFAC-Full-GM,42,3,0.36680652294307947,15.438270346261561,15.80507686920464,3886.4457386917857,3796.248540676625,486.52392578125,1460.0,1015.8017578125,1460.0,9.602703094482422
KFAC-Full-GM,42,4,0.36836826149374247,15.51660190988332,15.884970171377063,3866.826019541232,3777.1553457565365,486.52392578125,1460.0,1015.8017578125,1460.0,9.602703094482422
KFAC-Full-GM,42,5,0.3709348915144801,15.446215798147023,15.817150689661503,3884.446571515451,3793.350722720088,486.52392578125,1460.0,1015.8017578125,1460.0,9.602703094482422
