method,tau,preconditioner_batches,synthetic_samples,seed,epoch,test_accuracy,test_loss,train_loss,epsilon_spent,clip_fraction,mean_clip_factor,precond_build_seconds,private_train_seconds,total_epoch_seconds,preconditioner_storage_mb,gain_p10,gain_median,gain_p90,gain_max
Full-Fisher Equil,0.001,1,256,42,1,0.8208,0.7211301514625549,1.068075293223063,0.7863366347932901,0.8397166666666667,0.21454381725788116,0.6681845681741834,12.906017497181892,13.574202065356076,0.7893447875976562,0.2349541187286377,0.6269118785858154,10.0,10.0
Full-Fisher Equil,0.001,1,256,42,2,0.8597,0.6126311806678773,0.6390355539321899,0.8389556633778256,0.44731666666666664,0.6258441259384155,0.015479308553040028,12.74019727203995,12.75567658059299,0.7893447875976562,0.3365313410758972,0.7770766019821167,4.78157377243042,10.0
Full-Fisher Equil,0.001,1,256,42,3,0.8806,0.5326349073886871,0.5639772558848063,0.891574691962361,0.34805,0.7137486113230387,0.015326696448028088,12.655694673769176,12.671021370217204,0.7893447875976562,0.3879668712615967,0.8834718465805054,2.8990817070007324,10.0
Full-Fisher Equil,0.001,1,256,42,4,0.9,0.47910287083387376,0.5013316416104635,0.9441937205468965,0.3060833333333333,0.7452075981140137,0.014436178840696812,12.68132974486798,12.695765923708677,0.7893447875976562,0.39453980326652527,0.9018356800079346,2.7380869388580322,10.0
Full-Fisher Equil,0.001,1,256,42,5,0.899,0.5174594230532646,0.486549608039856,0.9968127491314319,0.30516666666666664,0.7421953104654948,0.014829093590378761,12.656486348249018,12.671315441839397,0.7893447875976562,0.4113399386405945,0.8514447212219238,2.322205066680908,10.0
Full-Fisher Equil,0.001,4,1024,42,1,0.8156,0.7242738122940063,1.067283355585734,0.7863366347932901,0.84295,0.2118403139313062,0.041366562247276306,12.634895756840706,12.676262319087982,0.7893447875976562,0.2357502430677414,0.652509331703186,10.0,10.0
Full-Fisher Equil,0.001,4,1024,42,2,0.8591,0.6084041493415833,0.6248732566833496,0.8389556633778256,0.4533333333333333,0.6214625839869181,0.03959534224122763,12.681651756167412,12.72124709840864,0.7893447875976562,0.34443557262420654,0.7921033501625061,4.993997097015381,10.0
Full-Fisher Equil,0.001,4,1024,42,3,0.8806,0.550553737783432,0.561149308904012,0.891574691962361,0.373,0.6912385870615642,0.04023148212581873,12.656604743562639,12.696836225688457,0.7893447875976562,0.39269018173217773,0.8896983861923218,2.9887659549713135,10.0
Full-Fisher Equil,0.001,4,1024,42,4,0.9003,0.4770722955226898,0.5111087167421977,0.9441937205468965,0.28436666666666666,0.7652607140858968,0.040468985214829445,12.6374316746369,12.67790065985173,0.7893447875976562,0.39802226424217224,0.9139629602432251,2.706467866897583,10.0
Full-Fisher Equil,0.001,4,1024,42,5,0.903,0.5096078208506107,0.48428597221374514,0.9968127491314319,0.2814,0.7632330879211425,0.0404409309849143,12.632510903291404,12.672951834276319,0.7893447875976562,0.4302109181880951,0.8772672414779663,2.3891713619232178,10.0
Full-Fisher Equil,0.001,10,2560,42,1,0.8188,0.7161543886184693,1.055273936144511,0.7863366347932901,0.83865,0.2173468856970469,0.09092228394001722,12.623784011229873,12.71470629516989,0.7893447875976562,0.23697707056999207,0.6559243202209473,10.0,10.0
Full-Fisher Equil,0.001,10,2560,42,2,0.858,0.612182269001007,0.6229153198242188,0.8389556633778256,0.4534166666666667,0.6209636028289794,0.08962014503777027,12.655667600221932,12.745287745259702,0.7893447875976562,0.35332390666007996,0.7904333472251892,5.148401260375977,10.0
Full-Fisher Equil,0.001,10,2560,42,3,0.8816,0.5420430369377136,0.5531587017059326,0.891574691962361,0.3592,0.7035546576182048,0.08955029398202896,12.657726117409766,12.747276411391795,0.7893447875976562,0.4021158218383789,0.8864970207214355,2.8839619159698486,10.0
Full-Fisher Equil,0.001,10,2560,42,4,0.9043,0.45805034642219544,0.4962820138613383,0.9441937205468965,0.28128333333333333,0.7672771620432536,0.09032125025987625,12.658054415136576,12.748375665396452,0.7893447875976562,0.400802344083786,0.909246563911438,2.6747355461120605,10.0
Full-Fisher Equil,0.001,10,2560,42,5,0.9125,0.4631070152580738,0.45294281285603843,0.9968127491314319,0.23508333333333334,0.8054801263173421,0.09157388750463724,12.645715441554785,12.737289329059422,0.7893447875976562,0.439339816570282,0.894066333770752,2.3638172149658203,10.0
