task,method,source,beta,seed,epoch,train_loss,test_loss,test_accuracy,best_accuracy,accuracy_auc,epsilon,noise_multiplier,accountant_steps,logical_steps,samples,realized_batch_size_sum,realized_batch_size_mean,realized_batch_size_min,realized_batch_size_max,sample_rate,expected_batch_size,optimizer_steps,noise_events,logical_batch_size,physical_batch_size,clip_fraction,mean_clip_factor,matched_norm_p50,matched_norm_p90,matched_norm_p99,matched_norm_max,raw_norm_p50,raw_norm_p90,raw_norm_p99,geometry_build_seconds,oracle_seconds,private_train_seconds,wall_time_seconds,run_wall_time_seconds,peak_cuda_allocated_bytes,bk_cache_bytes,temporary_per_sample_bytes,operator_state_bytes,factor_state_bytes,trace_S,d_total,tau,research_only,clip_cos,clip_rel_error,signal_cos,signal_rel_error,update_cos,update_rel_error,total_noise_rms,run_name,physical_gpu
mnist,dp_kfc,pink,,42,1,0.8596309094696611,0.5272345096588135,0.899,0.899,0.0,0.7861127240333559,1.068115234375,234,234,59766,59766,255.4102564102564,211,294,0.0042666666666666,256,234,234,256,256,0.789027214050293,0.2441671937704086,679.03125,12215.0048828125,36795.23046875,66830.3515625,4.478371620178223,50.3956413269043,136.06805419921875,0.5170135563239455,0.5521419560536742,19.934751044027507,22.79690489731729,22.84738511312753,176143360,60803456,51380224,10069172,10069164,206922.0,206922,1.0,True,0.4317102391682313,0.9998161116566218,0.2739006418673499,0.986222618836772,0.0130466587969697,1.3274913383029352,1.068041857864669,mnist_dp_kfc_pink_seed42,2
mnist,dp_kfc,pink,,42,2,0.5636504016559742,0.4913888417750597,0.93,0.93,0.9145,0.8385078418579571,1.068115234375,468,234,59605,59605,254.72222222222223,211,300,0.0042666666666666,256,468,468,256,256,0.2803959250450134,0.751235842704773,0.0031699938699603,1227.928466796875,5713.44140625,9406.833984375,0.0001526226260466,60.495731353759766,232.02821350097656,0.0635575866326689,0.5253559676930308,19.41722507402301,21.65707684122026,44.57045592740178,176062464,60822272,51380224,10069172,10069164,206922.0,206922,1.0,True,0.5957714367902583,0.9996825237795142,0.1120805694026325,0.9988079446116735,0.0022665591301718,1.1407406694217976,1.0680854378128677,mnist_dp_kfc_pink_seed42,2
mnist,dp_kfc,pink,,42,3,0.5099741129289482,0.4496743991494178,0.9406,0.9406,1.8498,0.8909029596825585,1.068115234375,702,234,59863,59863,255.82478632478632,215,304,0.0042666666666666,256,702,702,256,256,0.2030636668205261,0.8180916905403137,6.556805601576343e-05,302.835693359375,4933.66748046875,7586.849609375,3.4200902518932708e-06,19.103439331054688,280.0619201660156,0.0638632243499159,0.5476831495761871,18.978958278894424,21.25074679777026,65.88275740668178,175943680,60834816,51380224,10069172,10069164,206922.0,206922,1.0,True,0.6678429173112589,0.9996441812800054,0.1298597177017944,0.9989916450462326,0.0022635411371904,1.1129473296671994,1.068038653551272,mnist_dp_kfc_pink_seed42,2
mnist,dp_kfc,pink,,42,4,0.4421779471609318,0.3595437299847603,0.9516,0.9516,2.7959,0.9432980775071595,1.068115234375,936,234,59605,59605,254.72222222222223,214,289,0.0042666666666666,256,936,936,256,256,0.1766127049922943,0.8431000113487244,2.110276727762539e-05,87.20425415039062,4305.96875,6483.96533203125,1.2978829317944474e-06,6.13336992263794,293.9522705078125,0.0656761461868882,0.5327443974092603,19.111048369668424,21.365296282805502,87.30874780099839,175898624,60787776,51380224,10069172,10069164,206922.0,206922,1.0,True,0.6622586462971467,0.9996211853275732,0.1356812061961728,0.9990016209774084,0.0022611896464603,1.1198081054382194,1.068272831279176,mnist_dp_kfc_pink_seed42,2
mnist,dp_kfc,pink,,42,5,0.4050207303291918,0.3725636582933366,0.951,0.9516,3.7472,0.995693195331761,1.068115234375,1170,234,60142,60142,257.017094017094,214,299,0.0042666666666666,256,1170,1170,256,256,0.1676033437252044,0.8508704304695129,1.1503358109621333e-05,58.54049682617188,4617.2314453125,6710.47412109375,6.796100251449388e-07,4.030834674835205,309.3279724121094,0.0634334413334727,0.5426877131685615,18.945304999127984,21.18800108507276,108.55703708063812,175928320,60819136,51380224,10069172,10069164,206922.0,206922,1.0,True,0.6346709014016152,0.9996671435616566,0.1409919525514421,0.9990082233976282,0.0023097052926062,1.119070258871605,1.06802072248346,mnist_dp_kfc_pink_seed42,2
mnist,dp_kfc,public,,42,1,0.8658524811860249,0.4704144895434379,0.9051,0.9051,0.0,0.7861127240333559,1.068115234375,234,234,59766,59766,255.4102564102564,211,294,0.0042666666666666,256,234,234,256,256,0.8105277419090271,0.2214618921279907,583.4425659179688,7233.53515625,25309.427734375,40994.06640625,4.907538414001465,33.44152069091797,102.33708190917967,0.9297514408826828,0.51943064853549,20.328170642256737,23.59477468021214,23.647005475126207,176143360,60803456,51380224,10069172,10069164,206922.0,206922,1.0,True,0.3878521746236599,0.9996791222293554,0.2332966111252841,0.9872970126036515,0.0116957039438116,1.432408841279888,1.068041857864669,mnist_dp_kfc_public_seed42,3
mnist,dp_kfc,public,,42,2,0.4793729603705555,0.4264794402301311,0.9362,0.9362,0.92065,0.8385078418579571,1.068115234375,468,234,59605,59605,254.72222222222223,211,300,0.0042666666666666,256,468,468,256,256,0.2754634618759155,0.7569301128387451,0.0042775217443704,634.2232666015625,3700.343994140625,5842.6552734375,0.0002354431344429,34.89848327636719,164.37359619140625,0.5161563577130437,0.5207497281953692,19.0507025513798,21.76737495139241,45.47967849113047,176062464,60822272,51380224,10069172,10069164,206922.0,206922,1.0,True,0.5504377511149771,0.9995262053067084,0.0968168022765731,0.9986365735936678,0.0017944348748285,1.260253934233878,1.0680854378128677,mnist_dp_kfc_public_seed42,3
mnist,dp_kfc,public,,42,3,0.4569120470031735,0.4264123416662216,0.9404,0.9404,1.85895,0.8909029596825585,1.068115234375,702,234,59863,59863,255.82478632478632,215,304,0.0042666666666666,256,702,702,256,256,0.2030636668205261,0.8197265267372131,0.0001746759517118,186.78094482421875,3320.240966796875,4951.0966796875,1.2788734238711186e-05,12.58470630645752,200.72837829589844,0.5195086468011141,0.5090686436742544,19.245216010138392,21.912421400658783,67.45240540523082,175943680,60834816,51380224,10069172,10069164,206922.0,206922,1.0,True,0.6708431277238961,0.9994585293473678,0.1090907429163615,0.9988865701666436,0.0018317556269416,1.1986680104954783,1.068038653551272,mnist_dp_kfc_public_seed42,3
mnist,dp_kfc,public,,42,4,0.4104609828558896,0.3316876441299915,0.9503,0.9503,2.8043,0.9432980775071595,1.068115234375,936,234,59605,59605,254.72222222222223,214,289,0.0042666666666666,256,936,936,256,256,0.1821659207344055,0.8390506505966187,5.987099211779423e-05,85.50117492675781,3100.250244140625,4918.75390625,3.85369457944762e-06,6.165870666503906,211.1565093994141,0.5214859582483768,0.5245191100984812,18.92469652276486,21.626004113815725,89.14027537219226,175898624,60787776,51380224,10069172,10069164,206922.0,206922,1.0,True,0.6425883948540307,0.9994626347775618,0.115268979774042,0.9988595138918456,0.0019976582925133,1.2140895605230582,1.068272831279176,mnist_dp_kfc_public_seed42,3
mnist,dp_kfc,public,,42,5,0.3779732996661624,0.3671236701905727,0.9481,0.9503,3.7535,0.995693195331761,1.068115234375,1170,234,60142,60142,257.017094017094,214,299,0.0042666666666666,256,1170,1170,256,256,0.1710784435272216,0.8491644263267517,2.964528539450839e-05,52.99349594116211,3177.669677734375,4913.35546875,2.023106389970053e-06,3.965118646621704,225.1182556152344,0.5109833916649222,0.5338356932625175,19.21117577701807,21.925469540059566,111.12541143223643,175928320,60819136,51380224,10069172,10069164,206922.0,206922,1.0,True,0.6229324780742171,0.9995193620242182,0.1166335497651808,0.998926292980397,0.0018833075092918,1.2012063258297347,1.06802072248346,mnist_dp_kfc_public_seed42,3
