task,metric,comparison,method,source,beta,seed,delta
mnist,test_accuracy,KFM - SGD,dp_kfm,pink,0.25,42,0.009800000000000031
mnist,test_accuracy,KFM - KFC,dp_kfm,pink,0.25,42,-0.01639999999999997
mnist,test_accuracy,KFM-A - KFM,dp_kfm_a,pink,0.25,42,-0.0048000000000000265
mnist,best_accuracy,KFM - SGD,dp_kfm,pink,0.25,42,0.010500000000000065
mnist,best_accuracy,KFM - KFC,dp_kfm,pink,0.25,42,-0.01629999999999998
mnist,best_accuracy,KFM-A - KFM,dp_kfm_a,pink,0.25,42,-0.0026000000000000467
mnist,accuracy_auc,KFM - SGD,dp_kfm,pink,0.25,42,0.04105000000000025
mnist,accuracy_auc,KFM - KFC,dp_kfm,pink,0.25,42,-0.0591999999999997
mnist,accuracy_auc,KFM-A - KFM,dp_kfm_a,pink,0.25,42,-0.05930000000000035
mnist,test_accuracy,KFM - SGD,dp_kfm,pink,0.5,42,-0.011599999999999944
mnist,test_accuracy,KFM - KFC,dp_kfm,pink,0.5,42,-0.037799999999999945
mnist,test_accuracy,KFM-A - KFM,dp_kfm_a,pink,0.5,42,0.005499999999999949
mnist,best_accuracy,KFM - SGD,dp_kfm,pink,0.5,42,-0.011099999999999999
mnist,best_accuracy,KFM - KFC,dp_kfm,pink,0.5,42,-0.037900000000000045
mnist,best_accuracy,KFM-A - KFM,dp_kfm_a,pink,0.5,42,0.0050000000000000044
mnist,accuracy_auc,KFM - SGD,dp_kfm,pink,0.5,42,-0.09899999999999975
mnist,accuracy_auc,KFM - KFC,dp_kfm,pink,0.5,42,-0.1992499999999997
mnist,accuracy_auc,KFM-A - KFM,dp_kfm_a,pink,0.5,42,-0.18769999999999998
mnist,test_accuracy,KFM - SGD,dp_kfm,pink,0.75,42,-0.1562
mnist,test_accuracy,KFM - KFC,dp_kfm,pink,0.75,42,-0.1824
mnist,test_accuracy,KFM-A - KFM,dp_kfm_a,pink,0.75,42,0.043200000000000016
mnist,best_accuracy,KFM - SGD,dp_kfm,pink,0.75,42,-0.11080000000000001
mnist,best_accuracy,KFM - KFC,dp_kfm,pink,0.75,42,-0.13760000000000006
mnist,best_accuracy,KFM-A - KFM,dp_kfm_a,pink,0.75,42,-0.0021999999999999797
mnist,accuracy_auc,KFM - SGD,dp_kfm,pink,0.75,42,-0.8107500000000001
mnist,accuracy_auc,KFM - KFC,dp_kfm,pink,0.75,42,-0.911
mnist,accuracy_auc,KFM-A - KFM,dp_kfm_a,pink,0.75,42,-0.4596
mnist,test_accuracy,KFM - SGD,dp_kfm,pink,1.0,42,-0.6803999999999999
mnist,test_accuracy,KFM - KFC,dp_kfm,pink,1.0,42,-0.7065999999999999
mnist,test_accuracy,KFM-A - KFM,dp_kfm_a,pink,1.0,42,0.27509999999999996
mnist,best_accuracy,KFM - SGD,dp_kfm,pink,1.0,42,-0.38169999999999993
mnist,best_accuracy,KFM - KFC,dp_kfm,pink,1.0,42,-0.4085
mnist,best_accuracy,KFM-A - KFM,dp_kfm_a,pink,1.0,42,0.0706
mnist,accuracy_auc,KFM - SGD,dp_kfm,pink,1.0,42,-2.3623
mnist,accuracy_auc,KFM - KFC,dp_kfm,pink,1.0,42,-2.46255
mnist,accuracy_auc,KFM-A - KFM,dp_kfm_a,pink,1.0,42,0.10524999999999984
mnist,test_accuracy,KFM - SGD,dp_kfm,public,0.25,42,0.010000000000000009
mnist,test_accuracy,KFM - KFC,dp_kfm,public,0.25,42,-0.01330000000000009
mnist,test_accuracy,KFM-A - KFM,dp_kfm_a,public,0.25,42,-0.0037999999999999146
mnist,best_accuracy,KFM - SGD,dp_kfm,public,0.25,42,0.010000000000000009
mnist,best_accuracy,KFM - KFC,dp_kfm,public,0.25,42,-0.01550000000000007
mnist,best_accuracy,KFM-A - KFM,dp_kfm_a,public,0.25,42,0.0014000000000000679
mnist,accuracy_auc,KFM - SGD,dp_kfm,public,0.25,42,0.033600000000000296
mnist,accuracy_auc,KFM - KFC,dp_kfm,public,0.25,42,-0.07294999999999963
mnist,accuracy_auc,KFM-A - KFM,dp_kfm_a,public,0.25,42,-0.06149999999999922
mnist,test_accuracy,KFM - SGD,dp_kfm,public,0.5,42,-0.0252
mnist,test_accuracy,KFM - KFC,dp_kfm,public,0.5,42,-0.0485000000000001
