task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,group,trace_S,d_total,tau,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max
mnist,dp_kfm_a,pink,1.0,42,1,conv1,True,0.8618116263472527,0.7908662092298306,conv1,1504.7684217338592,206922,29.84181595934398,19996224,26.65655667793419,1.08498275284667,86.28341155390478,26.65655667793419,0.04390336635477699,1.1703125735882218
mnist,dp_kfm_a,pink,1.0,42,1,conv2,True,0.8169699345649275,0.6628943531273978,conv2,18503.714434326605,206922,29.84181595934398,19996224,6171.028340240056,1.4209354293522585,181.68659675654507,6171.028340240056,0.0019927776100180064,12.297487107216964
mnist,dp_kfm_a,pink,1.0,42,1,fc1,True,0.7100319801040785,0.7637139184871902,fc1,186376.72620433045,206922,29.84181595934398,19996224,38305.9951968204,0.9664338170148002,722.0031356556377,38305.9951968204,0.001,38.3059951968204
mnist,dp_kfm_a,pink,1.0,42,1,fc2,True,0.854649087127294,0.5625582573472794,fc2,536.7909396090956,206922,29.84181595934398,19996224,1547.9282810655716,0.7949194497143705,28.534432004449947,1547.9282810655716,0.001,1.5479282810655717
mnist,dp_kfm_a,pink,1.0,42,2,conv1,True,0.861674992974544,0.7909976554819105,conv1,13.330236473074743,206922,0.26442504075705636,19996224,26.605394469385256,1.0847982963582794,86.30731614210912,26.605394469385256,0.04394917128192075,1.1692850385580797
mnist,dp_kfm_a,pink,1.0,42,2,conv2,True,0.7947138211446962,0.7351682303955798,conv2,173.84495006640054,206922,0.26442504075705636,19996224,8697.618118680484,1.4539809568257929,161.03895407921885,8697.618118680484,0.0015936649957027796,13.861089541731351
mnist,dp_kfm_a,pink,1.0,42,2,fc1,True,0.7918366200133865,0.6625473549248789,fc1,119177.5312311986,206922,0.26442504075705636,19996224,3350493.709651417,1.7426848370163956,185.90255592984198,3350493.709651417,0.001,3350.4937096514172
mnist,dp_kfm_a,pink,1.0,42,2,fc2,True,0.9983793987080155,0.23716346123660456,fc2,87557.29358226195,206922,0.26442504075705636,19996224,33106663.108934436,2.3757335606048446,10.021896590978617,33106663.108934436,0.001,33106.66310893444
mnist,dp_kfm_a,pink,1.0,42,3,conv1,True,0.8611448779803761,0.7913566638596873,conv1,1533.0424639051698,206922,30.40637267162557,19996224,26.43308622538906,1.082418083674963,86.4849577643308,26.43308622538906,0.04414639619698689,1.1669254972151422
mnist,dp_kfm_a,pink,1.0,42,3,conv2,True,0.8542660782143916,0.8824183637099545,conv2,6012.32346006093,206922,30.40637267162557,19996224,3095.7914841748147,1.3602211546162142,231.7563446074463,3095.7914841748147,0.0011556239153201792,3.577570675956968
mnist,dp_kfm_a,pink,1.0,42,3,fc1,True,0.42814006400629084,0.925753526819709,fc1,119773.4247044913,206922,30.40637267162557,19996224,14778.977558091223,1.0389007624832487,2482.299283538986,14778.977558091223,0.001,14.778977558091222
mnist,dp_kfm_a,pink,1.0,42,3,fc2,True,0.5909969266638978,10.819558381434279,fc2,79603.2093715426,206922,30.40637267162557,19996224,259898.09389383133,1.6691419385069448,10.640411031322468,259898.09389383133,0.001,259.89809389383134
mnist,dp_kfm_a,pink,1.0,42,4,conv1,True,0.8614926739551457,0.7910968550528737,conv1,209.1570722770703,206922,4.146422236249918,19996224,26.52196311677133,1.0836968576971642,86.42934020459349,26.52196311677133,0.0440558284960565,1.1684470584512139
mnist,dp_kfm_a,pink,1.0,42,4,conv2,True,0.94850355602761,0.8623574359256062,conv2,2003.899804515114,206922,4.146422236249918,19996224,10120.02398711327,1.593243649870435,141.9081176149552,10120.02398711327,0.001,10.120023987113271
mnist,dp_kfm_a,pink,1.0,42,4,fc1,True,0.6356713540622477,0.9385838470327725,fc1,201018.38649776514,206922,4.146422236249918,19996224,231879.3937728461,1.4564483610705565,867.1530932049536,231879.3937728461,0.001,231.8793937728461
mnist,dp_kfm_a,pink,1.0,42,4,fc2,True,0.08389951515739602,1.024541311950096,fc2,3690.556625442689,206922,4.146422236249918,19996224,80532.1470532459,2.0432722699032433,17.737275109653062,80532.1470532459,0.001,80.53214705324591
mnist,dp_kfm_a,pink,1.0,42,5,conv1,True,0.8616006439084417,0.7910250283976866,conv1,1529.7066458846832,206922,30.33921767080383,19996224,26.598340780623076,1.0842266221303603,86.34218991835779,26.598340780623076,0.04395867931369705,1.1692279326518402
mnist,dp_kfm_a,pink,1.0,42,5,conv2,True,0.9316247381226188,0.8727779461943506,conv2,11985.570397815009,206922,30.33921767080383,19996224,7931.043912326629,1.5841952270850579,163.31722080120005,7931.043912326629,0.0010002640836415805,7.933138371284531
mnist,dp_kfm_a,pink,1.0,42,5,fc1,True,0.6060943414791036,0.9498692692483488,fc1,190034.17274575395,206922,30.33921767080383,19996224,26460.903156595472,1.0599421525764143,1584.5895035035467,26460.903156595472,0.001,26.46090315659547
mnist,dp_kfm_a,pink,1.0,42,5,fc2,True,0.11110479797114982,1.03757783742343,fc2,3372.5502105463324,206922,30.33921767080383,19996224,9214.012488791113,1.5131476143298803,27.086550036466083,9214.012488791113,0.001,9.214012488791113
