level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only
layer,conv1,conv1,3.290452142730572,0.0072721528969073145,1716.7453808933342,0.2792711316575571,0.006740204930253272,mnist,dp_kfm_a,pink,1.0,42,1,True
layer,conv2,conv2,2.129291731514229,0.08942362066057077,21110.335534485075,0.4719707035460412,0.0032483848294520014,mnist,dp_kfm_a,pink,1.0,42,1,True
layer,fc1,fc1,1.0301953630049416,0.9007100559840422,212631.64430885031,2.8246505410884555,0.0061256302223176035,mnist,dp_kfm_a,pink,1.0,42,1,True
layer,fc2,fc2,0.682326142541951,0.0025941704584775747,612.4087618860808,13.575763377091706,0.5485845369333333,mnist,dp_kfm_a,pink,1.0,42,1,True
group,conv1,conv1,3.290452142730572,0.0072721528969073145,1716.7453808933342,0.2792711316575571,0.006740204930253272,mnist,dp_kfm_a,pink,1.0,42,1,True
group,conv2,conv2,2.129291731514229,0.08942362066057077,21110.335534485075,0.4719707035460412,0.0032483848294520014,mnist,dp_kfm_a,pink,1.0,42,1,True
group,fc1,fc1,1.0301953630049416,0.9007100559840422,212631.64430885031,2.8246505410884555,0.0061256302223176035,mnist,dp_kfm_a,pink,1.0,42,1,True
group,fc2,fc2,0.682326142541951,0.0025941704584775747,612.4087618860808,13.575763377091706,0.5485845369333333,mnist,dp_kfm_a,pink,1.0,42,1,True
layer,conv1,conv1,0.3071874813578561,6.442155243557844e-05,15.20806893661301,3.641912177927698,0.9338829201904731,mnist,dp_kfm_a,pink,1.0,42,2,True
layer,conv2,conv2,0.20549673582537087,0.000840147253875378,198.3345149376813,3.9020109586354024,0.2770698920916815,mnist,dp_kfm_a,pink,1.0,42,2,True
layer,fc1,fc1,0.8132871708764386,0.5759538919554178,135966.08839763235,2.487624682142422,0.006746360669740824,mnist,dp_kfm_a,pink,1.0,42,2,True
layer,fc2,fc2,8.581577131425677,0.42314153923827297,99891.50300460953,4.054304485932559,0.012827797279266938,mnist,dp_kfm_a,pink,1.0,42,2,True
group,conv1,conv1,0.3071874813578561,6.442155243557844e-05,15.20806893661301,3.641912177927698,0.9338829201904731,mnist,dp_kfm_a,pink,1.0,42,2,True
group,conv2,conv2,0.20549673582537087,0.000840147253875378,198.3345149376813,3.9020109586354024,0.2770698920916815,mnist,dp_kfm_a,pink,1.0,42,2,True
group,fc1,fc1,0.8132871708764386,0.5759538919554178,135966.08839763235,2.487624682142422,0.006746360669740823,mnist,dp_kfm_a,pink,1.0,42,2,True
group,fc2,fc2,8.581577131425677,0.42314153923827297,99891.50300460953,4.054304485932559,0.01282779727926694,mnist,dp_kfm_a,pink,1.0,42,2,True
layer,conv1,conv1,3.3039255675241503,0.007408793960551164,1749.0023917367948,5.4490413825960875,0.1302941462347267,mnist,dp_kfm_a,pink,1.0,42,3,True
layer,conv2,conv2,1.2148964070671833,0.02905598950358541,6859.280391200138,12.74590610510088,0.15389745457623086,mnist,dp_kfm_a,pink,1.0,42,3,True
layer,fc1,fc1,0.8255568517992536,0.5788336895278972,136645.92547621674,8.754851188613387,0.02368374766631722,mnist,dp_kfm_a,pink,1.0,42,3,True
layer,fc2,fc2,8.331339190447379,0.3847015270079664,90816.92572696127,2.6007779639920847,0.00863018049080004,mnist,dp_kfm_a,pink,1.0,42,3,True
group,conv1,conv1,3.3039255675241503,0.007408793960551164,1749.0023917367948,5.4490413825960875,0.1302941462347267,mnist,dp_kfm_a,pink,1.0,42,3,True
group,conv2,conv2,1.2148964070671833,0.02905598950358541,6859.280391200138,12.74590610510088,0.15389745457623086,mnist,dp_kfm_a,pink,1.0,42,3,True
group,fc1,fc1,0.8255568517992536,0.5788336895278972,136645.92547621674,8.754851188613387,0.02368374766631722,mnist,dp_kfm_a,pink,1.0,42,3,True
group,fc2,fc2,8.331339190447379,0.3847015270079664,90816.92572696127,2.6007779639920847,0.00863018049080004,mnist,dp_kfm_a,pink,1.0,42,3,True
layer,conv1,conv1,1.2169704198066136,0.0010108015207521157,238.62106123884388,3.1075522709844923,0.20117038916286525,mnist,dp_kfm_a,pink,1.0,42,4,True
layer,conv2,conv2,0.6990948118621633,0.00968432454990342,2286.189478385266,8.41973974686364,0.1760931883471793,mnist,dp_kfm_a,pink,1.0,42,4,True
layer,fc1,fc1,1.0643488446936673,0.9714693773391126,229335.8775412309,6.749348573426096,0.014093727080876169,mnist,dp_kfm_a,pink,1.0,42,4,True
layer,fc2,fc2,1.7532151543790961,0.017835496590225677,4210.445905260068,2.2086328057819684,0.03403764250695066,mnist,dp_kfm_a,pink,1.0,42,4,True
group,conv1,conv1,1.2169704198066136,0.0010108015207521157,238.62106123884388,3.1075522709844923,0.20117038916286523,mnist,dp_kfm_a,pink,1.0,42,4,True
group,conv2,conv2,0.6990948118621633,0.00968432454990342,2286.189478385266,8.41973974686364,0.1760931883471793,mnist,dp_kfm_a,pink,1.0,42,4,True
group,fc1,fc1,1.0643488446936673,0.9714693773391126,229335.8775412309,6.749348573426096,0.014093727080876169,mnist,dp_kfm_a,pink,1.0,42,4,True
group,fc2,fc2,1.7532151543790961,0.017835496590225677,4210.445905260068,2.2086328057819684,0.034037642506950655,mnist,dp_kfm_a,pink,1.0,42,4,True
layer,conv1,conv1,3.304362538454847,0.007392672823018711,1745.1966565183784,7.8462196857826,0.1878184610096929,mnist,dp_kfm_a,pink,1.0,42,5,True
layer,conv2,conv2,1.713404363488985,0.0579231323774904,13673.979544382039,23.019257585434143,0.19685382133943052,mnist,dp_kfm_a,pink,1.0,42,5,True
layer,fc1,fc1,1.0428544840601668,0.918385540183038,216804.3159074611,11.427134806567539,0.02454162914578549,mnist,dp_kfm_a,pink,1.0,42,5,True
layer,fc2,fc2,1.6778655605325947,0.016298654616456083,3847.6418777548247,6.8902260737217,0.11108007139338219,mnist,dp_kfm_a,pink,1.0,42,5,True
group,conv1,conv1,3.304362538454847,0.007392672823018711,1745.1966565183784,7.8462196857826,0.1878184610096929,mnist,dp_kfm_a,pink,1.0,42,5,True
group,conv2,conv2,1.713404363488985,0.0579231323774904,13673.979544382039,23.019257585434143,0.19685382133943052,mnist,dp_kfm_a,pink,1.0,42,5,True
group,fc1,fc1,1.0428544840601668,0.918385540183038,216804.3159074611,11.427134806567539,0.024541629145785497,mnist,dp_kfm_a,pink,1.0,42,5,True
group,fc2,fc2,1.6778655605325947,0.016298654616456083,3847.6418777548247,6.8902260737217,0.11108007139338219,mnist,dp_kfm_a,pink,1.0,42,5,True
