task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,group,trace_S,d_total,tau,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max
mnist,dp_kfm_a,public,0.25,42,1,conv1,True,0.9660282295184386,0.9784331189526183,conv1,551.0084396381363,206922,4.258843348551917,19996224,4.460045738261005,0.41484012777088686,144.42572606057854,395.691981769996,0.029905743251455643,11.833462813473167
mnist,dp_kfm_a,public,0.25,42,1,conv2,True,0.9336224782831184,0.8054845076380771,conv2,7458.3851425316625,206922,4.258843348551917,19996224,12.916530576688874,0.43963337737519087,3939.4671465203655,27834.50520087131,0.0015100995273601104,42.0328731481383
mnist,dp_kfm_a,public,0.25,42,1,fc1,True,0.8361055847818185,0.5683062079376703,fc1,197696.93992429817,206922,4.258843348551917,19996224,17.354375380463857,0.2735966705209506,186693.49616392568,90705.98599344745,0.001,90.70598599344746
mnist,dp_kfm_a,public,0.25,42,1,fc2,True,0.9332410043666731,0.3713046355254961,fc2,1215.6664935320746,206922,4.258843348551917,19996224,7.062847876359058,0.25586295260534336,1204.5248994341525,2488.395510222416,0.001,2.488395510222416
mnist,dp_kfm_a,public,0.25,42,2,conv1,True,0.9661403163949288,0.9965325945176372,conv1,300.9812729631329,206922,2.3184763861413162,19996224,4.455366503290948,0.4140158109347251,144.49054822397602,394.03404002678036,0.03033189995576493,11.951801081258177
mnist,dp_kfm_a,public,0.25,42,2,conv2,True,0.9828118884872397,1.0596909088085102,conv2,4701.511878930995,206922,2.3184763861413162,19996224,22.687015271656445,0.5176064812754503,3556.6148328069144,264916.77139774023,0.0012578353229925998,333.2216727172333
mnist,dp_kfm_a,public,0.25,42,2,fc1,True,0.8400346834804343,0.8306129154935517,fc1,198817.66163686273,206922,2.3184763861413162,19996224,71.0687397059164,0.5443244295917581,147480.45003878052,25510234.79660528,0.001000000000000001,25510.23479660531
mnist,dp_kfm_a,public,0.25,42,2,fc2,True,0.9276411283688205,0.8210914034884117,fc2,3101.845211243096,206922,2.3184763861413162,19996224,61.201106058941534,0.6870249656753906,926.5562919015904,14029334.948520608,0.001,14029.334948520609
mnist,dp_kfm_a,public,0.25,42,3,conv1,True,0.9665223723415756,0.9633589764940979,conv1,283.22220970745377,206922,2.1842984823627094,19996224,4.411013853611983,0.4118315029366091,144.63615190469486,378.5765307387435,0.031014027277385652,11.741182850909418
mnist,dp_kfm_a,public,0.25,42,3,conv2,True,0.982337762398977,1.0117167711789319,conv2,4564.5159008150395,206922,2.1842984823627094,19996224,21.45764895749038,0.5172017292087198,3589.267566612313,211996.42838169853,0.0015728957484455702,333.4482808872194
mnist,dp_kfm_a,public,0.25,42,3,fc1,True,0.8105332941445865,0.7453382965622962,fc1,198544.04895829043,206922,2.1842984823627094,19996224,63.5363003508164,0.5488885799945413,152109.88538124302,16296250.465553835,0.001,16296.250465553836
mnist,dp_kfm_a,public,0.25,42,3,fc2,True,0.8987741260800015,0.7463293884744703,fc2,3530.2129311871063,206922,2.1842984823627094,19996224,69.85225666019156,0.7613422483573774,923.6687871138014,23807936.981248777,0.001,23807.93698124878
mnist,dp_kfm_a,public,0.25,42,4,conv1,True,0.9659774451333032,0.9922542403752851,conv1,281.28357085378434,206922,2.165606779988704,19996224,4.442687460786428,0.41327972743932606,144.5385558337632,389.56779598597933,0.030600689356173133,11.921043108135985
mnist,dp_kfm_a,public,0.25,42,4,conv2,True,0.9818806029591145,1.032662013443322,conv2,4575.932871185086,206922,2.165606779988704,19996224,21.640209146272273,0.526700692389914,3586.117619793126,219303.62736611816,0.0015189758654434683,333.1169171733412
mnist,dp_kfm_a,public,0.25,42,4,fc1,True,0.7497495503753516,0.7349274983931744,fc1,198481.6348913603,206922,2.165606779988704,19996224,52.79603286317523,0.5459355244996914,156684.35146336938,7769716.31117625,0.001,7769.71631117625
mnist,dp_kfm_a,public,0.25,42,4,fc2,True,0.8483670451403174,0.6831078912368052,fc2,3583.148666600844,206922,2.165606779988704,19996224,61.66509645710505,0.7297960725254694,973.9796558098144,14459645.997768603,0.001,14459.645997768603
mnist,dp_kfm_a,public,0.25,42,5,conv1,True,0.9663790212973998,0.9715354833250512,conv1,276.7649981669647,206922,2.13458005714685,19996224,4.434552184042449,0.4131570877003922,144.56108075680137,386.72217842496497,0.03049287652583704,11.792271636515178
mnist,dp_kfm_a,public,0.25,42,5,conv2,True,0.9806860504632502,0.9898445175716519,conv2,4576.943935756542,206922,2.13458005714685,19996224,21.321472778467847,0.5223503605203199,3615.6726257821083,206665.8891789809,0.0015530920550583319,320.9711505354409
mnist,dp_kfm_a,public,0.25,42,5,fc1,True,0.6871547932346712,0.7401797021889925,fc1,198378.9638270203,206922,2.13458005714685,19996224,45.80271455567983,0.5434219396989634,159202.07184390645,4401136.8325639265,0.001,4401.136832563927
mnist,dp_kfm_a,public,0.25,42,5,fc2,True,0.8409837575207335,0.660047272559179,fc2,3689.3272390561788,206922,2.13458005714685,19996224,63.27871528220211,0.7442188079673802,978.2582435607676,16033584.066930797,0.001,16033.584066930798
