level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only
layer,conv1,conv1,1.7000361145802931,0.0019433347290368462,458.76523319832637,2.878069125081364,0.1343711306430758,mnist,dp_kfm,pink,0.25,42,1,True
layer,conv2,conv2,1.2309747515853053,0.02978343289528158,7031.008777588546,6.678161533422867,0.079643089662027,mnist,dp_kfm,pink,0.25,42,1,True
layer,fc1,fc1,1.0586870326871352,0.9535821252108555,225113.21364741592,33.951973301969666,0.07155904347992859,mnist,dp_kfm,pink,0.25,42,1,True
layer,fc2,fc2,1.638995806621315,0.014691107164830386,3468.1463279130685,22.09728809979421,0.37522370852990805,mnist,dp_kfm,pink,0.25,42,1,True
group,conv1,conv1,1.7000361145802931,0.0019433347290368462,458.76523319832637,2.878069125081364,0.1343711306430758,mnist,dp_kfm,pink,0.25,42,1,True
group,conv2,conv2,1.2309747515853053,0.02978343289528158,7031.008777588546,6.678161533422867,0.079643089662027,mnist,dp_kfm,pink,0.25,42,1,True
group,fc1,fc1,1.0586870326871352,0.9535821252108555,225113.21364741592,33.951973301969666,0.07155904347992856,mnist,dp_kfm,pink,0.25,42,1,True
group,fc2,fc2,1.638995806621315,0.014691107164830386,3468.1463279130685,22.09728809979421,0.37522370852990805,mnist,dp_kfm,pink,0.25,42,1,True
layer,conv1,conv1,1.2217311174898509,0.0010206958627137215,240.9568297657627,1.601431746531599,0.10316652762907882,mnist,dp_kfm,pink,0.25,42,2,True
layer,conv2,conv2,0.9596233725403722,0.018110280893960704,4275.3145474443745,9.009184140000272,0.1377848371729938,mnist,dp_kfm,pink,0.25,42,2,True
layer,fc1,fc1,1.0577681883165293,0.9521353329429318,224771.6677560863,35.07611823992341,0.07398449970995127,mnist,dp_kfm,pink,0.25,42,2,True
layer,fc2,fc2,2.2936646175901965,0.028733690300391596,6783.19485281922,23.963953290854693,0.2909653798410317,mnist,dp_kfm,pink,0.25,42,2,True
group,conv1,conv1,1.2217311174898509,0.0010206958627137215,240.9568297657627,1.601431746531599,0.10316652762907882,mnist,dp_kfm,pink,0.25,42,2,True
group,conv2,conv2,0.9596233725403722,0.018110280893960704,4275.3145474443745,9.009184140000272,0.13778483717299375,mnist,dp_kfm,pink,0.25,42,2,True
group,fc1,fc1,1.0577681883165293,0.9521353329429318,224771.6677560863,35.07611823992341,0.07398449970995127,mnist,dp_kfm,pink,0.25,42,2,True
