task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,d_total,tau,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max
mnist,dp_kfm,pink,0.5,42,1,conv1,True,0.8618116263472527,0.7908662092298306,0.945093646014842,0.3635822027520624,conv1,881.5635742813189,206922,366.2611827557988,20138336,5.164863594530364,0.5424913869125315,134.82070380903582,26.65655667793419,0.04390336635477699,1.1703125735882218,1.0007224966226365,0.0010002034420851299,0.0010009260856939858
mnist,dp_kfm,pink,0.5,42,1,conv2,True,0.8169699345649275,0.6628943531273978,0.9694311260666093,0.254558665415884,conv2,8628.87324722423,206922,366.2611827557988,20138336,78.97025699017375,0.7104695239844416,2342.949403147913,6171.028340240056,0.0019927776100180064,12.297487107216964,1.010577353603839,0.0010000144210350658,0.001010591927175292
mnist,dp_kfm,pink,0.5,42,1,fc1,True,0.7100319801040785,0.7637139184871902,0.808709512430055,0.6252412481010396,fc1,190393.70757245802,206922,366.2611827557988,20138336,1046.1622404256134,0.5968475768077509,112733.790481339,38305.9951968204,0.001,38.3059951968204,28.57138752482234,0.001,0.028571387524822342
mnist,dp_kfm,pink,0.5,42,1,fc2,True,0.854649087127294,0.5625582573472794,0.997739912640114,0.06720477903081529,fc2,7017.855606036403,206922,366.2611827557988,20138336,420.15240881103136,0.7985338245385343,750.4533756832719,1547.9282810655716,0.001,1.5479282810655717,114.04148938230693,0.001,0.11404148938230693
mnist,dp_kfm,pink,0.5,42,2,conv1,True,0.861674992974544,0.7909976554819105,0.9857034722615116,6.10265643367717,conv1,149.52378610382084,206922,58.60886997631374,20138336,6.628873928195845,0.5454307884143426,134.5831885442252,26.605394469385256,0.04394917128192075,1.1692850385580797,1.6516187950709957,0.0010244816291872854,0.0016920531139706751
mnist,dp_kfm,pink,0.5,42,2,conv2,True,0.9170002344008696,0.8283091292388728,0.9849598603963554,5.392063080024341,conv2,2060.2634139982806,206922,58.60886997631374,20138336,150.37124435296246,0.7973678787847949,1905.6568988239253,10812.566890759406,0.0025895042300224822,27.99918770102252,2.0912250862080226,0.0010001877054097057,0.0020916176204696163
mnist,dp_kfm,pink,0.5,42,2,fc1,True,0.596300663470156,0.9165276780004735,0.667717491759916,6.898968365345597,fc1,180364.8624947831,206922,58.60886997631374,20138336,27409.252416954834,1.1547778307958048,31217.979319076185,1898246.0907877758,0.001,1898.2460907877758,395.76908478951066,0.001,0.3957690847895107
mnist,dp_kfm,pink,0.5,42,2,fc2,True,0.8924078723553106,0.784047341095647,0.7399740642157114,6.8826066966016715,fc2,24347.350305114804,206922,58.60886997631374,20138336,33238.72473943657,1.6584807477608292,215.43473634489897,2221152.5786012425,0.001,2221.1525786012426,497.40519086706854,0.001,0.4974051908670685
mnist,dp_kfm,pink,0.5,42,3,conv1,True,0.8611448779803761,0.7913566638596873,0.974082312711132,9.778324264254756,conv1,149.99508738328925,206922,51.3715716781382,20138336,8.83563732012297,0.5555242886294613,133.6956751134369,26.43308622538906,0.04414639619698689,1.1669254972151422,2.9534382094878042,0.0011010195479568047,0.0032517932023286168
mnist,dp_kfm,pink,0.5,42,3,conv2,True,0.9073558848229355,0.8400138148444986,0.9574709822424106,8.61996988811238,conv2,2320.775974813121,206922,51.3715716781382,20138336,242.02499364624762,0.8182990279875152,1966.475930641694,9370.67875612141,0.0026595652307129843,24.921931407961296,6.250998361372839,0.001000082448312649,0.006251513745640105
mnist,dp_kfm,pink,0.5,42,3,fc1,True,0.533400405362232,0.949365764768022,0.5438323095954785,9.041838319402155,fc1,185318.3382308516,206922,51.3715716781382,20138336,22570.86403413502,1.1944002270041068,43167.95070611305,440323.3374529966,0.001,440.3233374529966,1156.9768393250145,0.001,1.1569768393250144
mnist,dp_kfm,pink,0.5,42,3,fc2,True,0.7520587068283012,0.8797331737243504,0.8389277119680734,4.805134200529662,fc2,19132.890706951992,206922,51.3715716781382,20138336,18194.053741699958,1.6542034117331843,301.0754005340341,1005482.6990075273,0.001,1005.4826990075273,329.21858514582766,0.001,0.3292185851458277
mnist,dp_kfm,pink,0.5,42,4,conv1,True,0.8614926739551457,0.7910968550528737,0.9631188102877227,9.272905911904461,conv1,164.7903912986359,206922,52.63845939321486,20138336,9.189188381985302,0.5583426488205381,133.4933731857865,26.52196311677133,0.0440558284960565,1.1684470584512139,3.1838209995178195,0.0011889037518078524,0.003785256731411362
