task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,d_total,tau,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max
mnist,dp_kfm,pink,1.0,42,1,conv1,True,0.8618116263472527,0.7908662092298306,0.945093646014842,0.3635822027520624,conv1,605.7825198387734,206922,12005.646042267335,20138336,26.675815950105115,1.084982773825063,86.28340959017565,26.65655667793419,0.04390336635477699,1.1703125735882218,1.0007224966226365,0.0010002034420851299,0.0010009260856939858
mnist,dp_kfm,pink,1.0,42,1,conv2,True,0.8169699345649275,0.6628943531273978,0.9694311260666093,0.254558665415884,conv2,7489.210923299801,206922,12005.646042267335,20138336,6236.301489094087,1.4209390479688833,181.6856634238592,6171.028340240056,0.0019927776100180064,12.297487107216964,1.010577353603839,0.0010000144210350658,0.001010591927175292
mnist,dp_kfm,pink,1.0,42,1,fc1,True,0.7100319801040785,0.7637139184871902,0.808709512430055,0.6252412481010396,fc1,179171.0052613562,206922,12005.646042267335,20138336,1094455.4332923389,1.1936951536155018,338.8722892910528,38305.9951968204,0.001,38.3059951968204,28.57138752482234,0.001,0.028571387524822342
mnist,dp_kfm,pink,1.0,42,1,fc2,True,0.854649087127294,0.5625582573472794,0.997739912640114,0.06720477903081529,fc2,19656.001295505244,206922,12005.646042267335,20138336,176528.04662971201,1.5970676490770686,25.79496989322581,1547.9282810655716,0.001,1.5479282810655717,114.04148938230693,0.001,0.11404148938230693
mnist,dp_kfm,pink,1.0,42,2,conv1,True,0.861674992974544,0.7909976554819105,0.8537701315214784,2.8559581347406295,conv1,7.035699480724353,206922,137.0167172153257,20138336,28.154534766912878,1.084887941741949,86.29879722312093,26.605394469385256,0.04394917128192075,1.1692850385580797,1.0582265487290636,0.0010028441575548029,0.0010612363117623244
mnist,dp_kfm,pink,1.0,42,2,conv2,True,0.8822029399989152,0.7697122198827704,0.9365554700821245,2.2214704435119157,conv2,95.88849985535627,206922,137.0167172153257,20138336,13577.425833092586,1.4365643369321446,151.46859486386842,9385.535500233238,0.0015259194409698897,14.321571083718958,1.4466330485623518,0.001,0.0014466330485623517
mnist,dp_kfm,pink,1.0,42,2,fc1,True,0.6532027668509717,0.8531860604055455,0.7064704400037253,2.1026770507465655,fc1,107322.35541737845,206922,137.0167172153257,20138336,157362444.25642002,1.8896204116344857,67.3471741272454,1206372.2081849636,0.001,1206.3722081849635,130.44269686316653,0.001,0.13044269686316654
mnist,dp_kfm,pink,1.0,42,2,fc2,True,0.8293930541694575,0.5667120639902954,0.8336038208824377,1.142059399077911,fc2,99496.72038328543,206922,137.0167172153257,20138336,177109179.17854822,2.613447590880708,9.30433247298882,651978.1438345959,0.001,651.9781438345959,271.64895150761384,0.001,0.27164895150761387
mnist,dp_kfm,pink,1.0,42,3,conv1,True,0.8611448779803761,0.7913566638596873,0.9340683271631711,93.01330144460124,conv1,94.51317923040877,206922,569.2322321657329,20138336,134.78796058721022,1.1577770024396485,78.03643138825053,26.43308622538906,0.04414639619698689,1.1669254972151422,5.099213895717782,0.001620762670701931,0.00826461553210395
mnist,dp_kfm,pink,1.0,42,3,conv2,True,0.7529591330411681,0.8093862307764589,0.918654947529939,71.27058712065705,conv2,1398.8019983277104,206922,569.2322321657329,20138336,570766.8515829997,1.788103243362136,48.34400370080687,3419.3500655513517,0.0015179567646993691,5.1904255628789056,166.92261413455677,0.001,0.16692261413455678
mnist,dp_kfm,pink,1.0,42,3,fc1,True,0.6537919562099187,0.8505269884814389,0.7088914056630301,9.307087910708143,fc1,195976.76709754762,206922,569.2322321657329,20138336,234551413.46688798,1.7671221945810738,12.191757143043791,14437.166611976043,0.001,14.437166611976043,16246.3605062451,0.001,16.2463605062451
mnist,dp_kfm,pink,1.0,42,3,fc2,True,0.5624744889537314,2.102295539108852,0.6447018616868202,2.4003088153784033,fc2,9451.917724894283,206922,569.2322321657329,20138336,8336567.221386488,1.880801243752489,6.917069886572312,9670.114096010097,0.001,9.670114096010098,862.0960558082937,0.001,0.8620960558082937
mnist,dp_kfm,pink,1.0,42,4,conv1,True,0.8614926739551457,0.7910968550528737,0.7908649571605602,94.2841275187486,conv1,90.65995129716039,206922,109.92638533430141,20138336,354.1924628188005,1.2771380105849697,65.21037593028008,26.52196311677133,0.0440558284960565,1.1684470584512139,13.35468499293797,0.004681286713610847,0.0625171094218987
mnist,dp_kfm,pink,1.0,42,4,conv2,True,0.8848710652830175,0.8644489414995262,0.664611836809002,37.48309533732221,conv2,1421.7553593595642,206922,109.92638533430141,20138336,2367875.270843509,2.431458598527359,45.18497995418151,3496.5774628769923,0.0014935019995536607,5.222145432401054,677.1980017554697,0.001,0.6771980017554697
mnist,dp_kfm,pink,1.0,42,4,fc1,True,0.6298726988506584,0.943093104771174,0.641608422021256,9.252725250873652,fc1,194236.4721737115,206922,109.92638533430141,20138336,990513555.8266952,1.9245422193845747,12.617679687431918,40916.619250047566,0.001,40.91661925004757,24208.098664591984,0.001,24.208098664591983
mnist,dp_kfm,pink,1.0,42,4,fc2,True,0.05910809376759903,5.439052422611873,0.6747754013142075,2.731275952700968,fc2,11173.112515631792,206922,109.92638533430141,20138336,55057175.89862458,2.2046295302123426,5.95441566524305,55029.02599690681,0.001,55.02902599690681,1000.5115464285948,0.0010000022385860151,1.0005137861597506
mnist,dp_kfm,pink,1.0,42,5,conv1,True,0.8616006439084417,0.7910250283976866,0.9040178388598994,12.018263392802439,conv1,46.98929360268081,206922,668.0090801740415,20138336,67.1500132185071,1.1051677030721048,83.69251918684552,26.598340780623076,0.04395867931369705,1.1692279326518402,2.52459406292839,0.0010925486146452486,0.002758241745994032
mnist,dp_kfm,pink,1.0,42,5,conv2,True,0.9384240913307179,0.8776645670282065,0.7723411220284685,9.080570751406533,conv2,695.7011048488181,206922,668.0090801740415,20138336,82964.09482684691,1.6492581008845175,107.1314699337023,4720.771361064295,0.001560954403491342,7.368908843929127,17.57426667834697,0.001,0.01757426667834697
mnist,dp_kfm,pink,1.0,42,5,fc1,True,0.5548147470736434,0.9703166787705152,0.694646950319691,9.941540059364709,fc1,159710.1104760694,206922,668.0090801740415,20138336,77392284.67891945,1.8159306945290519,69.1907845998184,21505.81729021626,0.001,21.50581729021626,3598.667450510141,0.001,3.598667450510141
mnist,dp_kfm,pink,1.0,42,5,fc2,True,0.8505913075654155,0.932045960918477,0.6452227120112176,1.8104621933921141,fc2,46469.19912547909,206922,668.0090801740415,20138336,22492731.4296323,2.2886089071619535,11.046345886859214,50605.34144414671,0.001,50.60534144414671,444.47346441595704,0.0010000000698490064,0.4444734954619869
