level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only
layer,conv1,conv1,2.0877493287092035,0.00292758875247086,691.1191966407927,1.4397464199105003,0.054765811742648426,mnist,dp_kfm,pink,1.0,42,1,True
layer,conv2,conv2,1.3546515815554567,0.03619340100762516,8544.217218684267,4.5114934285844175,0.0488072331730811,mnist,dp_kfm,pink,1.0,42,1,True
layer,fc1,fc1,1.0030627685565803,0.8658866880339251,204410.8523476502,6.6782891637274915,0.014771113835592995,mnist,dp_kfm,pink,1.0,42,1,True
layer,fc2,fc2,4.136490789287025,0.09499232220597756,22424.94522313958,5.891119908397191,0.03933980175572381,mnist,dp_kfm,pink,1.0,42,1,True
group,conv1,conv1,2.0877493287092035,0.00292758875247086,691.1191966407927,1.4397464199105003,0.05476581174264842,mnist,dp_kfm,pink,1.0,42,1,True
group,conv2,conv2,1.3546515815554567,0.03619340100762516,8544.217218684267,4.5114934285844175,0.04880723317308108,mnist,dp_kfm,pink,1.0,42,1,True
group,fc1,fc1,1.0030627685565803,0.8658866880339251,204410.8523476502,6.6782891637274915,0.014771113835592995,mnist,dp_kfm,pink,1.0,42,1,True
group,fc2,fc2,4.136490789287025,0.09499232220597756,22424.94522313958,5.891119908397191,0.039339801755723804,mnist,dp_kfm,pink,1.0,42,1,True
layer,conv1,conv1,0.22316810788886146,3.400169861457139e-05,8.026819549396063,2.2733597606882694,0.8024101593862383,mnist,dp_kfm,pink,1.0,42,2,True
layer,conv2,conv2,0.15287767780362038,0.00046340408393189995,109.3963275876004,3.7352876023821673,0.3571269912096631,mnist,dp_kfm,pink,1.0,42,2,True
layer,fc1,fc1,0.7681923209189162,0.5186609225571884,122440.87214235982,5.607336805837484,0.016024830172761823,mnist,dp_kfm,pink,1.0,42,2,True
layer,fc2,fc2,9.23748931738578,0.48084167166026814,113512.83869661787,6.429077801941688,0.019082100954889266,mnist,dp_kfm,pink,1.0,42,2,True
group,conv1,conv1,0.22316810788886146,3.400169861457139e-05,8.026819549396063,2.2733597606882694,0.8024101593862385,mnist,dp_kfm,pink,1.0,42,2,True
group,conv2,conv2,0.15287767780362038,0.00046340408393189995,109.3963275876004,3.7352876023821673,0.35712699120966307,mnist,dp_kfm,pink,1.0,42,2,True
group,fc1,fc1,0.7681923209189162,0.5186609225571884,122440.87214235982,5.607336805837484,0.01602483017276182,mnist,dp_kfm,pink,1.0,42,2,True
group,fc2,fc2,9.23748931738578,0.48084167166026814,113512.83869661787,6.429077801941688,0.019082100954889266,mnist,dp_kfm,pink,1.0,42,2,True
layer,conv1,conv1,0.821236106759827,0.00045675751843887627,107.82726533454871,2.1440324574522327,0.20647480287393957,mnist,dp_kfm,pink,1.0,42,3,True
layer,conv2,conv2,0.5695180859153077,0.006760044839735341,1595.8514511132978,4.9791834621306625,0.12464127906947389,mnist,dp_kfm,pink,1.0,42,3,True
layer,fc1,fc1,0.9909057690201941,0.9471045471121882,223584.04444018003,3.0804196988048815,0.0065146259969361955,mnist,dp_kfm,pink,1.0,42,3,True
layer,fc2,fc2,2.6595727037826364,0.045678650529640714,10783.41082948772,0.6506790258499741,0.006265976072029274,mnist,dp_kfm,pink,1.0,42,3,True
