level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only
layer,conv1,conv1,2.9663309100570636,0.0060248582512113,1422.2951194690545,1.2527278635897652,0.03321711249950933,mnist,dp_kfm,public,1.0,42,1,True
layer,conv2,conv2,1.5406521545678398,0.0469289504579204,11078.570551379571,4.048721707488431,0.0384659145317485,mnist,dp_kfm,public,1.0,42,1,True
layer,fc1,fc1,1.0174893224440014,0.8792469714293814,207564.82959919213,5.173277205220283,0.01135504518295831,mnist,dp_kfm,public,1.0,42,1,True
layer,fc2,fc2,3.489311424823151,0.06779921986148799,16005.438716075385,4.432689391250163,0.035037532122344416,mnist,dp_kfm,public,1.0,42,1,True
group,conv1,conv1,2.9663309100570636,0.0060248582512113,1422.2951194690545,1.2527278635897652,0.03321711249950933,mnist,dp_kfm,public,1.0,42,1,True
group,conv2,conv2,1.5406521545678398,0.0469289504579204,11078.570551379571,4.048721707488431,0.0384659145317485,mnist,dp_kfm,public,1.0,42,1,True
group,fc1,fc1,1.0174893224440014,0.8792469714293814,207564.82959919213,5.173277205220283,0.01135504518295831,mnist,dp_kfm,public,1.0,42,1,True
group,fc2,fc2,3.489311424823151,0.06779921986148799,16005.438716075385,4.432689391250163,0.035037532122344416,mnist,dp_kfm,public,1.0,42,1,True
layer,conv1,conv1,0.2952203760199272,6.047410161807594e-05,14.276189745770772,1.6292438147754136,0.43120116461093994,mnist,dp_kfm,public,1.0,42,2,True
layer,conv2,conv2,0.22416891553868898,0.0010101003377976632,238.45553218365228,2.4974991076265014,0.16173411649256775,mnist,dp_kfm,public,1.0,42,2,True
layer,fc1,fc1,0.8902526528651112,0.6987076035787227,164944.69630154964,2.2396246391064043,0.005514498956828227,mnist,dp_kfm,public,1.0,42,2,True
layer,fc2,fc2,7.262674105040783,0.3002218219818645,70873.70596263604,2.3655481322243035,0.00888565031185964,mnist,dp_kfm,public,1.0,42,2,True
group,conv1,conv1,0.2952203760199272,6.047410161807594e-05,14.276189745770772,1.6292438147754136,0.43120116461093994,mnist,dp_kfm,public,1.0,42,2,True
group,conv2,conv2,0.22416891553868898,0.0010101003377976632,238.45553218365228,2.4974991076265014,0.16173411649256778,mnist,dp_kfm,public,1.0,42,2,True
group,fc1,fc1,0.8902526528651112,0.6987076035787227,164944.69630154964,2.2396246391064043,0.005514498956828227,mnist,dp_kfm,public,1.0,42,2,True
group,fc2,fc2,7.262674105040783,0.3002218219818645,70873.70596263604,2.3655481322243035,0.00888565031185964,mnist,dp_kfm,public,1.0,42,2,True
layer,conv1,conv1,0.9702304176692851,0.00064711839324022,152.7659729154912,1.7301451256281046,0.13998104083405696,mnist,dp_kfm,public,1.0,42,3,True
layer,conv2,conv2,0.6712415722280503,0.00902889252026002,2131.460895896543,6.941367074646743,0.15035100199219378,mnist,dp_kfm,public,1.0,42,3,True
layer,fc1,fc1,0.9968441642063951,0.9864793387285641,232879.29614752487,5.293283127205468,0.0109688143058115,mnist,dp_kfm,public,1.0,42,3,True
layer,fc2,fc2,0.8216302648548818,0.0038446503579400468,907.6109697790324,1.8493824754771606,0.06138706502440091,mnist,dp_kfm,public,1.0,42,3,True
group,conv1,conv1,0.9702304176692851,0.00064711839324022,152.7659729154912,1.7301451256281046,0.13998104083405694,mnist,dp_kfm,public,1.0,42,3,True
group,conv2,conv2,0.6712415722280503,0.00902889252026002,2131.460895896543,6.941367074646743,0.15035100199219378,mnist,dp_kfm,public,1.0,42,3,True
group,fc1,fc1,0.9968441642063951,0.9864793387285641,232879.29614752487,5.293283127205468,0.0109688143058115,mnist,dp_kfm,public,1.0,42,3,True
group,fc2,fc2,0.8216302648548818,0.0038446503579400468,907.6109697790324,1.8493824754771606,0.06138706502440091,mnist,dp_kfm,public,1.0,42,3,True
layer,conv1,conv1,2.3892740087275186,0.003972723523350103,937.8453471705742,3.284850696259678,0.10726302005697488,mnist,dp_kfm,public,1.0,42,4,True
layer,conv2,conv2,1.6950321123583296,0.05578183361314256,13168.480716879358,10.725860000737278,0.09346828798062078,mnist,dp_kfm,public,1.0,42,4,True
layer,fc1,fc1,1.013610358143506,0.890092544242144,210125.15627182968,4.706198742957128,0.010266708674841625,mnist,dp_kfm,public,1.0,42,4,True
