task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,group,trace_S,d_total,tau,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max
vit,dp_kfm_a,pink,0.75,42,1,patch_embed,True,0.621153982490905,0.8487813064691657,patch_head,64379.57682049829,5526346,1.8033989062882065,79679064,240.07216178531587,0.7859458858872749,53559.25688679553,1492.0695620062106,0.01765302459148114,26.33954067029613
vit,dp_kfm_a,pink,0.75,42,1,blocks.0.attn.q_proj,True,0.3396325371922061,1.7188422276091564,attention_qkv,41432.932528256715,5526346,1.8033989062882065,79679064,1082.0324156272807,2.0205001998970364,17820.771084120126,11108.455905783541,0.001,11.108455905783542
vit,dp_kfm_a,pink,0.75,42,1,blocks.0.attn.k_proj,True,0.3396325371922061,1.7188422276091564,attention_qkv,41432.932528256715,5526346,1.8033989062882065,79679064,1082.0324156272807,2.0205001998970364,17820.771084120126,11108.455905783541,0.001,11.108455905783542
vit,dp_kfm_a,pink,0.75,42,1,blocks.0.attn.v_proj,True,0.3396325371922061,1.7188422276091564,attention_qkv,41432.932528256715,5526346,1.8033989062882065,79679064,1082.0324156272807,2.0205001998970364,17820.771084120126,11108.455905783541,0.001,11.108455905783542
vit,dp_kfm_a,pink,0.75,42,1,blocks.0.attn.out_proj,True,0.10836942728802505,4.822867426418404,attention_out,17305.51588745449,5526346,1.8033989062882065,79679064,871.212752024445,1.7528577049517575,10443.482891517751,8320.81050132666,0.001001976580563823,8.337257253638837
vit,dp_kfm_a,pink,0.75,42,1,blocks.0.mlp.fc1,True,0.3641099132362489,1.9164945556238355,mlp_fc1,401620.9243554143,5526346,1.8033989062882065,79679064,2902.3303492186074,2.219611505997376,76374.80248747228,41399.56624741298,0.0010000000312211559,41.39956753995529
vit,dp_kfm_a,pink,0.75,42,1,blocks.0.mlp.fc2,True,0.1190921571486446,7.593671423422714,mlp_fc2,135550.35777997941,5526346,1.8033989062882065,79679064,6284.945956741826,1.5141841901388506,48290.314926956446,115985.06320138722,0.001059067615111467,122.83602427324595
vit,dp_kfm_a,pink,0.75,42,1,blocks.1.attn.q_proj,True,0.36522506393233223,2.1311724236103684,attention_qkv,35285.309057812665,5526346,1.8033989062882065,79679064,2545.170758027953,1.4626687850256679,12764.118049046925,34750.087291249554,0.001,34.75008729124956
vit,dp_kfm_a,pink,0.75,42,1,blocks.1.attn.k_proj,True,0.36522506393233223,2.1311724236103684,attention_qkv,35285.309057812665,5526346,1.8033989062882065,79679064,2545.170758027953,1.4626687850256679,12764.118049046925,34750.087291249554,0.001,34.75008729124956
vit,dp_kfm_a,pink,0.75,42,1,blocks.1.attn.v_proj,True,0.36522506393233223,2.1311724236103684,attention_qkv,35285.309057812665,5526346,1.8033989062882065,79679064,2545.170758027953,1.4626687850256679,12764.118049046925,34750.087291249554,0.001,34.75008729124956
vit,dp_kfm_a,pink,0.75,42,1,blocks.1.attn.out_proj,True,0.144290203191076,3.923907957708787,attention_out,11476.286058398904,5526346,1.8033989062882065,79679064,2570.5578963623175,1.1060856600982358,3808.302089720581,35213.01295543993,0.0011720687868649474,41.27207337654215
vit,dp_kfm_a,pink,0.75,42,1,blocks.1.mlp.fc1,True,0.23393590191609723,2.4326963686227363,mlp_fc1,186676.77149129243,5526346,1.8033989062882065,79679064,3821.588555057307,1.2510444020127958,61874.422117666785,59748.25651422537,0.001000018717964049,59.7493748799428
vit,dp_kfm_a,pink,0.75,42,1,blocks.1.mlp.fc2,True,0.040200446112319925,3.058799579063516,mlp_fc2,29286.056583346628,5526346,1.8033989062882065,79679064,2286.2204421202955,1.2938007692614417,34319.63925713795,30117.86194318659,0.0010005157681228266,30.13339577630458
vit,dp_kfm_a,pink,0.75,42,1,blocks.2.attn.q_proj,True,0.3826682523551794,1.5533921232480628,attention_qkv,39614.06428874411,5526346,1.8033989062882065,79679064,2128.2792475607985,1.2614511602158656,15001.620536938492,27376.09381263095,0.001,27.37609381263095
vit,dp_kfm_a,pink,0.75,42,1,blocks.2.attn.k_proj,True,0.3826682523551794,1.5533921232480628,attention_qkv,39614.06428874411,5526346,1.8033989062882065,79679064,2128.2792475607985,1.2614511602158656,15001.620536938492,27376.09381263095,0.001,27.37609381263095
vit,dp_kfm_a,pink,0.75,42,1,blocks.2.attn.v_proj,True,0.3826682523551794,1.5533921232480628,attention_qkv,39614.06428874411,5526346,1.8033989062882065,79679064,2128.2792475607985,1.2614511602158656,15001.620536938492,27376.09381263095,0.001,27.37609381263095
vit,dp_kfm_a,pink,0.75,42,1,blocks.2.attn.out_proj,True,0.11636580509920338,1.8886769977209008,attention_out,10214.454657712622,5526346,1.8033989062882065,79679064,873.7160018538198,1.2830831733843795,9729.384881050826,8352.703263422924,0.001449152033099884,12.104336916069364
vit,dp_kfm_a,pink,0.75,42,1,blocks.2.mlp.fc1,True,0.2224458376863884,1.7094821731045011,mlp_fc1,208537.12067465778,5526346,1.8033989062882065,79679064,2801.3209185008704,1.1085413198620506,78775.54804338532,39489.69860389064,0.001,39.48969860389064
vit,dp_kfm_a,pink,0.75,42,1,blocks.2.mlp.fc2,True,0.17132748893572655,1.8734494675448976,mlp_fc2,24116.107225304695,5526346,1.8033989062882065,79679064,938.0647765550395,1.1124484550513047,53707.438128546855,9182.841858747848,0.0010547041182984748,9.685181126104977
vit,dp_kfm_a,pink,0.75,42,1,blocks.3.attn.q_proj,True,0.270330807126886,1.9068547056821001,attention_qkv,50809.537336950016,5526346,1.8033989062882065,79679064,2869.135413401754,1.0605897681053378,18673.583854537377,40769.43829237271,0.001,40.76943829237271
vit,dp_kfm_a,pink,0.75,42,1,blocks.3.attn.k_proj,True,0.270330807126886,1.9068547056821001,attention_qkv,50809.537336950016,5526346,1.8033989062882065,79679064,2869.135413401754,1.0605897681053378,18673.583854537377,40769.43829237271,0.001,40.76943829237271
vit,dp_kfm_a,pink,0.75,42,1,blocks.3.attn.v_proj,True,0.270330807126886,1.9068547056821001,attention_qkv,50809.537336950016,5526346,1.8033989062882065,79679064,2869.135413401754,1.0605897681053378,18673.583854537377,40769.43829237271,0.001,40.76943829237271
vit,dp_kfm_a,pink,0.75,42,1,blocks.3.attn.out_proj,True,0.03096319252827678,2.2956173677552303,attention_out,6965.483652169683,5526346,1.8033989062882065,79679064,1152.0239839532978,1.059447341573974,6999.394843977232,12076.711576286898,0.0011696739417544203,14.125814832866734
vit,dp_kfm_a,pink,0.75,42,1,blocks.3.mlp.fc1,True,0.18025118275917792,2.483678467698164,mlp_fc1,197757.22807082196,5526346,1.8033989062882065,79679064,3867.0429172509453,1.0011956744202137,66069.78064839373,60697.66569222287,0.001,60.69766569222287
vit,dp_kfm_a,pink,0.75,42,1,blocks.3.mlp.fc2,True,0.15470164973298836,2.2165783745061423,mlp_fc2,18780.566739725447,5526346,1.8033989062882065,79679064,1122.8167235277567,1.0722854753005522,47689.883961781714,11670.205314471123,0.0010018357964796938,11.691629436304732
vit,dp_kfm_a,pink,0.75,42,1,blocks.4.attn.q_proj,True,0.2960674035963436,2.3393084714450256,attention_qkv,48169.6178229272,5526346,1.8033989062882065,79679064,3068.300172967803,1.042725627354494,17134.380820708175,44585.85774784369,0.0010000351614704677,44.58742545216417
vit,dp_kfm_a,pink,0.75,42,1,blocks.4.attn.k_proj,True,0.2960674035963436,2.3393084714450256,attention_qkv,48169.6178229272,5526346,1.8033989062882065,79679064,3068.300172967803,1.042725627354494,17134.380820708175,44585.85774784369,0.0010000351614704677,44.58742545216417
vit,dp_kfm_a,pink,0.75,42,1,blocks.4.attn.v_proj,True,0.2960674035963436,2.3393084714450256,attention_qkv,48169.6178229272,5526346,1.8033989062882065,79679064,3068.300172967803,1.042725627354494,17134.380820708175,44585.85774784369,0.0010000351614704677,44.58742545216417
