level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only
layer,patch_embed,patch_head,0.3871304798405022,0.0077005101112088085,22074.03382612241,0.8722609501932093,0.005870912103003458,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.0.attn.q_proj,attention_qkv,0.6482271594742782,0.005438626233774126,15590.190483253793,0.07123370410251484,0.0005705054757889837,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.0.attn.k_proj,attention_qkv,0.6479324993654001,0.005438626233774126,15590.190483253793,0.125031584524025,0.001001368727293392,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.0.attn.v_proj,attention_qkv,0.6487962696610149,0.005438626233774126,15590.190483253793,0.2779622545387334,0.002226179170028588,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.0.attn.out_proj,attention_out,0.40340980611192023,0.0021001607927195747,6020.253166255567,0.31440077431925606,0.004052063378662943,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.0.mlp.fc1,mlp_fc1,1.153018136747312,0.06870662564617,196952.1962427764,0.32782517664483674,0.0007386894388075732,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.0.mlp.fc2,mlp_fc2,0.6330735560042996,0.020650066551994407,59194.81449896415,0.5076777926188693,0.0020866342637974374,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.1.attn.q_proj,attention_qkv,0.6348753827851452,0.0051957738919501464,14894.03779586591,0.04104258544305375,0.00033630125281297157,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.1.attn.k_proj,attention_qkv,0.6341894675481916,0.0051957738919501464,14894.03779586591,0.05472860738366619,0.000448443952279112,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.1.attn.v_proj,attention_qkv,0.6328806090770206,0.0051957738919501464,14894.03779586591,0.2516316788005048,0.0020618596005716077,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.1.attn.out_proj,attention_out,0.3996033976063012,0.0020617796661822232,5910.231067299224,0.34966270782657743,0.00454827888446382,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.1.mlp.fc1,mlp_fc1,0.7435527193308192,0.02862642884159519,82059.59727923374,0.41791985245395397,0.0014589093622736254,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.1.mlp.fc2,mlp_fc2,0.24933390639090366,0.0031969412807452495,9164.248725363983,0.3630160400248012,0.003792079040906049,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.2.attn.q_proj,attention_qkv,0.660558955382823,0.005647017438383362,16187.557986598034,0.06511294524581442,0.0005117721773098254,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.2.attn.k_proj,attention_qkv,0.6619153145329725,0.005647017438383362,16187.557986598034,0.08597570338959101,0.0006757484668114156,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.2.attn.v_proj,attention_qkv,0.6600812758625135,0.005647017438383362,16187.557986598034,0.3546297115068861,0.0027873047196909097,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.2.attn.out_proj,attention_out,0.2970328779936165,0.0011410200695907086,3270.8113162227787,0.40809735015260634,0.007135690896250393,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.2.mlp.fc1,mlp_fc1,0.7544365117301299,0.02940273098439962,84284.91995423519,0.4859836130826248,0.0016739662057505898,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.2.mlp.fc2,mlp_fc2,0.1967633672894533,0.001990270348708037,5705.24476509169,0.4907116297038089,0.0064966461093160606,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.3.attn.q_proj,attention_qkv,0.7506187068217108,0.0072969743468599075,20917.271224210966,0.07169609557649664,0.0004957274771892183,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.3.attn.k_proj,attention_qkv,0.7520085119681511,0.0072969743468599075,20917.271224210966,0.09468119398635315,0.0006546530749647176,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.3.attn.v_proj,attention_qkv,0.7505507652228516,0.0072969743468599075,20917.271224210966,0.36756251188659295,0.002541433187703528,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.3.attn.out_proj,attention_out,0.2559228240485067,0.0008379119430247465,2401.9313404598347,0.3970839359782403,0.008102182542080002,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.3.mlp.fc1,mlp_fc1,0.7650900500430255,0.030297325885952835,86849.33683472463,0.5101671628845037,0.0017311282688026615,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.3.mlp.fc2,mlp_fc2,0.17335746996002663,0.0015493656150177338,4441.3614813842305,0.5736612400178553,0.008607904626533212,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.4.attn.q_proj,attention_qkv,0.7406235147960921,0.00709171242224116,20328.87401392034,0.09354386796561996,0.0006560828138023384,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.4.attn.k_proj,attention_qkv,0.7414224189182851,0.00709171242224116,20328.87401392034,0.12980914712275124,0.0009104343486510217,vit,dp_kfm_a,pink,1.0,42,1,True
layer,blocks.4.attn.v_proj,attention_qkv,0.7394544032070824,0.00709171242224116,20328.87401392034,0.3155436862698901,0.0022131091440606107,vit,dp_kfm_a,pink,1.0,42,1,True
