level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only
layer,patch_embed,patch_head,0.3949258434373866,0.008030440659940727,23019.80209183496,5.887591587810952,0.038804928121863515,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.0.attn.q_proj,attention_qkv,0.5193934659192753,0.0034895307952973543,10002.976387313385,0.586198514739439,0.005861112965174762,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.0.attn.k_proj,attention_qkv,0.519496554875804,0.0034895307952973543,10002.976387313385,0.9326092717994977,0.009324705124535987,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.0.attn.v_proj,attention_qkv,0.5193952503011534,0.0034895307952973543,10002.976387313385,2.315235047421715,0.023148905725054816,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.0.attn.out_proj,attention_out,0.4590435790734527,0.0027249330447993727,7811.2051456521085,2.653090207556949,0.030018777009308023,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.0.mlp.fc1,mlp_fc1,0.6227084538321376,0.020054492733413108,57487.56180694023,3.0041519808917214,0.01252953504593906,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.0.mlp.fc2,mlp_fc2,0.5107827910570433,0.013438738996948375,38523.05560475422,4.901235166277756,0.02497153142795508,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.1.attn.q_proj,attention_qkv,0.6235589731524274,0.005025360359154914,14405.535861185612,0.3790248743507203,0.003157933668110803,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.1.attn.k_proj,attention_qkv,0.6235648642352817,0.005025360359154914,14405.535861185612,0.5624473533248191,0.004686160602643524,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.1.attn.v_proj,attention_qkv,0.6232731340895521,0.005025360359154914,14405.535861185612,2.2955196239489357,0.019125654269248893,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.1.attn.out_proj,attention_out,0.5408468551695377,0.0037811658635591534,10838.968064322427,3.1548325661439467,0.030302771212061513,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.1.mlp.fc1,mlp_fc1,0.7213832010153091,0.026908852839121783,77136.0493285148,4.042685632261439,0.014555974130194358,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.1.mlp.fc2,mlp_fc2,0.5129853496993683,0.013555515679687474,38857.803875668666,3.471747571653618,0.017612013692185294,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.2.attn.q_proj,attention_qkv,0.7060242978714916,0.006443986351645309,18472.123358975765,0.5815216292060317,0.004278656901222406,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.2.attn.k_proj,attention_qkv,0.7061139524861476,0.006443986351645309,18472.123358975765,0.7554565630682016,0.005558416531400095,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.2.attn.v_proj,attention_qkv,0.7059351747807165,0.006443986351645309,18472.123358975765,3.1972522980664526,0.023524396897753992,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.2.attn.out_proj,attention_out,0.5773385750863902,0.004307446430870657,12347.58695801814,3.589501759927101,0.0323030198232974,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.2.mlp.fc1,mlp_fc1,0.7942766754499722,0.03261218695090127,93485.04287399937,4.330685198078655,0.01416398798862686,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.2.mlp.fc2,mlp_fc2,0.5501489972809052,0.015587000342805366,44681.192264658486,4.135299390844247,0.019563411084654286,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.3.attn.q_proj,attention_qkv,0.7925607451848885,0.00812575217573786,23293.019007771796,0.6820450651313046,0.00446889530589205,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.3.attn.k_proj,attention_qkv,0.792936157081012,0.00812575217573786,23293.019007771796,0.8986735959264823,0.005888288647894299,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.3.attn.v_proj,attention_qkv,0.7926027553934296,0.00812575217573786,23293.019007771796,3.162273421658876,0.020719846198546926,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.3.attn.out_proj,attention_out,0.5853593202769715,0.004427865842956401,12692.777359344103,3.330435098349792,0.02956123974642101,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.3.mlp.fc1,mlp_fc1,0.809536366391033,0.03388826292581543,97143.00109081347,4.271949393036618,0.013706303402806068,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.3.mlp.fc2,mlp_fc2,0.5571880584480197,0.015981801327261465,45812.91602835904,4.271129271248895,0.01995486289450683,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.4.attn.q_proj,attention_qkv,0.8031348554326136,0.008336626161632223,23897.503571840596,0.8718120488019616,0.005639577890564273,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.4.attn.k_proj,attention_qkv,0.8033750833037381,0.008336626161632223,23897.503571840596,1.2903004844870103,0.008346695935777642,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.4.attn.v_proj,attention_qkv,0.8030961934538298,0.008336626161632223,23897.503571840596,2.651565083551962,0.017152444544831825,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.4.attn.out_proj,attention_out,0.5722876141907239,0.004231932774434155,12131.121946942265,2.7479457045707996,0.024949259673991156,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.4.mlp.fc1,mlp_fc1,0.8201849460466472,0.03477824509722177,99694.19526789465,3.826939747747628,0.012120392628134942,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.4.mlp.fc2,mlp_fc2,0.5586883957298768,0.01608280034240883,46102.436546424615,3.705811078996448,0.017259226808682554,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.5.attn.q_proj,attention_qkv,0.8225542403764902,0.008747174169771983,25074.367245551224,0.6085303174420277,0.0038429720761945087,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.5.attn.k_proj,attention_qkv,0.8224492496298597,0.008747174169771983,25074.367245551224,0.9012807907065908,0.005691740924355661,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.5.attn.v_proj,attention_qkv,0.8226471462179171,0.008747174169771983,25074.367245551224,2.740357800388469,0.017305823890488313,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.5.attn.out_proj,attention_out,0.6142759433624848,0.004880405960371449,13990.014258618789,2.7001080677959473,0.022828220980599744,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.5.mlp.fc1,mlp_fc1,0.8226800869155992,0.03501048578030731,100359.9289167304,3.940758636417519,0.01243940659706333,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.5.mlp.fc2,mlp_fc2,0.5608594076007295,0.01620319880707644,46447.56690055772,3.466519810679524,0.01608467173512832,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.6.attn.q_proj,attention_qkv,0.812124235396699,0.008528347184057646,24447.084868803955,0.6469143606357657,0.004137454700815044,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.6.attn.k_proj,attention_qkv,0.8119089988746166,0.008528347184057646,24447.084868803955,0.9791323090729398,0.00626221308630778,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.6.attn.v_proj,attention_qkv,0.8124416476908755,0.008528347184057646,24447.084868803955,2.885815913224161,0.018456743801640148,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.6.attn.out_proj,attention_out,0.594594434899104,0.004573197382027019,13109.380060089607,3.0964397904805883,0.027044039553009866,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.6.mlp.fc1,mlp_fc1,0.8473492848902717,0.037123016913301866,106415.64250128604,3.920519405382782,0.012018239989017184,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.6.mlp.fc2,mlp_fc2,0.562941161622754,0.016320988794651065,46785.21987841917,3.6128725287743673,0.01670314692887245,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.7.attn.q_proj,attention_qkv,0.8313086602613043,0.008924534953782811,25582.78394641171,0.6413863868120787,0.004010013515589044,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.7.attn.k_proj,attention_qkv,0.8310561703441351,0.008924534953782811,25582.78394641171,0.8411701872828401,0.005259082339867391,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.7.attn.v_proj,attention_qkv,0.831303259496653,0.008924534953782811,25582.78394641171,3.0478356793285744,0.019055381465374045,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.7.attn.out_proj,attention_out,0.6287038287391189,0.00510598120898953,14636.640988071878,3.11631546108384,0.02575850801121877,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.7.mlp.fc1,mlp_fc1,0.8951172604414108,0.04142903112941364,118759.1239186874,3.9835624575536985,0.0115594757490728,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.7.mlp.fc2,mlp_fc2,0.5954349977575976,0.018260880696941293,52346.051414481044,4.516491199755542,0.01974054800419799,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.8.attn.q_proj,attention_qkv,0.8518023428031758,0.009369901725746312,26859.4579650647,0.6521826932587962,0.0039794279671786096,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.8.attn.k_proj,attention_qkv,0.8516446693455616,0.009369901725746312,26859.4579650647,0.9884337176912038,0.006031133332024595,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.8.attn.v_proj,attention_qkv,0.8513395367797627,0.009369901725746312,26859.4579650647,3.2958561613270336,0.020110349936836257,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.8.attn.out_proj,attention_out,0.620427336758484,0.004974169584079696,14258.7940370366,3.2662208696413533,0.027352948733814574,vit,dp_kfm_a,public,0.25,42,1,True
layer,blocks.8.mlp.fc1,mlp_fc1,0.9298287967806966,0.04470622923571035,128153.43427067343,3.943491251888166,0.011015792767998422,vit,dp_kfm_a,public,0.25,42,1,True
