task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,d_total,tau,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max
vit,dp_kfm,pink,0.5,42,1,patch_embed,True,0.621153982490905,0.8487813064691657,0.42626516165673717,0.9797418694677276,patch_head,63005.304645205855,5526346,40.922467006860245,154292600,50.67134551719533,0.5247801528970862,108872.00895861437,1492.0695620062106,0.01765302459148114,26.33954067029613,1.7208214160408588,0.001,0.0017208214160408589
vit,dp_kfm,pink,0.5,42,1,blocks.0.attn.q_proj,True,0.3396325371922061,1.7188422276091564,0.19695907043131017,0.9847559219117982,attention_qkv,28950.47781769956,5526346,40.922467006860245,154292600,110.84710992689921,1.3470051600433328,24039.24598679943,11108.455905783541,0.001,11.108455905783542,1.106101683560619,0.001,0.001106101683560619
vit,dp_kfm,pink,0.5,42,1,blocks.0.attn.k_proj,True,0.3396325371922061,1.7188422276091564,0.23448466739917542,0.977290907293152,attention_qkv,28999.981892034113,5526346,40.922467006860245,154292600,132.71905701849192,1.3471065853978743,24035.4228592084,11108.455905783541,0.001,11.108455905783542,1.5856702538385126,0.001,0.0015856702538385127
vit,dp_kfm,pink,0.5,42,1,blocks.0.attn.v_proj,True,0.3396325371922061,1.7188422276091564,0.31318070845818086,1.3125149015610904,attention_qkv,29607.251964412604,5526346,40.922467006860245,154292600,221.07088942017134,1.3484557333902736,23969.64095461533,11108.455905783541,0.001,11.108455905783542,4.399561790003648,0.0010000375481197638,0.004399726985276647
vit,dp_kfm,pink,0.5,42,1,blocks.0.attn.out_proj,True,0.10836942728802505,4.822867426418404,0.3839608285899357,0.9594593572825071,attention_out,15015.05365189819,5526346,40.922467006860245,154292600,179.5494986781178,1.1703241454657851,18971.65316169148,8320.81050132666,0.001001976580563823,8.337257253638837,3.874384889599809,0.001,0.003874384889599809
vit,dp_kfm,pink,0.5,42,1,blocks.0.mlp.fc1,True,0.3641099132362489,1.9164945556238355,0.2675850739800798,1.0571617404928226,mlp_fc1,212365.2933283517,5526346,40.922467006860245,154292600,301.39048753177985,1.4798299297846593,98013.84866649163,41399.56624741298,0.0010000000312211559,41.39956753995529,2.194134726721206,0.0010000210460805877,0.0021941809046574848
vit,dp_kfm,pink,0.5,42,1,blocks.0.mlp.fc2,True,0.1190921571486446,7.593671423422714,0.25676510917688833,0.9971774028972651,mlp_fc2,99016.85758790618,5526346,40.922467006860245,154292600,790.6314113588925,1.0122524339314518,90129.49253504534,115985.06320138722,0.001059067615111467,122.83602427324595,5.389470086695421,0.001,0.005389470086695421
vit,dp_kfm,pink,0.5,42,1,blocks.1.attn.q_proj,True,0.36522506393233223,2.1311724236103684,0.5183309850729813,1.0581960098371879,attention_qkv,24665.108133993956,5526346,40.922467006860245,154292600,199.53003281478155,0.9751280630384582,22842.49490258817,34750.087291249554,0.001,34.75008729124956,1.1456729205135825,0.0010000000138471847,0.001145672936377927
vit,dp_kfm,pink,0.5,42,1,blocks.1.attn.k_proj,True,0.36522506393233223,2.1311724236103684,0.5560658952255346,0.8833777809699428,attention_qkv,24670.105752768137,5526346,40.922467006860245,154292600,205.46075733924172,0.9751383283045643,22842.24329720479,34750.087291249554,0.001,34.75008729124956,1.2147918493731307,0.001000000031980409,0.001214791888222671
vit,dp_kfm,pink,0.5,42,1,blocks.1.attn.v_proj,True,0.36522506393233223,2.1311724236103684,0.4623862677496231,0.9244597815393628,attention_qkv,24713.91521970373,5526346,40.922467006860245,154292600,201.96468279831862,0.9751350141946847,22842.33405378068,34750.087291249554,0.001,34.75008729124956,1.1738023204360915,0.0010000524436955943,0.0011738638789676723
vit,dp_kfm,pink,0.5,42,1,blocks.1.attn.out_proj,True,0.144290203191076,3.923907957708787,0.24758357624723162,1.024259360101014,attention_out,10045.204717804978,5526346,40.922467006860245,154292600,461.64303476446213,0.7418100564569555,18756.29351201349,35213.01295543993,0.0011720687868649474,41.27207337654215,6.052145887550901,0.001,0.006052145887550901
vit,dp_kfm,pink,0.5,42,1,blocks.1.mlp.fc1,True,0.23393590191609723,2.4326963686227363,0.2082495810420293,1.3899106630864242,mlp_fc1,126369.97490344875,5526346,40.922467006860245,154292600,413.36333340717204,0.8344045073227393,103927.12018394073,59748.25651422537,0.001000018717964049,59.7493748799428,2.859819773398858,0.0010000054768613178,0.002859835436235151
vit,dp_kfm,pink,0.5,42,1,blocks.1.mlp.fc2,True,0.040200446112319925,3.058799579063516,0.2845688213074646,1.447878689703552,mlp_fc2,34305.13376382333,5526346,40.922467006860245,154292600,499.3592341476895,0.8680015344508141,83981.11340627253,30117.86194318659,0.0010005157681228266,30.13339577630458,8.279460381316289,0.001,0.00827946038131629
vit,dp_kfm,pink,0.5,42,1,blocks.2.attn.q_proj,True,0.3826682523551794,1.5533921232480628,0.5326571498414523,1.5669445815347351,attention_qkv,27670.159346454202,5526346,40.922467006860245,154292600,184.16053144508322,0.8410047981433134,24731.404600050213,27376.09381263095,0.001,27.37609381263095,1.2388583109869213,0.001000001442955594,0.0012388600986044513
vit,dp_kfm,pink,0.5,42,1,blocks.2.attn.k_proj,True,0.3826682523551794,1.5533921232480628,0.3832889626112422,0.9572537415300503,attention_qkv,27684.92187315645,5526346,40.922467006860245,154292600,177.80030171734612,0.8409980683763815,24731.574600697168,27376.09381263095,0.001,27.37609381263095,1.1547647194353763,0.0010000027689999,0.001154767916978769
vit,dp_kfm,pink,0.5,42,1,blocks.2.attn.v_proj,True,0.3826682523551794,1.5533921232480628,0.2625746655793748,1.684982750839398,attention_qkv,28032.526176213418,5526346,40.922467006860245,154292600,279.8033885472521,0.8421843576283324,24699.178668990895,27376.09381263095,0.001,27.37609381263095,2.8597920791169495,0.0010004487663361134,0.002861075457530341
vit,dp_kfm,pink,0.5,42,1,blocks.2.attn.out_proj,True,0.11636580509920338,1.8886769977209008,0.26597765330034057,1.6401927948548338,attention_out,11039.422073091653,5526346,40.922467006860245,154292600,296.03345002892416,0.8629698659553204,21433.796386817823,8352.703263422924,0.001449152033099884,12.104336916069364,10.491909118786838,0.001,0.010491909118786839
vit,dp_kfm,pink,0.5,42,1,blocks.2.mlp.fc1,True,0.2224458376863884,1.7094821731045011,0.2585169729468881,1.4068672447024118,mlp_fc1,142312.51356624343,5526346,40.922467006860245,154292600,288.8132473103883,0.7392149375839708,113097.02001261353,39489.69860389064,0.001,39.48969860389064,2.112274713936495,0.0010000270503367937,0.002112331851678908
vit,dp_kfm,pink,0.5,42,1,blocks.2.mlp.fc2,True,0.17132748893572655,1.8734494675448976,0.24624650839202022,1.91737159674552,mlp_fc2,33582.51684872241,5526346,40.922467006860245,154292600,338.8446382287556,0.7524221997521849,98362.3107773236,9182.841858747848,0.0010547041182984748,9.685181126104977,12.503284998532282,0.001,0.012503284998532281
vit,dp_kfm,pink,0.5,42,1,blocks.3.attn.q_proj,True,0.270330807126886,1.9068547056821001,0.3603460759880164,1.26161271440546,attention_qkv,34550.89687239141,5526346,40.922467006860245,154292600,213.75164432825838,0.7070761906547962,28002.514231167654,40769.43829237271,0.001,40.76943829237271,1.1206866556604504,0.001000025001155567,0.0011207146741218706
vit,dp_kfm,pink,0.5,42,1,blocks.3.attn.k_proj,True,0.270330807126886,1.9068547056821001,0.5309907280688831,0.8502081616348502,attention_qkv,34560.8552536799,5526346,40.922467006860245,154292600,212.6901423428935,0.7070810620251314,28002.415390241484,40769.43829237271,0.001,40.76943829237271,1.1095835151180733,0.0010000184661960974,0.00110960400490485
vit,dp_kfm,pink,0.5,42,1,blocks.3.attn.v_proj,True,0.270330807126886,1.9068547056821001,0.20422910798406044,2.170275628734251,attention_qkv,34747.07904110745,5526346,40.922467006860245,154292600,282.1268511975425,0.707583369601365,27990.423670497177,40769.43829237271,0.001,40.76943829237271,1.9523339908642137,0.0010001174785570638,0.001952563348244367
