level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only
layer,patch_embed,patch_head,0.2478169655065922,0.0031590590474832613,9055.65673777386,0.9962405360481953,0.010468976690624384,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.0.attn.q_proj,attention_qkv,0.389130302423654,0.0019594510161145555,5616.899060671811,0.08880466994242932,0.001184915811641805,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.0.attn.k_proj,attention_qkv,0.3895463770682417,0.0019647226209833536,5632.010473099216,0.15387341613257793,0.0020503682528209724,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.0.attn.v_proj,attention_qkv,0.39643577078958464,0.0020314158503529525,5823.191132538256,0.3571348855003331,0.004680063571270711,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.0.attn.out_proj,attention_out,0.2611717686667842,0.0008807986647930147,2524.8690333311533,0.4007036316444511,0.007974507128269139,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.0.mlp.fc1,mlp_fc1,0.6075678121483384,0.019080093406563466,54694.380135803825,0.4449815455492717,0.001902701443910351,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.0.mlp.fc2,mlp_fc2,0.3635389967093808,0.006807807489091535,19515.041292809405,0.7166267552665055,0.005129892700051505,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.1.attn.q_proj,attention_qkv,0.35968030377611465,0.0016693664627946917,4785.35203976763,0.05551527495267443,0.0008025194166265282,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.1.attn.k_proj,attention_qkv,0.35953925794232605,0.0016698879845746294,4786.847017275021,0.07939541049466775,0.0011475473764699072,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.1.attn.v_proj,attention_qkv,0.35948873788883806,0.0016743328326598872,4799.5884753821865,0.3454974746886551,0.004987040285170484,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.1.attn.out_proj,attention_out,0.2117236456003675,0.0005786832813357042,1658.8348229323556,0.4857408387276395,0.011926226319746788,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.1.mlp.fc1,mlp_fc1,0.4150928484051666,0.008914996843966065,25555.44230856004,0.5913141846747412,0.003698934117977835,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.1.mlp.fc2,mlp_fc2,0.1715345514368113,0.001514401851986592,4341.1354863927345,0.5107989743378467,0.007752617306828779,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.2.attn.q_proj,attention_qkv,0.38071698108934754,0.0018754462287516726,5376.09364765047,0.08736913817971263,0.0011915839344327564,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.2.attn.k_proj,attention_qkv,0.3813813997638469,0.0018769371713887738,5380.367535708443,0.11403163803855526,0.001554602605086075,vit,dp_kfm,pink,0.75,42,1,True
layer,blocks.2.attn.v_proj,attention_qkv,0.38449991306871784,0.0019144195687575043,5487.813366627779,0.4837671468314922,0.006530353709834467,vit,dp_kfm,pink,0.75,42,1,True
